clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta
-jDBwP6g2tA_clip0000_t00000,-jDBwP6g2tA,0.194,5.182,4.988,1.0,1.0,14.14,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0000_t00000.mp4,tier1,1
-jDBwP6g2tA_clip0001_t00005,-jDBwP6g2tA,5.282,10.282,5.0,1.0,1.0,13.41,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0001_t00005.mp4,tier1,1
-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,9.282,14.282,5.0,1.0,1.0,12.82,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0002_t00009.mp4,tier1,1
-jDBwP6g2tA_clip0003_t00013,-jDBwP6g2tA,13.282,18.282,5.0,1.0,1.0,12.66,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0003_t00013.mp4,tier1,1
-jDBwP6g2tA_clip0004_t00017,-jDBwP6g2tA,17.282,22.282,5.0,1.0,1.0,12.99,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0004_t00017.mp4,tier1,1
-jDBwP6g2tA_clip0005_t00021,-jDBwP6g2tA,21.282,24.286,3.004,1.0,1.0,12.54,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0005_t00021.mp4,tier1,1
-jDBwP6g2tA_clip0006_t00024,-jDBwP6g2tA,24.386,29.214,4.828,1.0,1.0,11.97,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0006_t00024.mp4,tier1,1
-jDBwP6g2tA_clip0007_t00037,-jDBwP6g2tA,37.314,42.314,5.0,1.0,1.0,14.21,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0007_t00037.mp4,tier1,1
-jDBwP6g2tA_clip0008_t00041,-jDBwP6g2tA,41.314,46.314,5.0,1.0,1.0,13.84,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0008_t00041.mp4,tier1,1
-jDBwP6g2tA_clip0009_t00045,-jDBwP6g2tA,45.314,50.314,5.0,1.0,1.0,13.72,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0009_t00045.mp4,tier1,1
-jDBwP6g2tA_clip0010_t00049,-jDBwP6g2tA,49.314,54.314,5.0,1.0,1.0,13.37,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0010_t00049.mp4,tier1,1
-jDBwP6g2tA_clip0011_t00053,-jDBwP6g2tA,53.314,58.314,5.0,1.0,1.0,13.08,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0011_t00053.mp4,tier1,1
