clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path
-jDBwP6g2tA_clip0000_t00000,-jDBwP6g2tA,0.194,5.182,4.988,1.0,1.0,14.14,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0000_t00000.mp4
-jDBwP6g2tA_clip0001_t00005,-jDBwP6g2tA,5.282,10.282,5.0,1.0,1.0,13.41,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0001_t00005.mp4
-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,9.282,14.282,5.0,1.0,1.0,12.82,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0002_t00009.mp4
-jDBwP6g2tA_clip0003_t00013,-jDBwP6g2tA,13.282,18.282,5.0,1.0,1.0,12.66,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0003_t00013.mp4
-jDBwP6g2tA_clip0004_t00017,-jDBwP6g2tA,17.282,22.282,5.0,1.0,1.0,12.99,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0004_t00017.mp4
-jDBwP6g2tA_clip0005_t00021,-jDBwP6g2tA,21.282,24.286,3.004,1.0,1.0,12.54,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0005_t00021.mp4
-jDBwP6g2tA_clip0006_t00024,-jDBwP6g2tA,24.386,29.214,4.828,1.0,1.0,11.97,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0006_t00024.mp4
-jDBwP6g2tA_clip0007_t00037,-jDBwP6g2tA,37.314,42.314,5.0,1.0,1.0,14.21,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0007_t00037.mp4
-jDBwP6g2tA_clip0008_t00041,-jDBwP6g2tA,41.314,46.314,5.0,1.0,1.0,13.84,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0008_t00041.mp4
-jDBwP6g2tA_clip0009_t00045,-jDBwP6g2tA,45.314,50.314,5.0,1.0,1.0,13.72,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0009_t00045.mp4
-jDBwP6g2tA_clip0010_t00049,-jDBwP6g2tA,49.314,54.314,5.0,1.0,1.0,13.37,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0010_t00049.mp4
-jDBwP6g2tA_clip0011_t00053,-jDBwP6g2tA,53.314,58.314,5.0,1.0,1.0,13.08,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0011_t00053.mp4
-jDBwP6g2tA_clip0012_t00058,-jDBwP6g2tA,58.914,64.542,5.628,1.0,1.0,12.98,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0012_t00058.mp4
-jDBwP6g2tA_clip0013_t00079,-jDBwP6g2tA,79.01,81.95,2.94,1.0,1.0,13.5,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0013_t00079.mp4
-jDBwP6g2tA_clip0014_t00085,-jDBwP6g2tA,85.282,89.31,4.028,1.0,1.0,13.01,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0014_t00085.mp4
-jDBwP6g2tA_clip0015_t00094,-jDBwP6g2tA,94.114,96.478,2.364,1.0,1.0,13.55,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0015_t00094.mp4
-jDBwP6g2tA_clip0016_t00099,-jDBwP6g2tA,99.522,104.03,4.508,1.0,1.0,13.61,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0016_t00099.mp4
-jDBwP6g2tA_clip0017_t00104,-jDBwP6g2tA,104.162,113.822,9.66,1.0,1.0,13.32,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0017_t00104.mp4
-jDBwP6g2tA_clip0018_t00116,-jDBwP6g2tA,116.162,128.126,11.964,1.0,1.0,13.24,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0018_t00116.mp4
-jDBwP6g2tA_clip0019_t00128,-jDBwP6g2tA,128.258,130.494,2.236,1.0,1.0,14.38,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0019_t00128.mp4
-jDBwP6g2tA_clip0020_t00132,-jDBwP6g2tA,132.834,136.158,3.324,1.0,1.0,12.76,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0020_t00132.mp4
-jDBwP6g2tA_clip0021_t00136,-jDBwP6g2tA,136.61,143.07,6.46,1.0,1.0,12.71,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0021_t00136.mp4
-jDBwP6g2tA_clip0022_t00144,-jDBwP6g2tA,144.322,148.99,4.668,1.0,1.0,13.38,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0022_t00144.mp4
-jDBwP6g2tA_clip0023_t00149,-jDBwP6g2tA,149.186,152.35,3.164,1.0,1.0,13.56,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0023_t00149.mp4
-jDBwP6g2tA_clip0024_t00152,-jDBwP6g2tA,152.738,156.958,4.22,1.0,1.0,13.32,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0024_t00152.mp4
-jDBwP6g2tA_clip0025_t00157,-jDBwP6g2tA,157.09,159.486,2.396,1.0,1.0,13.77,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0025_t00157.mp4
-jDBwP6g2tA_clip0026_t00159,-jDBwP6g2tA,159.906,163.774,3.868,1.0,1.0,13.93,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0026_t00159.mp4
-jDBwP6g2tA_clip0027_t00164,-jDBwP6g2tA,164.77,170.366,5.596,1.0,1.0,13.16,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0027_t00164.mp4
-jDBwP6g2tA_clip0028_t00170,-jDBwP6g2tA,170.818,176.446,5.628,1.0,1.0,12.68,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0028_t00170.mp4
-jDBwP6g2tA_clip0029_t00176,-jDBwP6g2tA,176.546,181.022,4.476,1.0,1.0,12.53,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0029_t00176.mp4
-jDBwP6g2tA_clip0030_t00181,-jDBwP6g2tA,181.218,184.51,3.292,1.0,1.0,13.81,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0030_t00181.mp4
-jDBwP6g2tA_clip0031_t00184,-jDBwP6g2tA,184.834,189.854,5.02,1.0,1.0,12.5,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0031_t00184.mp4
-jDBwP6g2tA_clip0032_t00190,-jDBwP6g2tA,190.274,193.182,2.908,1.0,1.0,13.97,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0032_t00190.mp4
-jDBwP6g2tA_clip0033_t00195,-jDBwP6g2tA,195.586,198.398,2.812,1.0,1.0,13.64,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0033_t00195.mp4
-jDBwP6g2tA_clip0034_t00198,-jDBwP6g2tA,198.722,200.766,2.044,1.0,1.0,13.77,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0034_t00198.mp4
-jDBwP6g2tA_clip0035_t00200,-jDBwP6g2tA,200.93,207.934,7.004,1.0,1.0,13.77,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0035_t00200.mp4
-jDBwP6g2tA_clip0036_t00209,-jDBwP6g2tA,209.89,215.038,5.148,1.0,1.0,13.05,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0036_t00209.mp4
-jDBwP6g2tA_clip0037_t00215,-jDBwP6g2tA,215.33,217.982,2.652,1.0,1.0,13.26,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0037_t00215.mp4
-jDBwP6g2tA_clip0038_t00218,-jDBwP6g2tA,218.338,221.118,2.78,1.0,1.0,13.81,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0038_t00218.mp4
-jDBwP6g2tA_clip0039_t00223,-jDBwP6g2tA,223.074,231.678,8.604,1.0,1.0,13.06,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0039_t00223.mp4
-jDBwP6g2tA_clip0040_t00233,-jDBwP6g2tA,233.506,238.078,4.572,1.0,1.0,12.35,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0040_t00233.mp4
-jDBwP6g2tA_clip0041_t00238,-jDBwP6g2tA,238.306,242.75,4.444,1.0,1.0,13.49,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0041_t00238.mp4
-jDBwP6g2tA_clip0042_t00243,-jDBwP6g2tA,243.138,246.622,3.484,1.0,1.0,13.57,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0042_t00243.mp4
-jDBwP6g2tA_clip0043_t00246,-jDBwP6g2tA,246.722,252.67,5.948,1.0,1.0,13.55,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0043_t00246.mp4
-jDBwP6g2tA_clip0044_t00252,-jDBwP6g2tA,252.93,256.062,3.132,1.0,1.0,12.85,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0044_t00252.mp4
-jDBwP6g2tA_clip0045_t00261,-jDBwP6g2tA,261.506,266.686,5.18,1.0,1.0,12.69,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0045_t00261.mp4
-jDBwP6g2tA_clip0046_t00269,-jDBwP6g2tA,269.314,273.054,3.74,1.0,1.0,13.4,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0046_t00269.mp4
-jDBwP6g2tA_clip0047_t00276,-jDBwP6g2tA,276.066,281.086,5.02,1.0,1.0,16.43,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0047_t00276.mp4
-jDBwP6g2tA_clip0048_t00281,-jDBwP6g2tA,281.186,289.086,7.9,1.0,1.0,14.8,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0048_t00281.mp4
-jDBwP6g2tA_clip0049_t00291,-jDBwP6g2tA,291.298,296.298,5.0,1.0,1.0,14.82,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0049_t00291.mp4
-jDBwP6g2tA_clip0050_t00295,-jDBwP6g2tA,295.298,300.298,5.0,1.0,1.0,14.7,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0050_t00295.mp4
-jDBwP6g2tA_clip0051_t00299,-jDBwP6g2tA,299.298,304.298,5.0,1.0,1.0,15.54,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0051_t00299.mp4
-jDBwP6g2tA_clip0052_t00303,-jDBwP6g2tA,303.298,306.526,3.228,1.0,1.0,16.08,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0052_t00303.mp4
-jDBwP6g2tA_clip0053_t00306,-jDBwP6g2tA,306.722,314.046,7.324,0.875,1.0,15.72,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0053_t00306.mp4
-jDBwP6g2tA_clip0054_t00316,-jDBwP6g2tA,316.258,318.43,2.172,1.0,1.0,16.34,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0054_t00316.mp4
-jDBwP6g2tA_clip0055_t00334,-jDBwP6g2tA,334.114,337.854,3.74,1.0,1.0,13.11,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0055_t00334.mp4
-jDBwP6g2tA_clip0056_t00338,-jDBwP6g2tA,338.018,345.438,7.42,1.0,1.0,13.19,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0056_t00338.mp4
-jDBwP6g2tA_clip0057_t00345,-jDBwP6g2tA,345.602,348.926,3.324,1.0,1.0,13.49,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0057_t00345.mp4
-jDBwP6g2tA_clip0058_t00350,-jDBwP6g2tA,350.402,354.974,4.572,1.0,1.0,12.97,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0058_t00350.mp4
-jDBwP6g2tA_clip0059_t00355,-jDBwP6g2tA,355.298,357.406,2.108,1.0,1.0,12.09,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0059_t00355.mp4
-jDBwP6g2tA_clip0060_t00357,-jDBwP6g2tA,357.826,361.278,3.452,1.0,1.0,13.03,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0060_t00357.mp4
-jDBwP6g2tA_clip0061_t00361,-jDBwP6g2tA,361.41,364.35,2.94,1.0,1.0,12.73,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0061_t00361.mp4
-jDBwP6g2tA_clip0062_t00364,-jDBwP6g2tA,364.578,366.814,2.236,1.0,1.0,12.28,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0062_t00364.mp4
-jDBwP6g2tA_clip0063_t00367,-jDBwP6g2tA,367.362,370.59,3.228,1.0,1.0,13.31,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0063_t00367.mp4
-jDBwP6g2tA_clip0064_t00370,-jDBwP6g2tA,370.914,375.838,4.924,1.0,1.0,13.4,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0064_t00370.mp4
-jDBwP6g2tA_clip0065_t00379,-jDBwP6g2tA,379.234,381.31,2.076,1.0,1.0,14.57,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0065_t00379.mp4
-jDBwP6g2tA_clip0066_t00386,-jDBwP6g2tA,386.338,389.726,3.388,1.0,1.0,13.65,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0066_t00386.mp4
-jDBwP6g2tA_clip0067_t00390,-jDBwP6g2tA,390.082,393.086,3.004,1.0,1.0,13.22,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0067_t00390.mp4
-jDBwP6g2tA_clip0068_t00399,-jDBwP6g2tA,399.714,406.654,6.94,1.0,1.0,13.21,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0068_t00399.mp4
-jDBwP6g2tA_clip0069_t00406,-jDBwP6g2tA,406.946,413.15,6.204,1.0,1.0,12.74,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0069_t00406.mp4
-jDBwP6g2tA_clip0070_t00413,-jDBwP6g2tA,413.314,420.062,6.748,1.0,1.0,13.22,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0070_t00413.mp4
-jDBwP6g2tA_clip0071_t00420,-jDBwP6g2tA,420.386,422.846,2.46,1.0,1.0,13.72,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0071_t00420.mp4
