video,start,end,reason
Oq7yuET6Hz8,8.002,14.238,ffmpeg_cut_failed
Oq7yuET6Hz8,14.338,19.966,ffmpeg_cut_failed
Oq7yuET6Hz8,20.194,25.194,ffmpeg_cut_failed
Oq7yuET6Hz8,24.194,29.194,ffmpeg_cut_failed
Oq7yuET6Hz8,28.194,33.194,ffmpeg_cut_failed
Oq7yuET6Hz8,34.85,37.278,ffmpeg_cut_failed
Oq7yuET6Hz8,37.378,40.67,ffmpeg_cut_failed
Oq7yuET6Hz8,40.77,42.686,segment_too_short
Oq7yuET6Hz8,45.442,55.518,face_density_low
Oq7yuET6Hz8,55.81,63.198,face_density_low
Oq7yuET6Hz8,63.426,74.814,face_density_low
Oq7yuET6Hz8,74.978,79.87,face_density_low
Oq7yuET6Hz8,79.97,83.07,face_density_low
Oq7yuET6Hz8,83.394,86.558,scene_cut_detected
Oq7yuET6Hz8,86.786,90.91,face_density_low
Oq7yuET6Hz8,91.01,94.686,face_density_low
Oq7yuET6Hz8,94.914,96.926,face_density_low
Oq7yuET6Hz8,97.09,103.198,face_density_low
Oq7yuET6Hz8,103.586,113.502,face_density_low
Oq7yuET6Hz8,113.698,116.67,face_density_low
Oq7yuET6Hz8,116.93,121.246,face_density_low
Oq7yuET6Hz8,121.41,126.41,face_density_low
Oq7yuET6Hz8,125.41,130.41,face_density_low
Oq7yuET6Hz8,129.41,134.41,face_density_low
Oq7yuET6Hz8,135.362,137.406,face_density_low
Oq7yuET6Hz8,137.506,140.062,face_density_low
Oq7yuET6Hz8,140.162,143.39,face_density_low
Oq7yuET6Hz8,143.554,147.998,face_density_low
Oq7yuET6Hz8,150.498,155.07,face_density_low
Oq7yuET6Hz8,155.234,162.75,face_density_low
Oq7yuET6Hz8,163.074,170.014,scene_cut_detected
Oq7yuET6Hz8,170.37,181.118,face_density_low
Oq7yuET6Hz8,181.314,185.502,face_density_low
Oq7yuET6Hz8,187.778,197.502,scene_cut_detected
Oq7yuET6Hz8,197.602,200.254,face_density_low
Oq7yuET6Hz8,200.418,208.99,face_density_low
Oq7yuET6Hz8,209.154,213.214,face_density_low
Oq7yuET6Hz8,213.73,218.73,face_density_low
