clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path
7205080159811013914_clip0000_t00003,7205080159811013914,3.234,8.446,5.212,1.0,1.0,1.01,/kaggle/working/clips/tier3/7205080159811013914_clip0000_t00003.mp4
7205080159811013914_clip0001_t00009,7205080159811013914,9.25,12.286,3.036,1.0,1.0,0.06,/kaggle/working/clips/tier3/7205080159811013914_clip0001_t00009.mp4
7204326198501969178_clip0000_t00000,7204326198501969178,0.002,8.478,8.476,1.0,1.0,2.21,/kaggle/working/clips/tier3/7204326198501969178_clip0000_t00000.mp4
7204326198501969178_clip0001_t00008,7204326198501969178,8.578,14.864,6.286,1.0,1.0,1.53,/kaggle/working/clips/tier3/7204326198501969178_clip0001_t00008.mp4
7221493524947045659_clip0000_t00001,7221493524947045659,1.954,7.646,5.692,1.0,1.0,0.04,/kaggle/working/clips/tier3/7221493524947045659_clip0000_t00001.mp4
7226359641922424069_clip0000_t00000,7226359641922424069,0.002,3.166,3.164,1.0,1.0,-8.64,/kaggle/working/clips/tier3/7226359641922424069_clip0000_t00000.mp4
7256443852490411269_clip0000_t00000,7256443852490411269,0.354,2.91,2.556,1.0,1.0,1.21,/kaggle/working/clips/tier3/7256443852490411269_clip0000_t00000.mp4
7315077824895798529_clip0000_t00000,7315077824895798529,0.0,3.454,3.454,1.0,1.0,-0.37,/kaggle/working/clips/tier3/7315077824895798529_clip0000_t00000.mp4
7315077824895798529_clip0001_t00004,7315077824895798529,4.002,9.086,5.084,1.0,1.0,0.11,/kaggle/working/clips/tier3/7315077824895798529_clip0001_t00004.mp4
7315077824895798529_clip0002_t00009,7315077824895798529,9.986,14.864,4.878,1.0,1.0,-1.51,/kaggle/working/clips/tier3/7315077824895798529_clip0002_t00009.mp4
7338723019914824962_clip0000_t00000,7338723019914824962,0.29,2.366,2.076,1.0,1.0,0.2,/kaggle/working/clips/tier3/7338723019914824962_clip0000_t00000.mp4
7338723019914824962_clip0001_t00004,7338723019914824962,4.162,7.934,3.772,1.0,1.0,-1.99,/kaggle/working/clips/tier3/7338723019914824962_clip0001_t00004.mp4
7338723019914824962_clip0002_t00008,7338723019914824962,8.13,11.262,3.132,1.0,1.0,2.66,/kaggle/working/clips/tier3/7338723019914824962_clip0002_t00008.mp4
7338723019914824962_clip0003_t00011,7338723019914824962,11.746,16.894,5.148,1.0,1.0,4.47,/kaggle/working/clips/tier3/7338723019914824962_clip0003_t00011.mp4
7338723019914824962_clip0004_t00026,7338723019914824962,26.562,29.758,3.196,1.0,1.0,6.34,/kaggle/working/clips/tier3/7338723019914824962_clip0004_t00026.mp4
7365032505457544449_clip0000_t00000,7365032505457544449,0.066,2.494,2.428,1.0,1.0,1.17,/kaggle/working/clips/tier3/7365032505457544449_clip0000_t00000.mp4
7383362567164497170_clip0000_t00001,7383362567164497170,1.09,3.166,2.076,1.0,1.0,-0.45,/kaggle/working/clips/tier3/7383362567164497170_clip0000_t00001.mp4
7415622308691201288_clip0000_t00004,7415622308691201288,4.93,7.966,3.036,1.0,1.0,0.65,/kaggle/working/clips/tier3/7415622308691201288_clip0000_t00004.mp4
7415622308691201288_clip0001_t00013,7415622308691201288,13.698,19.486,5.788,1.0,1.0,2.74,/kaggle/working/clips/tier3/7415622308691201288_clip0001_t00013.mp4
7421464658466458898_clip0000_t00003,7421464658466458898,3.65,6.238,2.588,1.0,1.0,-0.81,/kaggle/working/clips/tier3/7421464658466458898_clip0000_t00003.mp4
7439248144757443857_clip0000_t00002,7439248144757443857,2.466,5.086,2.62,1.0,1.0,-0.15,/kaggle/working/clips/tier3/7439248144757443857_clip0000_t00002.mp4
7439248144757443857_clip0001_t00012,7439248144757443857,12.77,15.55,2.78,1.0,1.0,0.7,/kaggle/working/clips/tier3/7439248144757443857_clip0001_t00012.mp4
7457180126313254152_clip0000_t00000,7457180126313254152,0.386,11.582,11.196,1.0,1.0,4.12,/kaggle/working/clips/tier3/7457180126313254152_clip0000_t00000.mp4
7457180126313254152_clip0001_t00011,7457180126313254152,11.81,21.182,9.372,1.0,1.0,4.21,/kaggle/working/clips/tier3/7457180126313254152_clip0001_t00011.mp4
7444065242671320336_clip0000_t00000,7444065242671320336,0.738,5.738,5.0,1.0,1.0,15.27,/kaggle/working/clips/tier3/7444065242671320336_clip0000_t00000.mp4
7444065242671320336_clip0001_t00004,7444065242671320336,4.738,9.738,5.0,1.0,1.0,16.94,/kaggle/working/clips/tier3/7444065242671320336_clip0001_t00004.mp4
7444065242671320336_clip0002_t00008,7444065242671320336,8.738,13.738,5.0,1.0,1.0,17.01,/kaggle/working/clips/tier3/7444065242671320336_clip0002_t00008.mp4
7444065242671320336_clip0003_t00017,7444065242671320336,17.954,21.63,3.676,1.0,1.0,18.02,/kaggle/working/clips/tier3/7444065242671320336_clip0003_t00017.mp4
7444065242671320336_clip0004_t00023,7444065242671320336,23.522,26.11,2.588,1.0,1.0,13.47,/kaggle/working/clips/tier3/7444065242671320336_clip0004_t00023.mp4
7444065242671320336_clip0005_t00028,7444065242671320336,28.866,36.286,7.42,1.0,1.0,18.08,/kaggle/working/clips/tier3/7444065242671320336_clip0005_t00028.mp4
7444065242671320336_clip0006_t00036,7444065242671320336,36.418,42.238,5.82,1.0,1.0,16.33,/kaggle/working/clips/tier3/7444065242671320336_clip0006_t00036.mp4
