video,start,end,reason
6826152287082171650,0.258,4.958,scene_cut_detected
6826152287082171650,5.122,5.438,segment_too_short
6826152287082171650,5.826,10.174,scene_cut_detected
6826152287082171650,10.818,18.142,scene_cut_detected
6826152287082171650,18.626,20.254,segment_too_short
6826152287082171650,21.73,22.366,segment_too_short
6826152287082171650,22.754,24.638,segment_too_short
6826152287082171650,24.994,26.046,segment_too_short
6826152287082171650,26.978,27.358,segment_too_short
6826152287082171650,27.522,28.702,segment_too_short
6826152287082171650,29.282,30.43,segment_too_short
6826152287082171650,30.722,34.59,ffmpeg_cut_failed
6826152287082171650,35.17,37.118,segment_too_short
7205080159811013914,0.482,2.398,segment_too_short
7205080159811013914,12.578,12.99,segment_too_short
7205080159811013914,14.466,14.864,segment_too_short
7205246013471280411,,,video_decode_failed
7207712752507391258,,,no_speech_detected
7206352729504009499,0.002,8.446,scene_cut_detected
7206352729504009499,8.578,14.864,scene_cut_detected
7209956857451007259,,,no_speech_detected
7204742891971808538,1.986,2.302,segment_too_short
7204742891971808538,2.594,7.594,ffmpeg_cut_failed
7204742891971808538,6.594,11.594,ffmpeg_cut_failed
7204742891971808538,10.594,14.622,ffmpeg_cut_failed
7204742891971808538,21.73,22.238,segment_too_short
7204742891971808538,27.906,29.118,segment_too_short
7204742891971808538,40.738,41.566,segment_too_short
7204742891971808538,43.586,44.03,segment_too_short
7211731588793650459,,,no_speech_detected
7207443019027500315,1.282,2.238,segment_too_short
7213593152958074139,,,video_decode_failed
7215469803476241690,,,no_speech_detected
7210314310692736282,0.546,1.47,segment_too_short
7210314310692736282,2.786,3.358,segment_too_short
7210314310692736282,7.106,8.19,segment_too_short
7215593030089313562,,,no_speech_detected
7219557252070509851,,,video_decode_failed
7220749556466666778,,,no_speech_detected
7220387590774541595,,,video_decode_failed
7221493524947045659,7.842,8.862,segment_too_short
7228084083161582854,,,no_speech_detected
7222975119310785819,,,video_decode_failed
7226359641922424069,3.778,4.958,segment_too_short
7226359641922424069,5.282,5.694,segment_too_short
7226359641922424069,6.018,7.55,segment_too_short
7229624230894275846,,,no_speech_detected
7236020169338932485,,,video_decode_failed
7247920295242157318,,,video_decode_failed
7254435634729831686,,,no_speech_detected
7256456113946692869,,,video_decode_failed
7261615781396466951,,,no_speech_detected
7267213805241912583,,,no_speech_detected
7272293407580638466,,,no_speech_detected
7256443852490411269,4.45,5.63,segment_too_short
7256443852490411269,7.202,9.022,segment_too_short
7256443852490411269,10.85,11.742,segment_too_short
7256443852490411269,16.546,17.022,segment_too_short
7256443852490411269,17.858,18.43,segment_too_short
7256443852490411269,18.882,19.87,segment_too_short
7256443852490411269,21.474,22.59,segment_too_short
7256443852490411269,24.226,24.702,segment_too_short
