clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,crf,orig_clip_id,snvsm_version,snvsm_config_id,snvsm_encoder,snvsm_preset,snvsm_audio,snvsm_sample_rate,snvsm_channels,snvsm_target_samples,snvsm_mode,snvsm_crf_set,snvsm_seed,snvsm_pair_key,snvsm_video_frames,snvsm_video_fps,snvsm_video_duration_s
y3vBfCdY2tQ_clip0004_t00135_desyncv2r2p15f_snvsmv2_46c7f60176_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0004_t00135_desyncv2r2p15f_snvsmv2_46c7f60176_crf23.mp4,1,temporal_desync,shift=15f;boundary=circular_wrap;audio_valid_start=0.600000;audio_valid_end=4.380000;visual_valid_start=0.000000;visual_valid_end=3.780000;generator=temporal_v2_circular_avmask_v1,y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,0,tier1,23,y3vBfCdY2tQ_clip0004_t00135_desyncv2r2p15f,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,70080,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0004_t00135,110,25,4.400000000
y3vBfCdY2tQ_clip0004_t00135_rev748ms_snvsmv2_46c7f60176_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0004_t00135_rev748ms_snvsmv2_46c7f60176_crf23.mp4,1,frame_reverse,"reverse=[0.19,0.93]s(0.75s)",y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,0,tier1,23,y3vBfCdY2tQ_clip0004_t00135_rev748ms,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,69472,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0004_t00135,109,25,4.360000000
y3vBfCdY2tQ_clip0004_t00135_flat236hz_snvsmv2_46c7f60176_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0004_t00135_flat236hz_snvsmv2_46c7f60176_crf23.mp4,1,pitch_flatten,flatten_mean_F0=236Hz,y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,0,tier1,23,y3vBfCdY2tQ_clip0004_t00135_flat236hz,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,70224,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0004_t00135,109,25,4.360000000
y3vBfCdY2tQ_clip0004_t00135_anonblu_snvsmv2_46c7f60176_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0004_t00135_anonblu_snvsmv2_46c7f60176_crf23.mp4,1,anonymization,blur_k=auto_faceframes=110,y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,0,tier1,23,y3vBfCdY2tQ_clip0004_t00135_anonblu,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,70080,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0004_t00135,109,25,4.360000000
y3vBfCdY2tQ_clip0005_t00139_desyncv2r2m3f_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0005_t00139_desyncv2r2m3f_snvsmv2_46c7f60176_crf35.mp4,1,temporal_desync,shift=-3f;boundary=circular_wrap;audio_valid_start=0.000000;audio_valid_end=1.988005;visual_valid_start=0.120000;visual_valid_end=2.108005;generator=temporal_v2_circular_avmask_v1,y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0005_t00139_desyncv2r2m3f,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,33728,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0005_t00139,53,25,2.120000000
y3vBfCdY2tQ_clip0005_t00139_rev493ms_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0005_t00139_rev493ms_snvsmv2_46c7f60176_crf35.mp4,1,frame_reverse,"reverse=[0.42,0.91]s(0.49s)",y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0005_t00139_rev493ms,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,33056,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0005_t00139,52,25,2.080000000
y3vBfCdY2tQ_clip0005_t00139_flat251hz_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0005_t00139_flat251hz_snvsmv2_46c7f60176_crf35.mp4,1,pitch_flatten,flatten_mean_F0=251Hz,y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0005_t00139_flat251hz,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,33808,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0005_t00139,49,25,1.960000000
y3vBfCdY2tQ_clip0005_t00139_anonblu_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0005_t00139_anonblu_snvsmv2_46c7f60176_crf35.mp4,1,anonymization,blur_k=auto_faceframes=53,y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0005_t00139_anonblu,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,33728,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0005_t00139,52,25,2.080000000
y3vBfCdY2tQ_clip0006_t00141_desyncv2r2p3f_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0006_t00141_desyncv2r2p3f_snvsmv2_46c7f60176_crf35.mp4,1,temporal_desync,shift=3f;boundary=circular_wrap;audio_valid_start=0.120000;audio_valid_end=7.611995;visual_valid_start=0.000000;visual_valid_end=7.491995;generator=temporal_v2_circular_avmask_v1,y3vBfCdY2tQ_clip0006_t00141,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0006_t00141_desyncv2r2p3f,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,121792,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0006_t00141,191,25,7.640000000
y3vBfCdY2tQ_clip0006_t00141_rev816ms_snvsmv2_46c7f60176_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_policy_smoke_v2r5\snvsm\fake\y3vBfCdY2tQ_clip0006_t00141_rev816ms_snvsmv2_46c7f60176_crf35.mp4,1,frame_reverse,"reverse=[4.58,5.40]s(0.82s)",y3vBfCdY2tQ_clip0006_t00141,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0006_t00141_rev816ms,snvsm_v2_h264_aac16k_mono_exactdur,46c7f60176,libx264,ultrafast,aac_128k_16khz_mono,16000,1,121488,random,"23,30,35,40",42,y3vBfCdY2tQ_clip0006_t00141,190,25,7.600000000
