clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,crf,orig_clip_id,snvsm_version,snvsm_config_id,snvsm_encoder,snvsm_preset,snvsm_audio,snvsm_sample_rate,snvsm_channels
y3vBfCdY2tQ_clip0004_t00135_desyncv2r2p15f_snvsmv2_4e99f98791_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_smoke_v2r3\snvsm\fake\y3vBfCdY2tQ_clip0004_t00135_desyncv2r2p15f_snvsmv2_4e99f98791_crf40.mp4,1,temporal_desync,shift=15f;boundary=circular_wrap;audio_valid_start=0.600000;audio_valid_end=4.380000;visual_valid_start=0.000000;visual_valid_end=3.780000;generator=temporal_v2_circular_avmask_v1,y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0004_t00135_desyncv2r2p15f,snvsm_v2_h264_aac16k_mono,4e99f98791,libx264,ultrafast,aac_128k_16khz_mono,16000,1
y3vBfCdY2tQ_clip0004_t00135_rev748ms_snvsmv2_4e99f98791_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_smoke_v2r3\snvsm\fake\y3vBfCdY2tQ_clip0004_t00135_rev748ms_snvsmv2_4e99f98791_crf40.mp4,1,frame_reverse,"reverse=[0.19,0.93]s(0.75s)",y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0004_t00135_rev748ms,snvsm_v2_h264_aac16k_mono,4e99f98791,libx264,ultrafast,aac_128k_16khz_mono,16000,1
y3vBfCdY2tQ_clip0004_t00135_flat236hz_snvsmv2_4e99f98791_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_smoke_v2r3\snvsm\fake\y3vBfCdY2tQ_clip0004_t00135_flat236hz_snvsmv2_4e99f98791_crf40.mp4,1,pitch_flatten,flatten_mean_F0=236Hz,y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0004_t00135_flat236hz,snvsm_v2_h264_aac16k_mono,4e99f98791,libx264,ultrafast,aac_128k_16khz_mono,16000,1
y3vBfCdY2tQ_clip0004_t00135_anonblu_snvsmv2_4e99f98791_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_smoke_v2r3\snvsm\fake\y3vBfCdY2tQ_clip0004_t00135_anonblu_snvsmv2_4e99f98791_crf40.mp4,1,anonymization,blur_k=auto_faceframes=110,y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0004_t00135_anonblu,snvsm_v2_h264_aac16k_mono,4e99f98791,libx264,ultrafast,aac_128k_16khz_mono,16000,1
y3vBfCdY2tQ_clip0005_t00139_desyncv2r2m3f_snvsmv2_4e99f98791_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_smoke_v2r3\snvsm\fake\y3vBfCdY2tQ_clip0005_t00139_desyncv2r2m3f_snvsmv2_4e99f98791_crf40.mp4,1,temporal_desync,shift=-3f;boundary=circular_wrap;audio_valid_start=0.000000;audio_valid_end=1.988005;visual_valid_start=0.120000;visual_valid_end=2.108005;generator=temporal_v2_circular_avmask_v1,y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0005_t00139_desyncv2r2m3f,snvsm_v2_h264_aac16k_mono,4e99f98791,libx264,ultrafast,aac_128k_16khz_mono,16000,1
y3vBfCdY2tQ_clip0005_t00139_rev493ms_snvsmv2_4e99f98791_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_smoke_v2r3\snvsm\fake\y3vBfCdY2tQ_clip0005_t00139_rev493ms_snvsmv2_4e99f98791_crf40.mp4,1,frame_reverse,"reverse=[0.42,0.91]s(0.49s)",y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0005_t00139_rev493ms,snvsm_v2_h264_aac16k_mono,4e99f98791,libx264,ultrafast,aac_128k_16khz_mono,16000,1
y3vBfCdY2tQ_clip0005_t00139_flat251hz_snvsmv2_4e99f98791_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_smoke_v2r3\snvsm\fake\y3vBfCdY2tQ_clip0005_t00139_flat251hz_snvsmv2_4e99f98791_crf40.mp4,1,pitch_flatten,flatten_mean_F0=251Hz,y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0005_t00139_flat251hz,snvsm_v2_h264_aac16k_mono,4e99f98791,libx264,ultrafast,aac_128k_16khz_mono,16000,1
y3vBfCdY2tQ_clip0005_t00139_anonblu_snvsmv2_4e99f98791_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_smoke_v2r3\snvsm\fake\y3vBfCdY2tQ_clip0005_t00139_anonblu_snvsmv2_4e99f98791_crf40.mp4,1,anonymization,blur_k=auto_faceframes=53,y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0005_t00139_anonblu,snvsm_v2_h264_aac16k_mono,4e99f98791,libx264,ultrafast,aac_128k_16khz_mono,16000,1
y3vBfCdY2tQ_clip0006_t00141_desyncv2r2p3f_snvsmv2_4e99f98791_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_smoke_v2r3\snvsm\fake\y3vBfCdY2tQ_clip0006_t00141_desyncv2r2p3f_snvsmv2_4e99f98791_crf40.mp4,1,temporal_desync,shift=3f;boundary=circular_wrap;audio_valid_start=0.120000;audio_valid_end=7.611995;visual_valid_start=0.000000;visual_valid_end=7.491995;generator=temporal_v2_circular_avmask_v1,y3vBfCdY2tQ_clip0006_t00141,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0006_t00141_desyncv2r2p3f,snvsm_v2_h264_aac16k_mono,4e99f98791,libx264,ultrafast,aac_128k_16khz_mono,16000,1
y3vBfCdY2tQ_clip0006_t00141_rev816ms_snvsmv2_4e99f98791_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_smoke_v2r3\snvsm\fake\y3vBfCdY2tQ_clip0006_t00141_rev816ms_snvsmv2_4e99f98791_crf40.mp4,1,frame_reverse,"reverse=[4.58,5.40]s(0.82s)",y3vBfCdY2tQ_clip0006_t00141,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0006_t00141_rev816ms,snvsm_v2_h264_aac16k_mono,4e99f98791,libx264,ultrafast,aac_128k_16khz_mono,16000,1
