clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,timeline_schema_version,timeline_mask_policy,timeline_boundary,timeline_duration_s,audio_valid_start_s,audio_valid_end_s,visual_valid_start_s,visual_valid_end_s,manipulation_scope,manipulation_start_s,manipulation_end_s
-jDBwP6g2tA_clip0002_t00009_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\-jDBwP6g2tA_clip0002_t00009_anonv2blu.mp4,1,anonymization,"blur_box=728,162,450,566;sigma=0;generator=anonymization_v2_exact_timeline_v1",-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,113,tier1,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,global,0.000000000,5.000000000
EMFwAo7a4rg_clip0021_t00402_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\EMFwAo7a4rg_clip0021_t00402_anonv2blu.mp4,1,anonymization,"blur_box=1323,325,202,237;sigma=0;generator=anonymization_v2_exact_timeline_v1",EMFwAo7a4rg_clip0021_t00402,EMFwAo7a4rg,101,tier1,av_timeline_v1,fixed_common_window_v1,native,2.680000000,0.000000000,2.652000000,0.000000000,2.680000000,global,0.000000000,2.652000000
XwMwDTPAyAo_clip0039_t00629_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\XwMwDTPAyAo_clip0039_t00629_anonv2blu.mp4,1,anonymization,"blur_box=467,157,240,369;sigma=0;generator=anonymization_v2_exact_timeline_v1",XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,27,tier1,av_timeline_v1,fixed_common_window_v1,native,4.200000000,0.000000000,4.188000000,0.000000000,4.200000000,global,0.000000000,4.188000000
jfQzsbl5zZc_clip0053_t00303_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\jfQzsbl5zZc_clip0053_t00303_anonv2blu.mp4,1,anonymization,"blur_box=373,152,535,583;sigma=0;generator=anonymization_v2_exact_timeline_v1",jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,native,5.005000000,0.000000000,5.000000000,0.000000000,5.005000000,global,0.000000000,5.000000000
ztblIi_pMPE_clip0003_t00213_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\ztblIi_pMPE_clip0003_t00213_anonv2blu.mp4,1,anonymization,"blur_box=374,208,434,506;sigma=0;generator=anonymization_v2_exact_timeline_v1",ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,native,4.320000000,0.000000000,4.284000000,0.000000000,4.320000000,global,0.000000000,4.284000000
0PsGwmgAI-k_clip0001_t00039_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\0PsGwmgAI-k_clip0001_t00039_anonv2blu.mp4,1,anonymization,"blur_box=813,123,311,359;sigma=0;generator=anonymization_v2_exact_timeline_v1",0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,4.988000000,0.000000000,5.000000000,global,0.000000000,4.988000000
FufWLL1IIrQ_clip0048_t00281_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\FufWLL1IIrQ_clip0048_t00281_anonv2blu.mp4,1,anonymization,"blur_box=534,291,329,477;sigma=0;generator=anonymization_v2_exact_timeline_v1",FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,native,2.068733333,0.000000000,2.044000000,0.000000000,2.068733333,global,0.000000000,2.044000000
UnodrLYWJYI_clip0033_t00368_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\UnodrLYWJYI_clip0033_t00368_anonv2blu.mp4,1,anonymization,"blur_box=371,264,227,346;sigma=0;generator=anonymization_v2_exact_timeline_v1",UnodrLYWJYI_clip0033_t00368,UnodrLYWJYI,466,tier2,av_timeline_v1,fixed_common_window_v1,native,6.900000000,0.000000000,6.876000000,0.000000000,6.900000000,global,0.000000000,6.876000000
mHTLamr-Zqk_clip0009_t00132_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\mHTLamr-Zqk_clip0009_t00132_anonv2blu.mp4,1,anonymization,"blur_box=1219,142,285,372;sigma=0;generator=anonymization_v2_exact_timeline_v1",mHTLamr-Zqk_clip0009_t00132,mHTLamr-Zqk,208,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,global,0.000000000,5.000000000
wKaFsRX95YY_clip0049_t00569_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\wKaFsRX95YY_clip0049_t00569_anonv2blu.mp4,1,anonymization,"blur_box=385,151,1096,500;sigma=0;generator=anonymization_v2_exact_timeline_v1",wKaFsRX95YY_clip0049_t00569,wKaFsRX95YY,940,tier2,av_timeline_v1,fixed_common_window_v1,native,5.920000000,0.000000000,5.916000000,0.000000000,5.920000000,global,0.000000000,5.916000000
7583660080017444104_clip0007_t00062_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\7583660080017444104_clip0007_t00062_anonv2blu.mp4,1,anonymization,"blur_box=213,652,713,745;sigma=0;generator=anonymization_v2_exact_timeline_v1",7583660080017444104_clip0007_t00062,7583660080017444104,72,tier3,av_timeline_v1,fixed_common_window_v1,native,2.066666667,0.000000000,2.044000000,0.000000000,2.066666667,global,0.000000000,2.044000000
7634057975606365461_clip0001_t00052_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\7634057975606365461_clip0001_t00052_anonv2blu.mp4,1,anonymization,"blur_box=17,401,738,577;sigma=0;generator=anonymization_v2_exact_timeline_v1",7634057975606365461_clip0001_t00052,7634057975606365461,311,tier3,av_timeline_v1,fixed_common_window_v1,native,3.966666667,0.000000000,3.964000000,0.000000000,3.966666667,global,0.000000000,3.964000000
7638262561955269889_clip0001_t00004_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\7638262561955269889_clip0001_t00004_anonv2blu.mp4,1,anonymization,"blur_box=292,450,485,282;sigma=0;generator=anonymization_v2_exact_timeline_v1",7638262561955269889_clip0001_t00004,7638262561955269889,73,tier3,av_timeline_v1,fixed_common_window_v1,native,11.100000000,0.000000000,11.100000000,0.000000000,11.100000000,global,0.000000000,11.100000000
7644036486509153554_clip0003_t00050_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\7644036486509153554_clip0003_t00050_anonv2blu.mp4,1,anonymization,"blur_box=303,263,543,535;sigma=0;generator=anonymization_v2_exact_timeline_v1",7644036486509153554_clip0003_t00050,7644036486509153554,726,tier3,av_timeline_v1,fixed_common_window_v1,native,7.000000000,0.000000000,6.972000000,0.000000000,7.000000000,global,0.000000000,6.972000000
7204326198501969178_clip0000_t00000_anonv2blu,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\anonymization\7204326198501969178_clip0000_t00000_anonv2blu.mp4,1,anonymization,"blur_box=0,0,720,1209;sigma=0;generator=anonymization_v2_exact_timeline_v1",7204326198501969178_clip0000_t00000,7204326198501969178,250,tier3,av_timeline_v1,fixed_common_window_v1,native,8.508508509,0.000000000,8.359187500,0.000000000,8.508508509,global,0.000000000,8.359187500
