clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,timeline_schema_version,timeline_mask_policy,timeline_boundary,timeline_duration_s,audio_valid_start_s,audio_valid_end_s,visual_valid_start_s,visual_valid_end_s,manipulation_scope,manipulation_start_s,manipulation_end_s,crf,orig_clip_id,snvsm_version,snvsm_config_id,snvsm_encoder,snvsm_preset,snvsm_audio,snvsm_sample_rate,snvsm_channels,snvsm_target_samples,snvsm_mode,snvsm_crf_set,snvsm_seed,snvsm_pair_key,snvsm_video_frames,snvsm_video_fps,snvsm_video_duration_s
-jDBwP6g2tA_clip0002_t00009_desyncv2r2p15f_snvsmv2_470c00f4ee_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\-jDBwP6g2tA_clip0002_t00009_desyncv2r2p15f_snvsmv2_470c00f4ee_crf30.mp4,1,temporal_desync,shift=15f;generator=temporal_v2_structured_timeline_v1,-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,113,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.000000000,0.300000000,5.000000000,0.000000000,4.700000000,global,0.300000000,4.700000000,30,-jDBwP6g2tA_clip0002_t00009_desyncv2r2p15f,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,-jDBwP6g2tA_clip0002_t00009,250,50,5.000000000
-jDBwP6g2tA_clip0002_t00009_revv2f10-47_snvsmv2_470c00f4ee_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\-jDBwP6g2tA_clip0002_t00009_revv2f10-47_snvsmv2_470c00f4ee_crf30.mp4,1,frame_reverse,"reverse_frames=[10,47);generator=frame_reverse_v2_exact_timeline_v1",-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,113,tier1,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,local,0.200000000,0.940000000,30,-jDBwP6g2tA_clip0002_t00009_revv2f10-47,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,-jDBwP6g2tA_clip0002_t00009,250,50,5.000000000
-jDBwP6g2tA_clip0002_t00009_flatv2mean150hz_snvsmv2_470c00f4ee_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\-jDBwP6g2tA_clip0002_t00009_flatv2mean150hz_snvsmv2_470c00f4ee_crf30.mp4,1,pitch_flatten,flatten_mean_F0=150Hz;generator=pitch_flatten_v2_exact_timeline_v1,-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,113,tier1,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,global,0.000000000,5.000000000,30,-jDBwP6g2tA_clip0002_t00009_flatv2mean150hz,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,-jDBwP6g2tA_clip0002_t00009,250,50,5.000000000
-jDBwP6g2tA_clip0002_t00009_anonv2blu_snvsmv2_470c00f4ee_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\-jDBwP6g2tA_clip0002_t00009_anonv2blu_snvsmv2_470c00f4ee_crf30.mp4,1,anonymization,"blur_box=728,162,450,566;sigma=0;generator=anonymization_v2_exact_timeline_v1",-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,113,tier1,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,global,0.000000000,5.000000000,30,-jDBwP6g2tA_clip0002_t00009_anonv2blu,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,-jDBwP6g2tA_clip0002_t00009,250,50,5.000000000
EMFwAo7a4rg_clip0021_t00402_desyncv2r2m3f_snvsmv2_470c00f4ee_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\EMFwAo7a4rg_clip0021_t00402_desyncv2r2m3f_snvsmv2_470c00f4ee_crf40.mp4,1,temporal_desync,shift=-3f;generator=temporal_v2_structured_timeline_v1,EMFwAo7a4rg_clip0021_t00402,EMFwAo7a4rg,101,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,2.680000000,0.000000000,2.531995465,0.120000000,2.680000000,global,0.120000000,2.531995465,40,EMFwAo7a4rg_clip0021_t00402_desyncv2r2m3f,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,42432,random,"23,30,35,40",42,EMFwAo7a4rg_clip0021_t00402,67,25,2.680000000
EMFwAo7a4rg_clip0021_t00402_revv2f13-25_snvsmv2_470c00f4ee_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\EMFwAo7a4rg_clip0021_t00402_revv2f13-25_snvsmv2_470c00f4ee_crf40.mp4,1,frame_reverse,"reverse_frames=[13,25);generator=frame_reverse_v2_exact_timeline_v1",EMFwAo7a4rg_clip0021_t00402,EMFwAo7a4rg,101,tier1,av_timeline_v1,fixed_common_window_v1,native,2.680000000,0.000000000,2.652000000,0.000000000,2.680000000,local,0.520000000,1.000000000,40,EMFwAo7a4rg_clip0021_t00402_revv2f13-25,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,42432,random,"23,30,35,40",42,EMFwAo7a4rg_clip0021_t00402,67,25,2.680000000
EMFwAo7a4rg_clip0021_t00402_flatv2mean124hz_snvsmv2_470c00f4ee_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\EMFwAo7a4rg_clip0021_t00402_flatv2mean124hz_snvsmv2_470c00f4ee_crf40.mp4,1,pitch_flatten,flatten_mean_F0=124Hz;generator=pitch_flatten_v2_exact_timeline_v1,EMFwAo7a4rg_clip0021_t00402,EMFwAo7a4rg,101,tier1,av_timeline_v1,fixed_common_window_v1,native,2.680000000,0.000000000,2.652000000,0.000000000,2.680000000,global,0.000000000,2.652000000,40,EMFwAo7a4rg_clip0021_t00402_flatv2mean124hz,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,42432,random,"23,30,35,40",42,EMFwAo7a4rg_clip0021_t00402,67,25,2.680000000
EMFwAo7a4rg_clip0021_t00402_anonv2blu_snvsmv2_470c00f4ee_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\EMFwAo7a4rg_clip0021_t00402_anonv2blu_snvsmv2_470c00f4ee_crf40.mp4,1,anonymization,"blur_box=1323,325,202,237;sigma=0;generator=anonymization_v2_exact_timeline_v1",EMFwAo7a4rg_clip0021_t00402,EMFwAo7a4rg,101,tier1,av_timeline_v1,fixed_common_window_v1,native,2.680000000,0.000000000,2.652000000,0.000000000,2.680000000,global,0.000000000,2.652000000,40,EMFwAo7a4rg_clip0021_t00402_anonv2blu,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,42432,random,"23,30,35,40",42,EMFwAo7a4rg_clip0021_t00402,67,25,2.680000000
XwMwDTPAyAo_clip0039_t00629_desyncv2r2p3f_snvsmv2_470c00f4ee_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\XwMwDTPAyAo_clip0039_t00629_desyncv2r2p3f_snvsmv2_470c00f4ee_crf23.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,27,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,4.200000000,0.120000000,4.188004535,0.000000000,4.080000000,global,0.120000000,4.080000000,23,XwMwDTPAyAo_clip0039_t00629_desyncv2r2p3f,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,67008,random,"23,30,35,40",42,XwMwDTPAyAo_clip0039_t00629,105,25,4.200000000
XwMwDTPAyAo_clip0039_t00629_revv2f56-76_snvsmv2_470c00f4ee_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\fake\XwMwDTPAyAo_clip0039_t00629_revv2f56-76_snvsmv2_470c00f4ee_crf23.mp4,1,frame_reverse,"reverse_frames=[56,76);generator=frame_reverse_v2_exact_timeline_v1",XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,27,tier1,av_timeline_v1,fixed_common_window_v1,native,4.200000000,0.000000000,4.188000000,0.000000000,4.200000000,local,2.240000000,3.040000000,23,XwMwDTPAyAo_clip0039_t00629_revv2f56-76,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,67008,random,"23,30,35,40",42,XwMwDTPAyAo_clip0039_t00629,105,25,4.200000000
