clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,timeline_schema_version,timeline_mask_policy,timeline_boundary,timeline_duration_s,audio_valid_start_s,audio_valid_end_s,visual_valid_start_s,visual_valid_end_s,manipulation_scope,manipulation_start_s,manipulation_end_s
-jDBwP6g2tA_clip0002_t00009_revv2f10-47,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\-jDBwP6g2tA_clip0002_t00009_revv2f10-47.mp4,1,frame_reverse,"reverse_frames=[10,47);generator=frame_reverse_v2_exact_timeline_v1",-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,113,tier1,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,local,0.200000000,0.940000000
EMFwAo7a4rg_clip0021_t00402_revv2f13-25,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\EMFwAo7a4rg_clip0021_t00402_revv2f13-25.mp4,1,frame_reverse,"reverse_frames=[13,25);generator=frame_reverse_v2_exact_timeline_v1",EMFwAo7a4rg_clip0021_t00402,EMFwAo7a4rg,101,tier1,av_timeline_v1,fixed_common_window_v1,native,2.680000000,0.000000000,2.652000000,0.000000000,2.680000000,local,0.520000000,1.000000000
XwMwDTPAyAo_clip0039_t00629_revv2f56-76,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\XwMwDTPAyAo_clip0039_t00629_revv2f56-76.mp4,1,frame_reverse,"reverse_frames=[56,76);generator=frame_reverse_v2_exact_timeline_v1",XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,27,tier1,av_timeline_v1,fixed_common_window_v1,native,4.200000000,0.000000000,4.188000000,0.000000000,4.200000000,local,2.240000000,3.040000000
jfQzsbl5zZc_clip0053_t00303_revv2f13-41,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\jfQzsbl5zZc_clip0053_t00303_revv2f13-41.mp4,1,frame_reverse,"reverse_frames=[13,41);generator=frame_reverse_v2_exact_timeline_v1",jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,native,5.005000000,0.000000000,5.000000000,0.000000000,5.005000000,local,0.433766667,1.368033333
ztblIi_pMPE_clip0003_t00213_revv2f5-20,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\ztblIi_pMPE_clip0003_t00213_revv2f5-20.mp4,1,frame_reverse,"reverse_frames=[5,20);generator=frame_reverse_v2_exact_timeline_v1",ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,native,4.320000000,0.000000000,4.284000000,0.000000000,4.320000000,local,0.200000000,0.800000000
0PsGwmgAI-k_clip0001_t00039_revv2f69-83,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\0PsGwmgAI-k_clip0001_t00039_revv2f69-83.mp4,1,frame_reverse,"reverse_frames=[69,83);generator=frame_reverse_v2_exact_timeline_v1",0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,4.988000000,0.000000000,5.000000000,local,2.300000000,2.766666667
FufWLL1IIrQ_clip0048_t00281_revv2f12-22,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\FufWLL1IIrQ_clip0048_t00281_revv2f12-22.mp4,1,frame_reverse,"reverse_frames=[12,22);generator=frame_reverse_v2_exact_timeline_v1",FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,native,2.068733333,0.000000000,2.044000000,0.000000000,2.068733333,local,0.400400000,0.734066667
UnodrLYWJYI_clip0033_t00368_revv2f100-123,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\UnodrLYWJYI_clip0033_t00368_revv2f100-123.mp4,1,frame_reverse,"reverse_frames=[100,123);generator=frame_reverse_v2_exact_timeline_v1",UnodrLYWJYI_clip0033_t00368,UnodrLYWJYI,466,tier2,av_timeline_v1,fixed_common_window_v1,native,6.900000000,0.000000000,6.876000000,0.000000000,6.900000000,local,3.333333333,4.100000000
mHTLamr-Zqk_clip0009_t00132_revv2f80-94,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\mHTLamr-Zqk_clip0009_t00132_revv2f80-94.mp4,1,frame_reverse,"reverse_frames=[80,94);generator=frame_reverse_v2_exact_timeline_v1",mHTLamr-Zqk_clip0009_t00132,mHTLamr-Zqk,208,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,local,2.666666667,3.133333333
wKaFsRX95YY_clip0049_t00569_revv2f3-25,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\frame_reverse\wKaFsRX95YY_clip0049_t00569_revv2f3-25.mp4,1,frame_reverse,"reverse_frames=[3,25);generator=frame_reverse_v2_exact_timeline_v1",wKaFsRX95YY_clip0049_t00569,wKaFsRX95YY,940,tier2,av_timeline_v1,fixed_common_window_v1,native,5.920000000,0.000000000,5.916000000,0.000000000,5.920000000,local,0.120000000,1.000000000
