clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,det_ratio,mean_face_area,has_embedding,n_sampled,embed_consistency,speaker_id,quality
-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,9.282,14.282,5.0,1.0,1.0,12.82,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0002_t00009.mp4,tier1,1,1.0,0.0447852164506912,True,9,0.900996744632721,113,0.746111924662887
EMFwAo7a4rg_clip0021_t00402,EMFwAo7a4rg,402.754,405.406,2.652,1.0,1.0,4.07,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\EMFwAo7a4rg_clip0021_t00402.mp4,tier1,1,1.0,0.0119207222014665,True,9,0.7356398701667786,101,0.6259557748004445
XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,629.186,633.374,4.188,1.0,1.0,5.02,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\XwMwDTPAyAo_clip0039_t00629.mp4,tier1,1,1.0,0.0179427955299615,True,9,0.8669508695602417,27,0.6657986133523763
jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,303.17,308.17,5.0,1.0,1.0,20.38,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\jfQzsbl5zZc_clip0053_t00303.mp4,tier1,1,1.0,0.0507327057421207,True,9,0.8573905229568481,268,0.7548805547162578
ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,213.954,218.238,4.284,1.0,1.0,3.3,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\ztblIi_pMPE_clip0003_t00213.mp4,tier1,1,1.0,0.0297953654080629,True,9,0.8502311706542969,156,0.6956583737200166
0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,39.49,44.478,4.988,1.0,1.0,4.54,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\0PsGwmgAI-k_clip0001_t00039.mp4,tier2,1,1.0,0.0223226118832826,True,9,0.8761042356491089,276,0.6795381251410808
FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,281.186,283.23,2.044,1.0,1.0,1.91,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\FufWLL1IIrQ_clip0048_t00281.mp4,tier2,1,1.0,0.0356439240276813,True,9,0.9870583415031432,100,0.7359943307075507
UnodrLYWJYI_clip0033_t00368,UnodrLYWJYI,368.514,375.39,6.876,1.0,1.0,14.94,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\UnodrLYWJYI_clip0033_t00368.mp4,tier2,1,1.0,0.0171964131295681,True,9,0.8731856942176819,466,0.6648327400402462
mHTLamr-Zqk_clip0009_t00132,mHTLamr-Zqk,132.546,137.546,5.0,1.0,1.0,15.83,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0009_t00132.mp4,tier2,1,1.0,0.0249215401709079,True,9,0.8829167485237122,208,0.6879346891098916
wKaFsRX95YY_clip0049_t00569,wKaFsRX95YY,569.538,575.454,5.916,1.0,1.0,6.93,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\wKaFsRX95YY_clip0049_t00569.mp4,tier2,1,1.0,0.0326472036540508,True,9,0.3198912441730499,940,0.6099634363364892
7204326198501969178_clip0000_t00000,7204326198501969178,0.002,8.478,8.476,1.0,1.0,2.21,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7204326198501969178_clip0000_t00000.mp4,tier3,1,0.8888888888888888,0.4841248393058777,True,9,0.728277862071991,250,0.8997614527839461
7583660080017444104_clip0007_t00062,7583660080017444104,62.018,64.062,2.044,1.0,1.0,11.95,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7583660080017444104_clip0007_t00062.mp4,tier3,1,1.0,0.0743051171302795,True,9,0.7153497338294983,72,0.7950677052453682
7634057975606365461_clip0001_t00052,7634057975606365461,52.258,56.222,3.964,1.0,1.0,-0.35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7634057975606365461_clip0001_t00052.mp4,tier3,1,1.0,0.0241708979010581,True,9,0.3428835272789001,311,0.5905567802284726
7638262561955269889_clip0001_t00004,7638262561955269889,4.61,15.71,11.1,1.0,1.0,20.72,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7638262561955269889_clip0001_t00004.mp4,tier3,1,1.0,0.0105107966810464,True,9,0.7267926335334778,73,0.6204915405500748
7644036486509153554_clip0003_t00050,7644036486509153554,50.05,57.022,6.972,0.857,1.0,11.02,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7644036486509153554_clip0003_t00050.mp4,tier3,1,1.0,0.0393075309693813,True,9,0.5894388556480408,726,0.6759677864454587
