clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,timeline_schema_version,timeline_mask_policy,timeline_boundary,timeline_duration_s,audio_valid_start_s,audio_valid_end_s,visual_valid_start_s,visual_valid_end_s,manipulation_scope,manipulation_start_s,manipulation_end_s
-jDBwP6g2tA_clip0002_t00009_flatv2mean150hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\-jDBwP6g2tA_clip0002_t00009_flatv2mean150hz.mp4,1,pitch_flatten,flatten_mean_F0=150Hz;generator=pitch_flatten_v2_exact_timeline_v1,-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,113,tier1,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,global,0.000000000,5.000000000
EMFwAo7a4rg_clip0021_t00402_flatv2mean124hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\EMFwAo7a4rg_clip0021_t00402_flatv2mean124hz.mp4,1,pitch_flatten,flatten_mean_F0=124Hz;generator=pitch_flatten_v2_exact_timeline_v1,EMFwAo7a4rg_clip0021_t00402,EMFwAo7a4rg,101,tier1,av_timeline_v1,fixed_common_window_v1,native,2.680000000,0.000000000,2.652000000,0.000000000,2.680000000,global,0.000000000,2.652000000
XwMwDTPAyAo_clip0039_t00629_flatv2mean145hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\XwMwDTPAyAo_clip0039_t00629_flatv2mean145hz.mp4,1,pitch_flatten,flatten_mean_F0=145Hz;generator=pitch_flatten_v2_exact_timeline_v1,XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,27,tier1,av_timeline_v1,fixed_common_window_v1,native,4.200000000,0.000000000,4.188000000,0.000000000,4.200000000,global,0.000000000,4.188000000
jfQzsbl5zZc_clip0053_t00303_flatv2mean202hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\jfQzsbl5zZc_clip0053_t00303_flatv2mean202hz.mp4,1,pitch_flatten,flatten_mean_F0=202Hz;generator=pitch_flatten_v2_exact_timeline_v1,jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,native,5.005000000,0.000000000,5.000000000,0.000000000,5.005000000,global,0.000000000,5.000000000
ztblIi_pMPE_clip0003_t00213_flatv2mean146hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\ztblIi_pMPE_clip0003_t00213_flatv2mean146hz.mp4,1,pitch_flatten,flatten_mean_F0=146Hz;generator=pitch_flatten_v2_exact_timeline_v1,ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,native,4.320000000,0.000000000,4.284000000,0.000000000,4.320000000,global,0.000000000,4.284000000
0PsGwmgAI-k_clip0001_t00039_flatv2mean127hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\0PsGwmgAI-k_clip0001_t00039_flatv2mean127hz.mp4,1,pitch_flatten,flatten_mean_F0=127Hz;generator=pitch_flatten_v2_exact_timeline_v1,0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,4.988000000,0.000000000,5.000000000,global,0.000000000,4.988000000
FufWLL1IIrQ_clip0048_t00281_flatv2mean133hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\FufWLL1IIrQ_clip0048_t00281_flatv2mean133hz.mp4,1,pitch_flatten,flatten_mean_F0=133Hz;generator=pitch_flatten_v2_exact_timeline_v1,FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,native,2.068733333,0.000000000,2.044000000,0.000000000,2.068733333,global,0.000000000,2.044000000
UnodrLYWJYI_clip0033_t00368_flatv2mean205hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\UnodrLYWJYI_clip0033_t00368_flatv2mean205hz.mp4,1,pitch_flatten,flatten_mean_F0=205Hz;generator=pitch_flatten_v2_exact_timeline_v1,UnodrLYWJYI_clip0033_t00368,UnodrLYWJYI,466,tier2,av_timeline_v1,fixed_common_window_v1,native,6.900000000,0.000000000,6.876000000,0.000000000,6.900000000,global,0.000000000,6.876000000
mHTLamr-Zqk_clip0009_t00132_flatv2mean216hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\mHTLamr-Zqk_clip0009_t00132_flatv2mean216hz.mp4,1,pitch_flatten,flatten_mean_F0=216Hz;generator=pitch_flatten_v2_exact_timeline_v1,mHTLamr-Zqk_clip0009_t00132,mHTLamr-Zqk,208,tier2,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,global,0.000000000,5.000000000
wKaFsRX95YY_clip0049_t00569_flatv2mean238hz,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\pitch_flatten\wKaFsRX95YY_clip0049_t00569_flatv2mean238hz.mp4,1,pitch_flatten,flatten_mean_F0=238Hz;generator=pitch_flatten_v2_exact_timeline_v1,wKaFsRX95YY_clip0049_t00569,wKaFsRX95YY,940,tier2,av_timeline_v1,fixed_common_window_v1,native,5.920000000,0.000000000,5.916000000,0.000000000,5.920000000,global,0.000000000,5.916000000
