clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,det_ratio,mean_face_area,has_embedding,n_sampled,embed_consistency,speaker_id,quality,crf,orig_clip_id,snvsm_version,snvsm_config_id,snvsm_encoder,snvsm_preset,snvsm_audio,snvsm_sample_rate,snvsm_channels,snvsm_target_samples,snvsm_mode,snvsm_crf_set,snvsm_seed,snvsm_pair_key,snvsm_video_frames,snvsm_video_fps,snvsm_video_duration_s,timeline_schema_version,timeline_mask_policy,timeline_boundary,timeline_duration_s,audio_valid_start_s,audio_valid_end_s,visual_valid_start_s,visual_valid_end_s,manipulation_scope,manipulation_start_s,manipulation_end_s
-jDBwP6g2tA_clip0002_t00009_snvsmv2_470c00f4ee_crf30,-jDBwP6g2tA,9.282,14.282,5.0,1.0,1.0,12.82,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\real\-jDBwP6g2tA_clip0002_t00009_snvsmv2_470c00f4ee_crf30.mp4,tier1,1,1.0,0.0447852164506912,True,9,0.900996744632721,113,0.746111924662887,30,-jDBwP6g2tA_clip0002_t00009,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,-jDBwP6g2tA_clip0002_t00009,250,50,5.000000000,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,none,,
EMFwAo7a4rg_clip0021_t00402_snvsmv2_470c00f4ee_crf40,EMFwAo7a4rg,402.754,405.406,2.652,1.0,1.0,4.07,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\real\EMFwAo7a4rg_clip0021_t00402_snvsmv2_470c00f4ee_crf40.mp4,tier1,1,1.0,0.0119207222014665,True,9,0.7356398701667786,101,0.6259557748004445,40,EMFwAo7a4rg_clip0021_t00402,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,42432,random,"23,30,35,40",42,EMFwAo7a4rg_clip0021_t00402,67,25,2.680000000,av_timeline_v1,fixed_common_window_v1,native,2.680000000,0.000000000,2.652000000,0.000000000,2.680000000,none,,
XwMwDTPAyAo_clip0039_t00629_snvsmv2_470c00f4ee_crf23,XwMwDTPAyAo,629.186,633.374,4.188,1.0,1.0,5.02,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\real\XwMwDTPAyAo_clip0039_t00629_snvsmv2_470c00f4ee_crf23.mp4,tier1,1,1.0,0.0179427955299615,True,9,0.8669508695602417,27,0.6657986133523763,23,XwMwDTPAyAo_clip0039_t00629,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,67008,random,"23,30,35,40",42,XwMwDTPAyAo_clip0039_t00629,105,25,4.200000000,av_timeline_v1,fixed_common_window_v1,native,4.200000000,0.000000000,4.188000000,0.000000000,4.200000000,none,,
jfQzsbl5zZc_clip0053_t00303_snvsmv2_470c00f4ee_crf35,jfQzsbl5zZc,303.17,308.17,5.0,1.0,1.0,20.38,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\real\jfQzsbl5zZc_clip0053_t00303_snvsmv2_470c00f4ee_crf35.mp4,tier1,1,1.0,0.0507327057421207,True,9,0.8573905229568481,268,0.7548805547162578,35,jfQzsbl5zZc_clip0053_t00303,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,jfQzsbl5zZc_clip0053_t00303,150,30000/1001,5.005000000,av_timeline_v1,fixed_common_window_v1,native,5.005000000,0.000000000,5.000000000,0.000000000,5.005000000,none,,
ztblIi_pMPE_clip0003_t00213_snvsmv2_470c00f4ee_crf30,ztblIi_pMPE,213.954,218.238,4.284,1.0,1.0,3.3,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\real\ztblIi_pMPE_clip0003_t00213_snvsmv2_470c00f4ee_crf30.mp4,tier1,1,1.0,0.0297953654080629,True,9,0.8502311706542969,156,0.6956583737200166,30,ztblIi_pMPE_clip0003_t00213,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,68544,random,"23,30,35,40",42,ztblIi_pMPE_clip0003_t00213,108,25,4.320000000,av_timeline_v1,fixed_common_window_v1,native,4.320000000,0.000000000,4.284000000,0.000000000,4.320000000,none,,
0PsGwmgAI-k_clip0001_t00039_snvsmv2_470c00f4ee_crf35,0PsGwmgAI-k,39.49,44.478,4.988,1.0,1.0,4.54,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\real\0PsGwmgAI-k_clip0001_t00039_snvsmv2_470c00f4ee_crf35.mp4,tier2,1,1.0,0.0223226118832826,True,9,0.8761042356491089,276,0.6795381251410808,35,0PsGwmgAI-k_clip0001_t00039,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,79808,random,"23,30,35,40",42,0PsGwmgAI-k_clip0001_t00039,150,30,5.000000000,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,4.988000000,0.000000000,5.000000000,none,,
FufWLL1IIrQ_clip0048_t00281_snvsmv2_470c00f4ee_crf23,FufWLL1IIrQ,281.186,283.23,2.044,1.0,1.0,1.91,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\real\FufWLL1IIrQ_clip0048_t00281_snvsmv2_470c00f4ee_crf23.mp4,tier2,1,1.0,0.0356439240276813,True,9,0.9870583415031432,100,0.7359943307075507,23,FufWLL1IIrQ_clip0048_t00281,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,32704,random,"23,30,35,40",42,FufWLL1IIrQ_clip0048_t00281,62,30000/1001,2.068733333,av_timeline_v1,fixed_common_window_v1,native,2.068733333,0.000000000,2.044000000,0.000000000,2.068733333,none,,
UnodrLYWJYI_clip0033_t00368_snvsmv2_470c00f4ee_crf23,UnodrLYWJYI,368.514,375.39,6.876,1.0,1.0,14.94,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\real\UnodrLYWJYI_clip0033_t00368_snvsmv2_470c00f4ee_crf23.mp4,tier2,1,1.0,0.0171964131295681,True,9,0.8731856942176819,466,0.6648327400402462,23,UnodrLYWJYI_clip0033_t00368,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,110016,random,"23,30,35,40",42,UnodrLYWJYI_clip0033_t00368,207,30,6.900000000,av_timeline_v1,fixed_common_window_v1,native,6.900000000,0.000000000,6.876000000,0.000000000,6.900000000,none,,
mHTLamr-Zqk_clip0009_t00132_snvsmv2_470c00f4ee_crf23,mHTLamr-Zqk,132.546,137.546,5.0,1.0,1.0,15.83,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\real\mHTLamr-Zqk_clip0009_t00132_snvsmv2_470c00f4ee_crf23.mp4,tier2,1,1.0,0.0249215401709079,True,9,0.8829167485237122,208,0.6879346891098916,23,mHTLamr-Zqk_clip0009_t00132,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,80000,random,"23,30,35,40",42,mHTLamr-Zqk_clip0009_t00132,150,30,5.000000000,av_timeline_v1,fixed_common_window_v1,native,5.000000000,0.000000000,5.000000000,0.000000000,5.000000000,none,,
wKaFsRX95YY_clip0049_t00569_snvsmv2_470c00f4ee_crf30,wKaFsRX95YY,569.538,575.454,5.916,1.0,1.0,6.93,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\snvsm\real\wKaFsRX95YY_clip0049_t00569_snvsmv2_470c00f4ee_crf30.mp4,tier2,1,1.0,0.0326472036540508,True,9,0.3198912441730499,940,0.6099634363364892,30,wKaFsRX95YY_clip0049_t00569,snvsm_v2_h264_aac16k_mono_exactdur,470c00f4ee,libx264,veryfast,aac_128k_16khz_mono,16000,1,94656,random,"23,30,35,40",42,wKaFsRX95YY_clip0049_t00569,148,25,5.920000000,av_timeline_v1,fixed_common_window_v1,native,5.920000000,0.000000000,5.916000000,0.000000000,5.920000000,none,,
