clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,timeline_schema_version,timeline_mask_policy,timeline_boundary,timeline_duration_s,audio_valid_start_s,audio_valid_end_s,visual_valid_start_s,visual_valid_end_s,manipulation_scope,manipulation_start_s,manipulation_end_s
-jDBwP6g2tA_clip0002_t00009_desyncv2r2p15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\-jDBwP6g2tA_clip0002_t00009_desyncv2r2p15f.mp4,1,temporal_desync,shift=15f;generator=temporal_v2_structured_timeline_v1,-jDBwP6g2tA_clip0002_t00009,-jDBwP6g2tA,113,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.000000000,0.300000000,5.000000000,0.000000000,4.700000000,global,0.300000000,4.700000000
EMFwAo7a4rg_clip0021_t00402_desyncv2r2m3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\EMFwAo7a4rg_clip0021_t00402_desyncv2r2m3f.mp4,1,temporal_desync,shift=-3f;generator=temporal_v2_structured_timeline_v1,EMFwAo7a4rg_clip0021_t00402,EMFwAo7a4rg,101,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,2.680000000,0.000000000,2.531995465,0.120000000,2.680000000,global,0.120000000,2.531995465
XwMwDTPAyAo_clip0039_t00629_desyncv2r2p3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\XwMwDTPAyAo_clip0039_t00629_desyncv2r2p3f.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,XwMwDTPAyAo_clip0039_t00629,XwMwDTPAyAo,27,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,4.200000000,0.120000000,4.188004535,0.000000000,4.080000000,global,0.120000000,4.080000000
jfQzsbl5zZc_clip0053_t00303_desyncv2r2p3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\jfQzsbl5zZc_clip0053_t00303_desyncv2r2p3f.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,jfQzsbl5zZc_clip0053_t00303,jfQzsbl5zZc,268,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.005000000,0.100100000,5.000000000,0.000000000,4.904900000,global,0.100100000,4.904900000
ztblIi_pMPE_clip0003_t00213_desyncv2r2p15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\ztblIi_pMPE_clip0003_t00213_desyncv2r2p15f.mp4,1,temporal_desync,shift=15f;generator=temporal_v2_structured_timeline_v1,ztblIi_pMPE_clip0003_t00213,ztblIi_pMPE,156,tier1,av_timeline_v1,fixed_common_window_v1,circular_wrap,4.320000000,0.600000000,4.283990930,0.000000000,3.720000000,global,0.600000000,3.720000000
0PsGwmgAI-k_clip0001_t00039_desyncv2r2m15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\0PsGwmgAI-k_clip0001_t00039_desyncv2r2m15f.mp4,1,temporal_desync,shift=-15f;generator=temporal_v2_structured_timeline_v1,0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,276,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.000000000,0.000000000,4.488004535,0.500000000,5.000000000,global,0.500000000,4.488004535
FufWLL1IIrQ_clip0048_t00281_desyncv2r2p3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\FufWLL1IIrQ_clip0048_t00281_desyncv2r2p3f.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,FufWLL1IIrQ_clip0048_t00281,FufWLL1IIrQ,100,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,2.068733000,0.100100000,2.043990930,0.000000000,1.968633000,global,0.100100000,1.968633000
UnodrLYWJYI_clip0033_t00368_desyncv2r2p3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\UnodrLYWJYI_clip0033_t00368_desyncv2r2p3f.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,UnodrLYWJYI_clip0033_t00368,UnodrLYWJYI,466,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,6.900000000,0.100000000,6.876009070,0.000000000,6.800000000,global,0.100000000,6.800000000
mHTLamr-Zqk_clip0009_t00132_desyncv2r2p3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\mHTLamr-Zqk_clip0009_t00132_desyncv2r2p3f.mp4,1,temporal_desync,shift=3f;generator=temporal_v2_structured_timeline_v1,mHTLamr-Zqk_clip0009_t00132,mHTLamr-Zqk,208,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.000000000,0.100000000,5.000000000,0.000000000,4.900000000,global,0.100000000,4.900000000
wKaFsRX95YY_clip0049_t00569_desyncv2r2p15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\wKaFsRX95YY_clip0049_t00569_desyncv2r2p15f.mp4,1,temporal_desync,shift=15f;generator=temporal_v2_structured_timeline_v1,wKaFsRX95YY_clip0049_t00569,wKaFsRX95YY,940,tier2,av_timeline_v1,fixed_common_window_v1,circular_wrap,5.920000000,0.600000000,5.916009070,0.000000000,5.320000000,global,0.600000000,5.320000000
7583660080017444104_clip0007_t00062_desyncv2r2m3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\7583660080017444104_clip0007_t00062_desyncv2r2m3f.mp4,1,temporal_desync,shift=-3f;generator=temporal_v2_structured_timeline_v1,7583660080017444104_clip0007_t00062,7583660080017444104,72,tier3,av_timeline_v1,fixed_common_window_v1,circular_wrap,2.066667000,0.000000000,1.943990930,0.100000000,2.066667000,global,0.100000000,1.943990930
7634057975606365461_clip0001_t00052_desyncv2r2m15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\7634057975606365461_clip0001_t00052_desyncv2r2m15f.mp4,1,temporal_desync,shift=-15f;generator=temporal_v2_structured_timeline_v1,7634057975606365461_clip0001_t00052,7634057975606365461,311,tier3,av_timeline_v1,fixed_common_window_v1,circular_wrap,3.966667000,0.000000000,3.463990930,0.500000000,3.966667000,global,0.500000000,3.463990930
7644036486509153554_clip0003_t00050_desyncv2r2m15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\phase0_v2_smoke\03_fake\phase0_stratified_smoke_v2r6\generator\temporal\7644036486509153554_clip0003_t00050_desyncv2r2m15f.mp4,1,temporal_desync,shift=-15f;generator=temporal_v2_structured_timeline_v1,7644036486509153554_clip0003_t00050,7644036486509153554,726,tier3,av_timeline_v1,fixed_common_window_v1,circular_wrap,7.000000000,0.000000000,6.371995465,0.600000000,7.000000000,global,0.600000000,6.371995465
