clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier
y3vBfCdY2tQ_clip0004_t00135_desyncp15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0004_t00135_desyncp15f.mp4,1,temporal_desync,shift=15f,y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0005_t00139_desyncm3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0005_t00139_desyncm3f.mp4,1,temporal_desync,shift=-3f,y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0006_t00141_desyncp3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0006_t00141_desyncp3f.mp4,1,temporal_desync,shift=3f,y3vBfCdY2tQ_clip0006_t00141,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0007_t00149_desyncp3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0007_t00149_desyncp3f.mp4,1,temporal_desync,shift=3f,y3vBfCdY2tQ_clip0007_t00149,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0008_t00156_desyncp15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0008_t00156_desyncp15f.mp4,1,temporal_desync,shift=15f,y3vBfCdY2tQ_clip0008_t00156,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0009_t00160_desyncm15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0009_t00160_desyncm15f.mp4,1,temporal_desync,shift=-15f,y3vBfCdY2tQ_clip0009_t00160,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0010_t00164_desyncp3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0010_t00164_desyncp3f.mp4,1,temporal_desync,shift=3f,y3vBfCdY2tQ_clip0010_t00164,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0011_t00171_desyncp3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0011_t00171_desyncp3f.mp4,1,temporal_desync,shift=3f,y3vBfCdY2tQ_clip0011_t00171,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0024_t00263_desyncp3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0024_t00263_desyncp3f.mp4,1,temporal_desync,shift=3f,y3vBfCdY2tQ_clip0024_t00263,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0028_t00283_desyncp15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0028_t00283_desyncp15f.mp4,1,temporal_desync,shift=15f,y3vBfCdY2tQ_clip0028_t00283,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0031_t00303_desyncm15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0031_t00303_desyncm15f.mp4,1,temporal_desync,shift=-15f,y3vBfCdY2tQ_clip0031_t00303,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0032_t00305_desyncm3f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0032_t00305_desyncm3f.mp4,1,temporal_desync,shift=-3f,y3vBfCdY2tQ_clip0032_t00305,y3vBfCdY2tQ,0,tier1
y3vBfCdY2tQ_clip0033_t00313_desyncm15f,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\y3vBfCdY2tQ_clip0033_t00313_desyncm15f.mp4,1,temporal_desync,shift=-15f,y3vBfCdY2tQ_clip0033_t00313,y3vBfCdY2tQ,0,tier1
