clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,crf,orig_clip_id
y3vBfCdY2tQ_clip0004_t00135_desyncp15f_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\fake\y3vBfCdY2tQ_clip0004_t00135_desyncp15f_crf35.mp4,1,temporal_desync,shift=15f,y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,0,tier1,35,y3vBfCdY2tQ_clip0004_t00135_desyncp15f
y3vBfCdY2tQ_clip0005_t00139_desyncm3f_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\fake\y3vBfCdY2tQ_clip0005_t00139_desyncm3f_crf23.mp4,1,temporal_desync,shift=-3f,y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,0,tier1,23,y3vBfCdY2tQ_clip0005_t00139_desyncm3f
y3vBfCdY2tQ_clip0008_t00156_desyncp15f_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\fake\y3vBfCdY2tQ_clip0008_t00156_desyncp15f_crf40.mp4,1,temporal_desync,shift=15f,y3vBfCdY2tQ_clip0008_t00156,y3vBfCdY2tQ,0,tier1,40,y3vBfCdY2tQ_clip0008_t00156_desyncp15f
y3vBfCdY2tQ_clip0010_t00164_desyncp3f_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\fake\y3vBfCdY2tQ_clip0010_t00164_desyncp3f_crf23.mp4,1,temporal_desync,shift=3f,y3vBfCdY2tQ_clip0010_t00164,y3vBfCdY2tQ,0,tier1,23,y3vBfCdY2tQ_clip0010_t00164_desyncp3f
mHTLamr-Zqk_clip0085_t00852_desyncm7f_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\fake\mHTLamr-Zqk_clip0085_t00852_desyncm7f_crf23.mp4,1,temporal_desync,shift=-7f,mHTLamr-Zqk_clip0085_t00852,mHTLamr-Zqk,1,tier2,23,mHTLamr-Zqk_clip0085_t00852_desyncm7f
mHTLamr-Zqk_clip0087_t00863_desyncp15f_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\fake\mHTLamr-Zqk_clip0087_t00863_desyncp15f_crf23.mp4,1,temporal_desync,shift=15f,mHTLamr-Zqk_clip0087_t00863,mHTLamr-Zqk,1,tier2,23,mHTLamr-Zqk_clip0087_t00863_desyncp15f
_adzgpYkn_c_clip0053_t00511_desyncp15f_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\fake\_adzgpYkn_c_clip0053_t00511_desyncp15f_crf40.mp4,1,temporal_desync,shift=15f,_adzgpYkn_c_clip0053_t00511,_adzgpYkn_c,2,tier1,40,_adzgpYkn_c_clip0053_t00511_desyncp15f
_adzgpYkn_c_clip0054_t00516_desyncp15f_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\fake\_adzgpYkn_c_clip0054_t00516_desyncp15f_crf30.mp4,1,temporal_desync,shift=15f,_adzgpYkn_c_clip0054_t00516,_adzgpYkn_c,2,tier1,30,_adzgpYkn_c_clip0054_t00516_desyncp15f
I-uqcg6HtaQ_clip0036_t00317_desyncm3f_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\fake\I-uqcg6HtaQ_clip0036_t00317_desyncm3f_crf40.mp4,1,temporal_desync,shift=-3f,I-uqcg6HtaQ_clip0036_t00317,I-uqcg6HtaQ,4,tier2,40,I-uqcg6HtaQ_clip0036_t00317_desyncm3f
Nw3N73GJ2Zo_clip0068_t00778_desyncm3f_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\fake\Nw3N73GJ2Zo_clip0068_t00778_desyncm3f_crf23.mp4,1,temporal_desync,shift=-3f,Nw3N73GJ2Zo_clip0068_t00778,Nw3N73GJ2Zo,5,tier1,23,Nw3N73GJ2Zo_clip0068_t00778_desyncm3f
