clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,det_ratio,mean_face_area,has_embedding,n_sampled,embed_consistency,speaker_id,quality,crf,orig_clip_id
y3vBfCdY2tQ_clip0004_t00135_crf23,y3vBfCdY2tQ,135.202,139.582,4.38,1.0,1.0,6.05,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\y3vBfCdY2tQ_clip0004_t00135_crf23.mp4,tier1,1,1.0,0.0473507605493068,True,9,0.9826613664627076,0,0.7676252701852084,23,y3vBfCdY2tQ_clip0004_t00135
y3vBfCdY2tQ_clip0005_t00139_crf35,y3vBfCdY2tQ,139.682,141.79,2.108,1.0,1.0,6.51,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\y3vBfCdY2tQ_clip0005_t00139_crf35.mp4,tier1,1,1.0,0.0476632118225097,True,9,0.9905427098274232,0,0.7698810234033484,35,y3vBfCdY2tQ_clip0005_t00139
y3vBfCdY2tQ_clip0008_t00156_crf35,y3vBfCdY2tQ,156.546,160.606,4.06,1.0,1.0,6.07,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\y3vBfCdY2tQ_clip0008_t00156_crf35.mp4,tier1,1,1.0,0.0890949442982673,True,9,0.4173587262630462,0,0.783422270807688,35,y3vBfCdY2tQ_clip0008_t00156
y3vBfCdY2tQ_clip0010_t00164_crf30,y3vBfCdY2tQ,164.482,171.07,6.588,1.0,1.0,6.11,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\y3vBfCdY2tQ_clip0010_t00164_crf30.mp4,tier1,1,1.0,0.0592343136668205,True,9,0.6396936774253845,0,0.7399976236572686,30,y3vBfCdY2tQ_clip0010_t00164
mHTLamr-Zqk_clip0085_t00852_crf35,mHTLamr-Zqk,852.354,859.582,7.228,1.0,1.0,15.19,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\mHTLamr-Zqk_clip0085_t00852_crf35.mp4,tier2,1,1.0,0.0406389720737934,True,9,0.911651611328125,1,0.7365145575379167,35,mHTLamr-Zqk_clip0085_t00852
mHTLamr-Zqk_clip0087_t00863_crf40,mHTLamr-Zqk,863.234,869.598,6.364,1.0,1.0,15.17,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\mHTLamr-Zqk_clip0087_t00863_crf40.mp4,tier2,1,1.0,0.0417351238429546,True,9,0.9274899959564208,1,0.7423439349838777,40,mHTLamr-Zqk_clip0087_t00863
_adzgpYkn_c_clip0053_t00511_crf30,_adzgpYkn_c,511.458,515.646,4.188,1.0,1.0,5.11,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_adzgpYkn_c_clip0053_t00511_crf30.mp4,tier1,1,1.0,0.0139631843194365,True,9,0.9452674388885498,2,0.6686028207853176,30,_adzgpYkn_c_clip0053_t00511
_adzgpYkn_c_clip0054_t00516_crf30,_adzgpYkn_c,516.194,521.982,5.788,1.0,1.0,4.15,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_adzgpYkn_c_clip0054_t00516_crf30.mp4,tier1,1,1.0,0.0167411714792251,True,9,0.9474518895149232,2,0.6766783388309342,30,_adzgpYkn_c_clip0054_t00516
I-uqcg6HtaQ_clip0036_t00317_crf35,I-uqcg6HtaQ,317.41,322.846,5.436,1.0,1.0,12.03,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\I-uqcg6HtaQ_clip0036_t00317_crf35.mp4,tier2,1,1.0,0.0117964288219809,True,9,0.3628404438495636,4,0.5598235716904403,35,I-uqcg6HtaQ_clip0036_t00317
Nw3N73GJ2Zo_clip0068_t00778_crf30,Nw3N73GJ2Zo,778.914,781.982,3.068,1.0,1.0,4.67,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\Nw3N73GJ2Zo_clip0068_t00778_crf30.mp4,tier1,1,1.0,0.0223615542054176,True,9,0.7434514164924622,5,0.6562366042874609,30,Nw3N73GJ2Zo_clip0068_t00778
Xigg3vUV2Gw_clip0001_t00017_crf23,Xigg3vUV2Gw,17.794,20.606,2.812,1.0,1.0,12.38,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\Xigg3vUV2Gw_clip0001_t00017_crf23.mp4,tier1,1,1.0,0.0191578436642885,True,9,0.9055572152137756,5,0.6759749953071132,23,Xigg3vUV2Gw_clip0001_t00017
_adzgpYkn_c_clip0044_t00437_crf35,_adzgpYkn_c,437.154,439.614,2.46,1.0,1.0,3.84,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_adzgpYkn_c_clip0044_t00437_crf35.mp4,tier1,1,1.0,0.0107873696833848,True,9,0.9735246300697328,5,0.664798090769465,35,_adzgpYkn_c_clip0044_t00437
aArTJcMMmTw_clip0063_t00778_crf40,aArTJcMMmTw,778.786,783.786,5.0,1.0,1.0,4.36,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\aArTJcMMmTw_clip0063_t00778_crf40.mp4,tier1,1,1.0,0.0226752385497093,True,9,0.3469512164592743,5,0.5871343220592643,40,aArTJcMMmTw_clip0063_t00778
R5y53Ud7Fs8_clip0047_t00545_crf40,R5y53Ud7Fs8,545.378,554.366,8.988,1.0,1.0,5.69,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\R5y53Ud7Fs8_clip0047_t00545_crf40.mp4,tier1,1,0.7777777777777778,0.0172982178628444,True,9,0.6185266375541687,6,0.5155995590744059,40,R5y53Ud7Fs8_clip0047_t00545
_UEZaDjz02I_clip0008_t00057_crf40,_UEZaDjz02I,57.282,59.326,2.044,1.0,1.0,3.17,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_UEZaDjz02I_clip0008_t00057_crf40.mp4,tier1,1,1.0,0.0638705715537071,True,9,0.9358372092247008,8,0.805092340509365,40,_UEZaDjz02I_clip0008_t00057
_UEZaDjz02I_clip0020_t00214_crf35,_UEZaDjz02I,214.21,216.51,2.3,1.0,1.0,2.8,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_UEZaDjz02I_clip0020_t00214_crf35.mp4,tier1,1,1.0,0.0594153925776481,True,9,0.9967896938323976,8,0.8035158305462308,35,_UEZaDjz02I_clip0020_t00214
_UEZaDjz02I_clip0021_t00227_crf35,_UEZaDjz02I,227.362,230.27,2.908,1.0,1.0,4.03,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_UEZaDjz02I_clip0021_t00227_crf35.mp4,tier1,1,1.0,0.0653480887413024,True,9,0.9023615717887878,8,0.803274939595771,35,_UEZaDjz02I_clip0021_t00227
_UEZaDjz02I_clip0023_t00250_crf35,_UEZaDjz02I,250.018,253.822,3.804,1.0,1.0,2.48,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_UEZaDjz02I_clip0023_t00250_crf35.mp4,tier1,1,1.0,0.0421455092728138,True,9,0.9979719519615172,8,0.7559179565662979,35,_UEZaDjz02I_clip0023_t00250
_UEZaDjz02I_clip0050_t00525_crf35,_UEZaDjz02I,525.026,529.054,4.028,1.0,1.0,3.76,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_UEZaDjz02I_clip0050_t00525_crf35.mp4,tier1,1,1.0,0.066057913005352,True,9,0.9229018092155457,8,0.8088646235953395,35,_UEZaDjz02I_clip0050_t00525
bhO764uZyDA_clip0004_t00018_crf23,bhO764uZyDA,18.946,22.462,3.516,1.0,1.0,34.49,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0004_t00018_crf23.mp4,tier1,1,1.0,0.1047263219952583,True,9,0.6250357031822205,9,0.8633419440371275,23,bhO764uZyDA_clip0004_t00018
bhO764uZyDA_clip0033_t00173_crf40,bhO764uZyDA,173.506,175.71,2.204,1.0,1.0,34.2,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0033_t00173_crf40.mp4,tier1,1,1.0,0.0667109489440918,True,9,0.992193639278412,9,0.8229003283274338,40,bhO764uZyDA_clip0033_t00173
bhO764uZyDA_clip0048_t00245_crf30,bhO764uZyDA,245.218,249.15,3.932,1.0,1.0,34.86,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0048_t00245_crf30.mp4,tier1,1,1.0,0.0839354246854782,True,9,0.9820001125335692,9,0.8687822811726873,30,bhO764uZyDA_clip0048_t00245
bhO764uZyDA_clip0059_t00334_crf23,bhO764uZyDA,334.498,339.39,4.892,1.0,1.0,34.54,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0059_t00334_crf23.mp4,tier1,1,1.0,0.1818135678768158,True,9,0.986512303352356,9,0.9976198182386511,23,bhO764uZyDA_clip0059_t00334
bhO764uZyDA_clip0081_t00510_crf30,bhO764uZyDA,510.242,512.606,2.364,1.0,1.0,34.1,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0081_t00510_crf30.mp4,tier1,1,1.0,0.1911209523677826,True,9,0.9679295420646667,9,0.9943405074231766,30,bhO764uZyDA_clip0081_t00510
bhO764uZyDA_clip0100_t00615_crf35,bhO764uZyDA,615.746,619.038,3.292,1.0,1.0,34.83,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0100_t00615_crf35.mp4,tier1,1,1.0,0.1875480860471725,True,9,0.9648403525352478,9,0.9937953563297497,35,bhO764uZyDA_clip0100_t00615
7515427017236450568_clip0002_t00121_crf23,7515427017236450568,121.57,124.51,2.94,1.0,1.0,2.42,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\7515427017236450568_clip0002_t00121_crf23.mp4,tier3,1,1.0,0.115185908973217,True,9,0.7246028780937195,10,0.9098668608118776,23,7515427017236450568_clip0002_t00121
7542119536678440213_clip0000_t00000_crf35,7542119536678440213,0.002,3.55,3.548,1.0,1.0,-3.71,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\7542119536678440213_clip0000_t00000_crf35.mp4,tier3,1,1.0,0.0546444691717624,True,9,0.8467212319374084,10,0.7638262859859446,35,7542119536678440213_clip0000_t00000
7553632924390804757_clip0007_t00094_crf23,7553632924390804757,94.53,96.638,2.108,1.0,1.0,2.2,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\7553632924390804757_clip0007_t00094_crf23.mp4,tier3,1,1.0,0.2111144065856933,True,9,0.8641875386238098,10,0.9760330950512606,23,7553632924390804757_clip0007_t00094
7562167018695167252_clip0000_t00006_crf23,7562167018695167252,6.178,9.406,3.228,1.0,1.0,3.46,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\7562167018695167252_clip0000_t00006_crf23.mp4,tier3,1,1.0,0.1724095344543457,True,9,0.8073963522911072,10,0.9660111209925484,23,7562167018695167252_clip0000_t00006
7577398141863922964_clip0007_t00121_crf40,7577398141863922964,121.794,126.794,5.0,1.0,1.0,1.12,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\7577398141863922964_clip0007_t00121_crf40.mp4,tier3,1,1.0,0.23876953125,True,9,0.7956684827804565,10,0.9639414969612571,40,7577398141863922964_clip0007_t00121
7621911689620901141_clip0007_t00086_crf40,7621911689620901141,86.274,91.274,5.0,1.0,1.0,-1.49,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\7621911689620901141_clip0007_t00086_crf40.mp4,tier3,1,1.0,0.1449686735868454,True,9,0.8001829981803894,10,0.9647381761494805,40,7621911689620901141_clip0007_t00086
bhO764uZyDA_clip0024_t00107_crf40,bhO764uZyDA,107.298,116.606,9.308,1.0,1.0,34.61,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0024_t00107_crf40.mp4,tier1,1,1.0,0.0861939713358879,True,9,0.9793746471405028,11,0.8745710747855313,40,bhO764uZyDA_clip0024_t00107
bhO764uZyDA_clip0078_t00487_crf35,bhO764uZyDA,487.65,492.958,5.308,1.0,1.0,34.71,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0078_t00487_crf35.mp4,tier1,1,1.0,0.1971168518066406,True,9,0.9580020904541016,11,0.9925886041977827,35,bhO764uZyDA_clip0078_t00487
7637494375840337160_clip0009_t00063_crf30,7637494375840337160,63.362,69.534,6.172,1.0,1.0,9.65,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\7637494375840337160_clip0009_t00063_crf30.mp4,tier3,1,1.0,0.1605867594480514,True,9,0.7716342210769653,13,0.959700156660641,30,7637494375840337160_clip0009_t00063
7637494375840337160_clip0010_t00075_crf35,7637494375840337160,75.682,80.574,4.892,1.0,1.0,9.93,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\7637494375840337160_clip0010_t00075_crf35.mp4,tier3,1,1.0,0.1486981660127639,True,9,0.5421849489212036,13,0.9192091086331536,35,7637494375840337160_clip0010_t00075
7634155950047317268_clip0001_t00049_crf23,7634155950047317268,49.058,51.23,2.172,1.0,1.0,14.2,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\7634155950047317268_clip0001_t00049_crf23.mp4,tier3,1,1.0,0.1825084388256073,True,9,0.7770516872406006,15,0.9606561801012825,23,7634155950047317268_clip0001_t00049
MpVfVbPdmis_clip0100_t01154_crf40,MpVfVbPdmis,1154.242,1159.242,5.0,1.0,1.0,4.95,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\MpVfVbPdmis_clip0100_t01154_crf40.mp4,tier1,1,1.0,0.0403008013963699,True,9,0.3321888744831085,16,0.6333203031081716,40,MpVfVbPdmis_clip0100_t01154
3tEN20uif6g_clip0051_t00696_crf30,3tEN20uif6g,696.61,700.318,3.708,0.75,1.0,3.97,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\3tEN20uif6g_clip0051_t00696_crf30.mp4,tier1,1,0.6666666666666666,0.0116399796679615,True,9,0.6672428250312805,18,0.4562458111593869,30,3tEN20uif6g_clip0051_t00696
7527667777037929735_clip0000_t00012_crf35,7527667777037929735,12.13,14.59,2.46,1.0,1.0,10.25,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\7527667777037929735_clip0000_t00012_crf35.mp4,tier3,1,1.0,0.081221304833889,True,9,0.8442697525024414,20,0.8369636943062241,35,7527667777037929735_clip0000_t00012
