clip_id,feature_path,label,method,speaker_id,t_mouth,t_w2v,t_prosody,status
y3vBfCdY2tQ_clip0004_t00135_crf23,archive/pilot_v1/04_features_pilot\y3vBfCdY2tQ_clip0004_t00135_crf23.pt,0,real,0,110,219,435,ok
y3vBfCdY2tQ_clip0005_t00139_crf35,archive/pilot_v1/04_features_pilot\y3vBfCdY2tQ_clip0005_t00139_crf35.pt,0,real,0,53,105,208,ok
y3vBfCdY2tQ_clip0008_t00156_crf35,archive/pilot_v1/04_features_pilot\y3vBfCdY2tQ_clip0008_t00156_crf35.pt,0,real,0,102,202,403,ok
y3vBfCdY2tQ_clip0010_t00164_crf30,archive/pilot_v1/04_features_pilot\y3vBfCdY2tQ_clip0010_t00164_crf30.pt,0,real,0,165,329,656,ok
mHTLamr-Zqk_clip0085_t00852_crf35,archive/pilot_v1/04_features_pilot\mHTLamr-Zqk_clip0085_t00852_crf35.pt,0,real,1,181,361,721,ok
mHTLamr-Zqk_clip0087_t00863_crf40,archive/pilot_v1/04_features_pilot\mHTLamr-Zqk_clip0087_t00863_crf40.pt,0,real,1,159,319,635,ok
_adzgpYkn_c_clip0053_t00511_crf30,archive/pilot_v1/04_features_pilot\_adzgpYkn_c_clip0053_t00511_crf30.pt,0,real,2,105,209,417,ok
_adzgpYkn_c_clip0054_t00516_crf30,archive/pilot_v1/04_features_pilot\_adzgpYkn_c_clip0054_t00516_crf30.pt,0,real,2,145,290,577,ok
I-uqcg6HtaQ_clip0036_t00317_crf35,archive/pilot_v1/04_features_pilot\I-uqcg6HtaQ_clip0036_t00317_crf35.pt,0,real,4,136,272,542,ok
Nw3N73GJ2Zo_clip0068_t00778_crf30,archive/pilot_v1/04_features_pilot\Nw3N73GJ2Zo_clip0068_t00778_crf30.pt,0,real,5,77,154,305,ok
Xigg3vUV2Gw_clip0001_t00017_crf23,archive/pilot_v1/04_features_pilot\Xigg3vUV2Gw_clip0001_t00017_crf23.pt,0,real,5,71,141,280,ok
_adzgpYkn_c_clip0044_t00437_crf35,archive/pilot_v1/04_features_pilot\_adzgpYkn_c_clip0044_t00437_crf35.pt,0,real,5,62,122,243,ok
aArTJcMMmTw_clip0063_t00778_crf40,archive/pilot_v1/04_features_pilot\aArTJcMMmTw_clip0063_t00778_crf40.pt,0,real,5,125,250,498,ok
R5y53Ud7Fs8_clip0047_t00545_crf40,archive/pilot_v1/04_features_pilot\R5y53Ud7Fs8_clip0047_t00545_crf40.pt,0,real,6,225,450,897,ok
_UEZaDjz02I_clip0008_t00057_crf40,archive/pilot_v1/04_features_pilot\_UEZaDjz02I_clip0008_t00057_crf40.pt,0,real,8,52,103,203,ok
_UEZaDjz02I_clip0020_t00214_crf35,archive/pilot_v1/04_features_pilot\_UEZaDjz02I_clip0020_t00214_crf35.pt,0,real,8,58,115,229,ok
_UEZaDjz02I_clip0021_t00227_crf35,archive/pilot_v1/04_features_pilot\_UEZaDjz02I_clip0021_t00227_crf35.pt,0,real,8,73,146,289,ok
_UEZaDjz02I_clip0023_t00250_crf35,archive/pilot_v1/04_features_pilot\_UEZaDjz02I_clip0023_t00250_crf35.pt,0,real,8,96,190,377,ok
_UEZaDjz02I_clip0050_t00525_crf35,archive/pilot_v1/04_features_pilot\_UEZaDjz02I_clip0050_t00525_crf35.pt,0,real,8,101,201,401,ok
bhO764uZyDA_clip0004_t00018_crf23,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0004_t00018_crf23.pt,0,real,9,88,176,349,ok
bhO764uZyDA_clip0033_t00173_crf40,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0033_t00173_crf40.pt,0,real,9,56,110,217,ok
bhO764uZyDA_clip0048_t00245_crf30,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0048_t00245_crf30.pt,0,real,9,98,197,391,ok
bhO764uZyDA_clip0059_t00334_crf23,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0059_t00334_crf23.pt,0,real,9,123,244,486,ok
bhO764uZyDA_clip0081_t00510_crf30,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0081_t00510_crf30.pt,0,real,9,59,118,233,ok
bhO764uZyDA_clip0100_t00615_crf35,archive/pilot_v1/04_features_pilot\bhO764uZyDA_clip0100_t00615_crf35.pt,0,real,9,83,164,326,ok
7515427017236450568_clip0002_t00121_crf23,archive/pilot_v1/04_features_pilot\7515427017236450568_clip0002_t00121_crf23.pt,0,real,10,74,147,291,ok
7542119536678440213_clip0000_t00000_crf35,archive/pilot_v1/04_features_pilot\7542119536678440213_clip0000_t00000_crf35.pt,0,real,10,89,170,338,ok
7553632924390804757_clip0007_t00094_crf23,archive/pilot_v1/04_features_pilot\7553632924390804757_clip0007_t00094_crf23.pt,0,real,10,53,105,208,ok
7562167018695167252_clip0000_t00006_crf23,archive/pilot_v1/04_features_pilot\7562167018695167252_clip0000_t00006_crf23.pt,0,real,10,81,162,322,ok
7577398141863922964_clip0007_t00121_crf40,archive/pilot_v1/04_features_pilot\7577398141863922964_clip0007_t00121_crf40.pt,0,real,10,125,250,498,ok
7621911689620901141_clip0007_t00086_crf40,archive/pilot_v1/04_features_pilot\7621911689620901141_clip0007_t00086_crf40.pt,0,real,10,125,250,498,ok
