clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,split
y3vBfCdY2tQ_clip0004_t00135_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\y3vBfCdY2tQ_clip0004_t00135_crf23.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0005_t00139_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\y3vBfCdY2tQ_clip0005_t00139_crf35.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0008_t00156_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\y3vBfCdY2tQ_clip0008_t00156_crf35.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0010_t00164_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\y3vBfCdY2tQ_clip0010_t00164_crf30.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
mHTLamr-Zqk_clip0085_t00852_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\mHTLamr-Zqk_clip0085_t00852_crf35.mp4,0,real,,,mHTLamr-Zqk,1,tier2,train
mHTLamr-Zqk_clip0087_t00863_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\mHTLamr-Zqk_clip0087_t00863_crf40.mp4,0,real,,,mHTLamr-Zqk,1,tier2,train
_adzgpYkn_c_clip0053_t00511_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_adzgpYkn_c_clip0053_t00511_crf30.mp4,0,real,,,_adzgpYkn_c,2,tier1,train
_adzgpYkn_c_clip0054_t00516_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_adzgpYkn_c_clip0054_t00516_crf30.mp4,0,real,,,_adzgpYkn_c,2,tier1,train
I-uqcg6HtaQ_clip0036_t00317_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\I-uqcg6HtaQ_clip0036_t00317_crf35.mp4,0,real,,,I-uqcg6HtaQ,4,tier2,train
Nw3N73GJ2Zo_clip0068_t00778_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\Nw3N73GJ2Zo_clip0068_t00778_crf30.mp4,0,real,,,Nw3N73GJ2Zo,5,tier1,train
Xigg3vUV2Gw_clip0001_t00017_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\Xigg3vUV2Gw_clip0001_t00017_crf23.mp4,0,real,,,Xigg3vUV2Gw,5,tier1,train
_adzgpYkn_c_clip0044_t00437_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_adzgpYkn_c_clip0044_t00437_crf35.mp4,0,real,,,_adzgpYkn_c,5,tier1,train
aArTJcMMmTw_clip0063_t00778_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\aArTJcMMmTw_clip0063_t00778_crf40.mp4,0,real,,,aArTJcMMmTw,5,tier1,train
R5y53Ud7Fs8_clip0047_t00545_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\R5y53Ud7Fs8_clip0047_t00545_crf40.mp4,0,real,,,R5y53Ud7Fs8,6,tier1,test
_UEZaDjz02I_clip0008_t00057_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_UEZaDjz02I_clip0008_t00057_crf40.mp4,0,real,,,_UEZaDjz02I,8,tier1,val
_UEZaDjz02I_clip0020_t00214_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_UEZaDjz02I_clip0020_t00214_crf35.mp4,0,real,,,_UEZaDjz02I,8,tier1,val
_UEZaDjz02I_clip0021_t00227_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_UEZaDjz02I_clip0021_t00227_crf35.mp4,0,real,,,_UEZaDjz02I,8,tier1,val
_UEZaDjz02I_clip0023_t00250_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_UEZaDjz02I_clip0023_t00250_crf35.mp4,0,real,,,_UEZaDjz02I,8,tier1,val
_UEZaDjz02I_clip0050_t00525_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\_UEZaDjz02I_clip0050_t00525_crf35.mp4,0,real,,,_UEZaDjz02I,8,tier1,val
bhO764uZyDA_clip0004_t00018_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0004_t00018_crf23.mp4,0,real,,,bhO764uZyDA,9,tier1,train
bhO764uZyDA_clip0033_t00173_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0033_t00173_crf40.mp4,0,real,,,bhO764uZyDA,9,tier1,train
bhO764uZyDA_clip0048_t00245_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0048_t00245_crf30.mp4,0,real,,,bhO764uZyDA,9,tier1,train
bhO764uZyDA_clip0059_t00334_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0059_t00334_crf23.mp4,0,real,,,bhO764uZyDA,9,tier1,train
bhO764uZyDA_clip0081_t00510_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0081_t00510_crf30.mp4,0,real,,,bhO764uZyDA,9,tier1,train
bhO764uZyDA_clip0100_t00615_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\archive\pilot_v1\03_fake\snvsm\real\bhO764uZyDA_clip0100_t00615_crf35.mp4,0,real,,,bhO764uZyDA,9,tier1,train
