clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,det_ratio,mean_face_area,has_embedding,n_sampled,embed_consistency,speaker_id,quality,motion_median,motion_p90,frac_near_static,n_faces_med,n_faces_max,ratio_med,ratio_max,cx_spread,channel,assignment_role,assigned_reviewer
mHTLamr-Zqk_clip0088_t00869,mHTLamr-Zqk,869.826,874.974,5.148,1.0,1.0,14.03,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0088_t00869.mp4,tier2,1,1.0,0.041701316833496,True,9,0.9380292892456056,1,0.7441102256737282,4.535486221313477,5.366666793823242,0.0,1.0,1,0.0,0.0,0.01270321011543274,ANTV - Truyền hình Công an Nhân dân,calibration,nguyenlamanh
7473460849152249096_clip0000_t00000,7473460849152249096,0.802,5.802,5.0,1.0,1.0,4.93,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7473460849152249096_clip0000_t00000.mp4,tier3,1,1.0,0.0749203711748123,True,9,0.8633162379264832,10,0.8228825881071792,20.431909561157227,24.271369552612303,0.0,1.0,1,0.0,0.0,0.10777178406715393,[TIKTOK],calibration,nguyenlamanh
XwMwDTPAyAo_clip0010_t00115,XwMwDTPAyAo,115.138,120.254,5.116,1.0,1.0,6.22,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\XwMwDTPAyAo_clip0010_t00115.mp4,tier1,1,1.0,0.011031124740839,True,9,0.8117411136627197,27,0.6369228214495548,0.8218749761581421,1.484583353996277,0.6031746031746031,2.0,2,0.8297218680381775,0.88189297914505,0.05473405122756958,Nàng Dâu Tập Sự,calibration,nguyenlamanh
7634060096967806228_clip0024_t00210,7634060096967806228,210.69,213.246,2.556,1.0,1.0,4.34,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7634060096967806228_clip0024_t00210.mp4,tier3,1,1.0,0.0166671928018331,True,9,0.972600281238556,31,0.6809115024648401,0.2496478855609893,0.3675836265087128,1.0,1.0,1,0.0,0.0,0.007386445999145508,[TIKTOK],calibration,nguyenlamanh
7491284887240985864_clip0000_t00000,7491284887240985864,0.226,8.254,8.028,1.0,1.0,5.95,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7491284887240985864_clip0000_t00000.mp4,tier3,1,1.0,0.0669458657503128,True,9,0.4189988374710083,32,0.7223986014106151,10.869431972503662,19.05971336364747,0.0,1.0,2,0.0,0.7523928880691528,0.42354297637939453,[TIKTOK],calibration,nguyenlamanh
I-uqcg6HtaQ_clip0005_t00039,I-uqcg6HtaQ,39.458,44.458,5.0,1.0,1.0,13.76,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\I-uqcg6HtaQ_clip0005_t00039.mp4,tier2,1,1.0,0.0763339325785636,True,9,0.9787949323654176,71,0.8471742032966711,3.366701364517212,3.965541768074036,0.0161290322580645,1.0,1,0.0,0.0,0.017493009567260742,ANTV - Truyền hình Công an Nhân dân,calibration,nguyenlamanh
u4AumpXc-qc_clip0063_t00435,u4AumpXc-qc,435.362,437.694,2.332,1.0,1.0,14.47,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\u4AumpXc-qc_clip0063_t00435.mp4,tier1,1,1.0,0.02329758182168,True,9,0.6703997850418091,74,0.6459362524718754,4.7047224044799805,7.890875053405762,0.0,1.0,1,0.0,0.0,0.0595700740814209,Phuoc Nguyen Van,calibration,nguyenlamanh
z0ZM1kEnmJI_clip0013_t00282,z0ZM1kEnmJI,282.722,284.766,2.044,1.0,1.0,1.89,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\z0ZM1kEnmJI_clip0013_t00282.mp4,tier1,1,1.0,0.0487642735242843,True,9,0.8413059711456299,85,0.7465930884160018,1.0008333921432495,1.6604722261428837,0.48,1.0,1,0.0,0.0,0.022087454795837402,Nàng Dâu Tập Sự,calibration,nguyenlamanh
z0ZM1kEnmJI_clip0028_t00729,z0ZM1kEnmJI,729.186,734.186,5.0,1.0,1.0,1.8,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\z0ZM1kEnmJI_clip0028_t00729.mp4,tier1,1,1.0,0.0286967288702726,True,9,0.8307677507400513,85,0.6891824058258338,0.867638885974884,1.7228332996368405,0.6129032258064516,2.0,2,0.7162927389144897,0.7482126355171204,0.3078135848045349,Nàng Dâu Tập Sự,calibration,nguyenlamanh
EMFwAo7a4rg_clip0034_t00601,EMFwAo7a4rg,601.762,606.762,5.0,1.0,1.0,6.61,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\EMFwAo7a4rg_clip0034_t00601.mp4,tier1,1,1.0,0.0124392174184322,True,9,0.3282910585403442,101,0.5555059893598615,11.888854503631592,16.620172882080077,0.0,3.0,53,0.6929724216461182,0.9531630277633667,0.5911178886890411,69 CÁCH YÊU,calibration,nguyenlamanh
7MhLFqIwNmE_clip0008_t00069,7MhLFqIwNmE,69.506,71.71,2.204,1.0,1.0,7.0,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\7MhLFqIwNmE_clip0008_t00069.mp4,tier1,1,1.0,0.0407425165176391,True,9,0.8821680545806885,112,0.7315982087656266,3.131493091583252,4.697444534301758,0.0909090909090909,1.0,1,0.0,0.0,0.02517715096473694,Bác sĩ Lương Ngọc,calibration,nguyenlamanh
7640063825601105173_clip0009_t00100,7640063825601105173,100.61,103.038,2.428,1.0,1.0,-3.91,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7640063825601105173_clip0009_t00100.mp4,tier3,1,1.0,0.396089643239975,True,9,0.663101315498352,117,0.9405472909702975,1.8725937604904173,24.63438091278076,0.0,1.0,1,0.0,0.0,0.10997697710990906,[TIKTOK],calibration,nguyenlamanh
RY6V7DqGnTw_clip0100_t00703,RY6V7DqGnTw,703.682,712.446,8.764,1.0,1.0,16.66,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\RY6V7DqGnTw_clip0100_t00703.mp4,tier1,1,1.0,0.0290374625474214,True,9,0.80970698595047,128,0.6864090195713362,0.2351388931274414,0.5003472089767461,0.9885057471264368,1.0,1,0.0,0.0,0.012477219104766846,thoibao.de,calibration,nguyenlamanh
7633306425007099143_clip0000_t00000,7633306425007099143,0.13,2.206,2.076,1.0,1.0,-1.7,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7633306425007099143_clip0000_t00000.mp4,tier3,1,1.0,0.0369936414062976,True,9,0.9997682571411132,143,0.7419735459573169,0.0010343310423195,0.0101584505289793,1.0,1.0,1,0.0,0.0,3.764033317565918e-05,[TIKTOK],calibration,nguyenlamanh
2cg60JADoVY_clip0163_t00898,2cg60JADoVY,898.946,902.142,3.196,1.0,1.0,8.23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\2cg60JADoVY_clip0163_t00898.mp4,tier1,1,1.0,0.0344131253659725,True,9,0.8977545499801636,149,0.7168277400329829,0.273541659116745,0.4429166615009308,1.0,1.0,1,0.0,0.0,0.008832693099975586,Tri Thức Mở by The Compiler,calibration,nguyenlamanh
qh78i88JEiU_clip0028_t00245,qh78i88JEiU,245.186,248.094,2.908,1.0,1.0,2.28,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\qh78i88JEiU_clip0028_t00245.mp4,tier1,1,1.0,0.0711954608559608,True,9,0.932539403438568,159,0.824787140475756,0.9043229222297668,1.4141406416893003,0.6944444444444444,1.0,1,0.0,0.0,0.007606029510498047,Nghệ An TV,calibration,nguyenlamanh
7643422466957659399_clip0000_t00001,7643422466957659399,1.794,4.638,2.844,1.0,1.0,-3.29,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7643422466957659399_clip0000_t00001.mp4,tier3,1,1.0,0.020410506054759,True,9,0.6590414047241211,167,0.6359398264688,5.142597675323486,14.621471977233888,0.0,1.0,1,0.0,0.0,0.22554293274879456,[TIKTOK],calibration,nguyenlamanh
VqcyH3fnubE_clip0032_t00193,VqcyH3fnubE,193.442,197.246,3.804,1.0,1.0,15.92,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\400-440\tier1_v3_clips_400_440\VqcyH3fnubE_clip0032_t00193.mp4,tier1,1,1.0,0.0735074803233146,True,9,0.8244497776031494,181,0.8121126351614882,1.0115277767181396,2.4598332643508924,0.5,1.0,2,0.0,0.046954087913036346,0.018214166164398193,MANA HẰNG SỐNG,calibration,nguyenlamanh
mHTLamr-Zqk_clip0076_t00776,mHTLamr-Zqk,776.994,779.71,2.716,1.0,1.0,16.13,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0076_t00776.mp4,tier2,1,1.0,0.1762992739677429,True,9,0.9248632788658142,188,0.986740578623379,4.380277633666992,5.399610996246339,0.0,1.0,1,0.0,0.0,0.01191723346710205,ANTV - Truyền hình Công an Nhân dân,calibration,nguyenlamanh
Wv2KVSy4j3E_clip0004_t00032,Wv2KVSy4j3E,32.514,35.358,2.844,1.0,1.0,8.01,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\400-440\tier1_v3_clips_400_440\Wv2KVSy4j3E_clip0004_t00032.mp4,tier1,1,1.0,0.0359169319272041,True,9,0.9364997148513794,200,0.7278279608550313,0.4527083337306976,0.722597235441208,1.0,1.0,1,0.0,0.0,0.0049536824226379395,Minh Thuy Nguyen,calibration,nguyenlamanh
2A2WBpeuVNw_clip0020_t00335,2A2WBpeuVNw,335.17,340.67,5.5,1.0,1.0,8.79,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\2A2WBpeuVNw_clip0020_t00335.mp4,tier1,1,1.0,0.0400094762444496,True,9,0.4129582047462463,202,0.6467672677620835,1.8405208587646484,5.0212220668792735,0.3382352941176471,2.0,3,0.9285153746604919,0.9879024624824524,0.5062625408172607,69 CÁCH YÊU,calibration,nguyenlamanh
mHTLamr-Zqk_clip0011_t00140,mHTLamr-Zqk,140.546,145.546,5.0,1.0,1.0,13.64,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0011_t00140.mp4,tier2,1,0.7777777777777778,0.0246974434703588,True,9,0.8344221711158752,208,0.5741813144053177,2.410208225250244,3.022305583953857,0.0,1.0,1,0.0,0.0,0.012827813625335693,ANTV - Truyền hình Công an Nhân dân,calibration,nguyenlamanh
mHTLamr-Zqk_clip0058_t00638,mHTLamr-Zqk,638.114,643.114,5.0,1.0,1.0,17.38,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0058_t00638.mp4,tier2,1,1.0,0.0254622418433427,True,9,0.9007800221443176,208,0.6925838024092454,2.088611125946045,2.416958332061768,0.0,8.0,9,0.04768933728337288,0.04806268587708473,0.003495454788208008,ANTV - Truyền hình Công an Nhân dân,calibration,nguyenlamanh
P3K1OaKR4nY_clip0066_t00536,P3K1OaKR4nY,536.93,543.166,6.236,1.0,1.0,11.14,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\P3K1OaKR4nY_clip0066_t00536.mp4,tier1,1,1.0,0.0112370382994413,True,9,0.9799954891204834,232,0.6671847801730179,2.0064236521720886,2.2169445276260378,0.0,34.0,38,0.8837008476257324,0.9752300381660461,0.001338660717010498,Truyền hình Hưng Yên - HYTV,calibration,nguyenlamanh
7415622308691201288_clip0001_t00013,7415622308691201288,13.698,19.486,5.788,1.0,1.0,2.74,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7415622308691201288_clip0001_t00013.mp4,tier3,1,1.0,0.1911976486444473,True,9,0.8413931727409363,250,0.9720105598954594,7.093860149383545,14.21297969818115,0.0,1.0,1,0.0,0.0,0.06688624620437622,[TIKTOK],calibration,nguyenlamanh
7439248144757443857_clip0001_t00012,7439248144757443857,12.77,15.55,2.78,1.0,1.0,0.7,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7439248144757443857_clip0001_t00012.mp4,tier3,1,1.0,0.2663525640964508,True,9,0.9093822836875916,250,0.9840086382978104,3.5823283195495605,5.018974399566651,0.0,1.0,1,0.0,0.0,0.04129311442375183,[TIKTOK],calibration,nguyenlamanh
g6hBKVh_7Pk_clip0028_t00229,g6hBKVh_7Pk,229.09,234.09,5.0,1.0,1.0,6.57,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\g6hBKVh_7Pk_clip0028_t00229.mp4,tier1,1,1.0,0.0442510098218917,True,9,0.5072014927864075,253,0.6751398536156954,3.841041684150696,6.763798618316649,0.0,1.0,8,0.0,0.9634466767311096,0.4499708339571953,Truyền hình Hưng Yên - HYTV,calibration,nguyenlamanh
0PsGwmgAI-k_clip0036_t00755,0PsGwmgAI-k,755.874,759.23,3.356,1.0,1.0,6.05,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\0PsGwmgAI-k_clip0036_t00755.mp4,tier2,1,1.0,0.0134308226406574,True,9,0.886692464351654,276,0.6567923764557588,2.273958444595337,2.7772083282470703,0.0,1.0,1,0.0,0.0,0.02034139633178711,60 Giây Official,calibration,nguyenlamanh
3tEN20uif6g_clip0004_t00092,3tEN20uif6g,92.738,95.838,3.1,1.0,1.0,2.58,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\3tEN20uif6g_clip0004_t00092.mp4,tier1,1,1.0,0.0347820818424224,True,9,0.9082648754119872,278,0.7197038490215713,0.5244791805744171,0.8487152755260468,0.9473684210526316,1.0,1,0.0,0.0,0.0042555928230285645,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,calibration,nguyenlamanh
b9_oesdIz-M_clip0023_t00186,b9_oesdIz-M,186.21,191.21,5.0,1.0,1.0,21.08,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\b9_oesdIz-M_clip0023_t00186.mp4,tier2,1,1.0,0.0189837347716093,True,9,0.9182432889938354,290,0.6777317458033605,2.332257032394409,4.032222151756287,0.0,1.0,1,0.0,0.0,0.002695709466934204,ANTV - Truyền hình Công an Nhân dân,calibration,nguyenlamanh
b9_oesdIz-M_clip0024_t00190,b9_oesdIz-M,190.21,195.21,5.0,1.0,1.0,19.91,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\b9_oesdIz-M_clip0024_t00190.mp4,tier2,1,1.0,0.0189418066293001,True,9,0.9094038009643556,290,0.6760557706267643,2.544652819633484,5.45967354774475,0.0,1.0,1,0.0,0.0,0.009634017944335938,ANTV - Truyền hình Công an Nhân dân,calibration,nguyenlamanh
b9_oesdIz-M_clip0025_t00194,b9_oesdIz-M,194.21,199.21,5.0,1.0,1.0,20.54,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\b9_oesdIz-M_clip0025_t00194.mp4,tier2,1,1.0,0.0190233457833528,True,9,0.8994045257568359,290,0.6745169094145501,2.0325347185134888,3.512055444717407,0.032258064516129,1.0,1,0.0,0.0,0.006298720836639404,ANTV - Truyền hình Công an Nhân dân,calibration,nguyenlamanh
7624919664694398229_clip0001_t00056,7624919664694398229,56.866,59.038,2.172,1.0,1.0,7.6,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7624919664694398229_clip0001_t00056.mp4,tier3,1,1.0,0.26219442486763,True,9,0.4543873071670532,328,0.9037154071471272,8.505781173706055,14.455187797546388,0.0,1.0,1,0.0,0.0,0.17455217242240906,[TIKTOK],calibration,nguyenlamanh
