clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,det_ratio,mean_face_area,has_embedding,n_sampled,embed_consistency,speaker_id,quality,motion_median,motion_p90,frac_near_static,n_faces_med,n_faces_max,ratio_med,ratio_max,cx_spread,channel,assignment_role,assigned_reviewer
mHTLamr-Zqk_clip0088_t00869,mHTLamr-Zqk,869.826,874.974,5.148,1.0,1.0,14.03,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0088_t00869.mp4,tier2,1,1.0,0.041701316833496,True,9,0.9380292892456056,1,0.7441102256737282,4.535486221313477,5.366666793823242,0.0,1.0,1,0.0,0.0,0.01270321011543274,ANTV - Truyền hình Công an Nhân dân,calibration,nguyenvanlinh
7473460849152249096_clip0000_t00000,7473460849152249096,0.802,5.802,5.0,1.0,1.0,4.93,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7473460849152249096_clip0000_t00000.mp4,tier3,1,1.0,0.0749203711748123,True,9,0.8633162379264832,10,0.8228825881071792,20.431909561157227,24.271369552612303,0.0,1.0,1,0.0,0.0,0.10777178406715393,[TIKTOK],calibration,nguyenvanlinh
XwMwDTPAyAo_clip0010_t00115,XwMwDTPAyAo,115.138,120.254,5.116,1.0,1.0,6.22,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\XwMwDTPAyAo_clip0010_t00115.mp4,tier1,1,1.0,0.011031124740839,True,9,0.8117411136627197,27,0.6369228214495548,0.8218749761581421,1.484583353996277,0.6031746031746031,2.0,2,0.8297218680381775,0.88189297914505,0.05473405122756958,Nàng Dâu Tập Sự,calibration,nguyenvanlinh
7634060096967806228_clip0024_t00210,7634060096967806228,210.69,213.246,2.556,1.0,1.0,4.34,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7634060096967806228_clip0024_t00210.mp4,tier3,1,1.0,0.0166671928018331,True,9,0.972600281238556,31,0.6809115024648401,0.2496478855609893,0.3675836265087128,1.0,1.0,1,0.0,0.0,0.007386445999145508,[TIKTOK],calibration,nguyenvanlinh
7491284887240985864_clip0000_t00000,7491284887240985864,0.226,8.254,8.028,1.0,1.0,5.95,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7491284887240985864_clip0000_t00000.mp4,tier3,1,1.0,0.0669458657503128,True,9,0.4189988374710083,32,0.7223986014106151,10.869431972503662,19.05971336364747,0.0,1.0,2,0.0,0.7523928880691528,0.42354297637939453,[TIKTOK],calibration,nguyenvanlinh
I-uqcg6HtaQ_clip0005_t00039,I-uqcg6HtaQ,39.458,44.458,5.0,1.0,1.0,13.76,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\I-uqcg6HtaQ_clip0005_t00039.mp4,tier2,1,1.0,0.0763339325785636,True,9,0.9787949323654176,71,0.8471742032966711,3.366701364517212,3.965541768074036,0.0161290322580645,1.0,1,0.0,0.0,0.017493009567260742,ANTV - Truyền hình Công an Nhân dân,calibration,nguyenvanlinh
u4AumpXc-qc_clip0063_t00435,u4AumpXc-qc,435.362,437.694,2.332,1.0,1.0,14.47,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\u4AumpXc-qc_clip0063_t00435.mp4,tier1,1,1.0,0.02329758182168,True,9,0.6703997850418091,74,0.6459362524718754,4.7047224044799805,7.890875053405762,0.0,1.0,1,0.0,0.0,0.0595700740814209,Phuoc Nguyen Van,calibration,nguyenvanlinh
z0ZM1kEnmJI_clip0013_t00282,z0ZM1kEnmJI,282.722,284.766,2.044,1.0,1.0,1.89,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\z0ZM1kEnmJI_clip0013_t00282.mp4,tier1,1,1.0,0.0487642735242843,True,9,0.8413059711456299,85,0.7465930884160018,1.0008333921432495,1.6604722261428837,0.48,1.0,1,0.0,0.0,0.022087454795837402,Nàng Dâu Tập Sự,calibration,nguyenvanlinh
z0ZM1kEnmJI_clip0028_t00729,z0ZM1kEnmJI,729.186,734.186,5.0,1.0,1.0,1.8,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\z0ZM1kEnmJI_clip0028_t00729.mp4,tier1,1,1.0,0.0286967288702726,True,9,0.8307677507400513,85,0.6891824058258338,0.867638885974884,1.7228332996368405,0.6129032258064516,2.0,2,0.7162927389144897,0.7482126355171204,0.3078135848045349,Nàng Dâu Tập Sự,calibration,nguyenvanlinh
EMFwAo7a4rg_clip0034_t00601,EMFwAo7a4rg,601.762,606.762,5.0,1.0,1.0,6.61,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\EMFwAo7a4rg_clip0034_t00601.mp4,tier1,1,1.0,0.0124392174184322,True,9,0.3282910585403442,101,0.5555059893598615,11.888854503631592,16.620172882080077,0.0,3.0,53,0.6929724216461182,0.9531630277633667,0.5911178886890411,69 CÁCH YÊU,calibration,nguyenvanlinh
