clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,decode_backend,cut_backend,run_id,candidate_rank_in_tier,candidate_pool_version,selection_seed
VgGwgxT1hm0_s0000691618_e0000701182,VgGwgxT1hm0,691.618,701.182,9.564,1.0,1.0,5.73,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\400_440\media\VgGwgxT1hm0_s0000691618_e0000701182.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,1,active_speaker_candidate_pool_v1,42
wttuvGomhr4_s0000919426_e0000923262,wttuvGomhr4,919.426,923.262,3.836,1.0,1.0,36.2,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\400_440\media\wttuvGomhr4_s0000919426_e0000923262.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,2,active_speaker_candidate_pool_v1,42
9hVB2KmcCtk_s0000051906_e0000054526,9hVB2KmcCtk,51.906,54.526,2.62,1.0,1.0,11.24,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\50_100\media\9hVB2KmcCtk_s0000051906_e0000054526.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,3,active_speaker_candidate_pool_v1,42
cyi8OGHa_28_s0000277378_e0000288990,cyi8OGHa_28,277.378,288.99,11.612,1.0,1.0,5.23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100_150\media\cyi8OGHa_28_s0000277378_e0000288990.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,4,active_speaker_candidate_pool_v1,42
O13c0GdEtyY_s0000738562_e0000740926,O13c0GdEtyY,738.562,740.926,2.364,1.0,1.0,4.91,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\250_300\media\O13c0GdEtyY_s0000738562_e0000740926.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,5,active_speaker_candidate_pool_v1,42
2BJx-TsUgw8_s0000181730_e0000186782,2BJx-TsUgw8,181.73,186.782,5.052,1.0,1.0,14.46,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\2BJx-TsUgw8_s0000181730_e0000186782.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,6,active_speaker_candidate_pool_v1,42
2xU2t0CyIJ4_s0000018818_e0000025022,2xU2t0CyIJ4,18.818,25.022,6.204,1.0,1.0,4.42,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\2xU2t0CyIJ4_s0000018818_e0000025022.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,7,active_speaker_candidate_pool_v1,42
zfRcxNy23l0_s0000462370_e0000465534,zfRcxNy23l0,462.37,465.534,3.164,1.0,1.0,7.19,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440_472\media\zfRcxNy23l0_s0000462370_e0000465534.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,8,active_speaker_candidate_pool_v1,42
ucLlKRrtTN8_s0000616738_e0000626078,ucLlKRrtTN8,616.738,626.078,9.34,1.0,1.0,2.84,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\350_400\media\ucLlKRrtTN8_s0000616738_e0000626078.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,9,active_speaker_candidate_pool_v1,42
dFDTb0t_Nho_s0000314242_e0000320414,dFDTb0t_Nho,314.242,320.414,6.172,1.0,1.0,7.38,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100_150\media\dFDTb0t_Nho_s0000314242_e0000320414.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,10,active_speaker_candidate_pool_v1,42
ZQidPMdmsHQ_s0000188578_e0000190910,ZQidPMdmsHQ,188.578,190.91,2.332,1.0,1.0,10.67,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440_472\media\ZQidPMdmsHQ_s0000188578_e0000190910.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,11,active_speaker_candidate_pool_v1,42
lKAN7qiV5Do_s0000247650_e0000252958,lKAN7qiV5Do,247.65,252.958,5.308,1.0,1.0,9.4,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\250_300\media\lKAN7qiV5Do_s0000247650_e0000252958.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,12,active_speaker_candidate_pool_v1,42
aV62_AUZrGA_s0000294850_e0000298238,aV62_AUZrGA,294.85,298.238,3.388,1.0,1.0,24.54,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\50_100\media\aV62_AUZrGA_s0000294850_e0000298238.mp4,tier1,1,cuda,nvenc,cutfix_full_tier1_20260729_01,13,active_speaker_candidate_pool_v1,42
