clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,det_ratio,mean_face_area,has_embedding,n_sampled,embed_consistency,speaker_id,quality,motion_median,motion_p90,frac_near_static,n_faces_med,n_faces_max,ratio_med,ratio_max,cx_spread,channel
y3vBfCdY2tQ_clip0004_t00135,y3vBfCdY2tQ,135.202,139.582,4.38,1.0,1.0,6.05,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0004_t00135.mp4,tier1,1,1.0,0.0473507605493068,True,9,0.9826613664627076,0,0.7676252701852084,2.429027795791626,3.478000068664551,0.0185185185185185,2.0,2,0.8261143565177917,0.8361305594444275,0.028805434703826904,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0005_t00139,y3vBfCdY2tQ,139.682,141.79,2.108,1.0,1.0,6.51,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0005_t00139.mp4,tier1,1,1.0,0.0476632118225097,True,9,0.9905427098274232,0,0.7698810234033484,2.400416731834412,2.5764236450195312,0.0,2.0,2,0.8253500461578369,0.8425794839859009,0.012689262628555298,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0006_t00141,y3vBfCdY2tQ,141.922,149.534,7.612,1.0,1.0,6.27,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0006_t00141.mp4,tier1,1,1.0,0.0472100228071212,True,9,0.9888355731964112,0,0.7683252457245405,2.7426388263702397,2.931305503845215,0.0,2.0,2,0.8123880624771118,0.8239948749542236,0.050336986780166626,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0007_t00149,y3vBfCdY2tQ,149.922,154.686,4.764,1.0,1.0,6.55,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0007_t00149.mp4,tier1,1,1.0,0.0590826012194156,True,9,0.6488679051399231,0,0.7411966344741407,2.712777853012085,2.887861061096192,0.0508474576271186,2.0,6,0.8120023608207703,0.8134138584136963,0.4152683913707733,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0008_t00156,y3vBfCdY2tQ,156.546,160.606,4.06,1.0,1.0,6.07,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0008_t00156.mp4,tier1,1,1.0,0.0890949442982673,True,9,0.4173587262630462,0,0.783422270807688,1.1164236664772034,1.4777846813201907,0.26,6.0,6,0.5879073739051819,0.6183739900588989,0.007101655006408691,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0009_t00160,y3vBfCdY2tQ,160.77,164.126,3.356,1.0,1.0,7.23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0009_t00160.mp4,tier1,1,1.0,0.0852516666054725,True,9,0.5691174864768982,0,0.7995642634439185,1.2127083539962769,1.6065971851348877,0.2195121951219512,6.0,6,0.6962621808052063,0.7110453844070435,0.016616344451904297,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0010_t00164,y3vBfCdY2tQ,164.482,171.07,6.588,1.0,1.0,6.11,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0010_t00164.mp4,tier1,1,1.0,0.0592343136668205,True,9,0.6396936774253845,0,0.7399976236572686,1.3645486235618591,1.674506938457489,0.1341463414634146,5.0,6,0.9871392846107483,0.9979810118675232,0.3829967975616455,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0011_t00171,y3vBfCdY2tQ,171.874,175.358,3.484,1.0,1.0,7.2,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0011_t00171.mp4,tier1,1,1.0,0.0227755662053823,True,9,0.5751351118087769,0,0.6276797954114611,1.5102083683013916,3.673597240448,0.0930232558139534,3.0,6,0.9932500123977661,0.9985570311546326,0.2463679015636444,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0024_t00263,y3vBfCdY2tQ,263.394,267.326,3.932,1.0,1.0,6.91,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0024_t00263.mp4,tier1,1,1.0,0.0250726770609617,True,9,0.5767664909362793,0,0.6343265503511484,1.4157638549804688,1.6764722347259522,0.0204081632653061,10.0,10,0.5585044026374817,0.7205589413642883,0.002054557204246521,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0028_t00283,y3vBfCdY2tQ,283.106,288.542,5.436,1.0,1.0,8.76,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0028_t00283.mp4,tier1,1,1.0,0.0155366957187652,True,9,0.9799876809120178,0,0.6790857181054631,3.2332639694213867,4.644888973236084,0.0,3.0,4,0.7120985388755798,0.7339785695075989,0.0762687623500824,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0031_t00303,y3vBfCdY2tQ,303.65,305.758,2.108,1.0,1.0,8.78,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0031_t00303.mp4,tier1,1,1.0,0.0473177693784236,True,9,0.9907578229904176,0,0.7689627304399368,2.3665624856948853,2.9079861640930176,0.0,2.0,2,0.825945258140564,0.8471797108650208,0.011193573474884033,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0032_t00305,y3vBfCdY2tQ,305.858,309.278,3.42,1.0,1.0,8.15,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0032_t00305.mp4,tier1,1,1.0,0.0474691875278949,True,9,0.9882147908210754,0,0.7689331159258026,2.3751041889190674,3.0544653415679925,0.0,2.0,2,0.8084639310836792,0.8248038291931152,0.01861467957496643,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0033_t00313,y3vBfCdY2tQ,313.314,316.03,2.716,1.0,1.0,7.56,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0033_t00313.mp4,tier1,1,1.0,0.0476063415408134,True,9,0.9898567199707032,0,0.7696025380006851,2.253680467605591,3.147027826309204,0.0,2.0,2,0.8093346953392029,0.8185012340545654,0.016425281763076782,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0034_t00316,y3vBfCdY2tQ,316.13,319.422,3.292,1.0,1.0,9.14,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0034_t00316.mp4,tier1,1,1.0,0.0474496185779571,True,9,0.9898974299430848,0,0.7691758814551937,2.2595138549804688,2.536736011505127,0.024390243902439,2.0,2,0.814039409160614,0.8199548125267029,0.018630504608154297,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0035_t00320,y3vBfCdY2tQ,320.674,323.23,2.556,1.0,1.0,6.2,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0035_t00320.mp4,tier1,1,1.0,0.047440767288208,True,9,0.9890992045402528,0,0.7690105159999161,2.2189583778381348,2.4505555629730225,0.0,2.0,2,0.8194771409034729,0.824105978012085,0.014277845621109009,Truyền hình Hưng Yên - HYTV
y3vBfCdY2tQ_clip0038_t00330,y3vBfCdY2tQ,330.69,332.99,2.3,1.0,1.0,8.58,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\y3vBfCdY2tQ_clip0038_t00330.mp4,tier1,1,1.0,0.0766413435339927,True,9,0.929229736328125,0,0.8392783793018912,1.0671527981758118,1.3521180629730225,0.3571428571428571,6.0,9,0.6280335783958435,0.7009363770484924,0.013316929340362549,Truyền hình Hưng Yên - HYTV
