clip_id,file_path,decision,reason,reviewer_id,rubric_version,ts
mHTLamr-Zqk_clip0088_t00869,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\mHTLamr-Zqk_clip0088_t00869.mp4,keep,,nguyenminhnhat,v2,2026-07-23 11:12:49
7473460849152249096_clip0000_t00000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7473460849152249096_clip0000_t00000.mp4,reject,dubbed,nguyenminhnhat,v2,2026-07-23 11:13:17
XwMwDTPAyAo_clip0010_t00115,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\XwMwDTPAyAo_clip0010_t00115.mp4,keep,,nguyenminhnhat,v2,2026-07-23 10:57:24
7634060096967806228_clip0024_t00210,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7634060096967806228_clip0024_t00210.mp4,reject,voiceover,nguyenminhnhat,v2,2026-07-23 11:10:20
7491284887240985864_clip0000_t00000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier3\tier3_v3_clips_0_1262-001\7491284887240985864_clip0000_t00000.mp4,reject,cut,nguyenminhnhat,v2,2026-07-23 11:13:30
I-uqcg6HtaQ_clip0005_t00039,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\tier2_v3_clips_0_999-001\I-uqcg6HtaQ_clip0005_t00039.mp4,reject,static,nguyenminhnhat,v2,2026-07-23 11:13:32
u4AumpXc-qc_clip0063_t00435,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\300-400\tier1_v3_clips_300_400\u4AumpXc-qc_clip0063_t00435.mp4,keep,,nguyenminhnhat,v2,2026-07-23 11:13:37
z0ZM1kEnmJI_clip0013_t00282,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\z0ZM1kEnmJI_clip0013_t00282.mp4,keep,,nguyenminhnhat,v2,2026-07-23 11:13:50
z0ZM1kEnmJI_clip0028_t00729,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\440-9999\tier1_v3_clips_440_9999\z0ZM1kEnmJI_clip0028_t00729.mp4,keep,,nguyenminhnhat,v2,2026-07-23 10:57:47
EMFwAo7a4rg_clip0034_t00601,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\100-300\tier1_v3_clips_100_300\EMFwAo7a4rg_clip0034_t00601.mp4,reject,mouth,nguyenminhnhat,v2,2026-07-23 10:58:43
