clip_id,file_path,decision,ts
-jDBwP6g2tA_clip0000_t00000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0000_t00000.mp4,keep,2026-06-27 12:32:42
-jDBwP6g2tA_clip0001_t00005,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0001_t00005.mp4,keep,2026-06-27 12:32:51
-jDBwP6g2tA_clip0002_t00009,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0002_t00009.mp4,keep,2026-06-27 12:32:57
-jDBwP6g2tA_clip0003_t00013,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0003_t00013.mp4,keep,2026-06-27 12:33:03
-jDBwP6g2tA_clip0004_t00017,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0004_t00017.mp4,keep,2026-06-27 12:33:08
-jDBwP6g2tA_clip0005_t00021,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0005_t00021.mp4,keep,2026-06-27 12:33:12
-jDBwP6g2tA_clip0006_t00024,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0006_t00024.mp4,keep,2026-06-27 12:33:18
-jDBwP6g2tA_clip0007_t00037,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0007_t00037.mp4,keep,2026-06-27 12:33:23
-jDBwP6g2tA_clip0008_t00041,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0008_t00041.mp4,keep,2026-06-27 12:33:30
-jDBwP6g2tA_clip0009_t00045,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0009_t00045.mp4,keep,2026-06-27 12:33:35
-jDBwP6g2tA_clip0010_t00049,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0010_t00049.mp4,keep,2026-06-27 12:33:42
-jDBwP6g2tA_clip0011_t00053,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0011_t00053.mp4,keep,2026-06-27 12:33:49
-jDBwP6g2tA_clip0012_t00058,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0012_t00058.mp4,keep,2026-06-27 12:33:55
-jDBwP6g2tA_clip0013_t00079,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0013_t00079.mp4,keep,2026-06-27 12:33:59
-jDBwP6g2tA_clip0014_t00085,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0014_t00085.mp4,keep,2026-06-27 12:34:01
-jDBwP6g2tA_clip0015_t00094,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0015_t00094.mp4,keep,2026-06-27 12:34:04
-jDBwP6g2tA_clip0016_t00099,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0016_t00099.mp4,keep,2026-06-27 12:34:09
-jDBwP6g2tA_clip0017_t00104,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0017_t00104.mp4,keep,2026-06-27 12:34:21
-jDBwP6g2tA_clip0018_t00116,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0018_t00116.mp4,keep,2026-06-27 12:34:39
-jDBwP6g2tA_clip0019_t00128,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0019_t00128.mp4,keep,2026-06-27 12:34:44
-jDBwP6g2tA_clip0020_t00132,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0020_t00132.mp4,keep,2026-06-27 12:34:50
