clip_id,file_path,label,method,param,source_clip,source_video,speaker_id,tier,split
y3vBfCdY2tQ_clip0004_t00135_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0004_t00135_crf23.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0005_t00139_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0005_t00139_crf35.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0006_t00141_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0006_t00141_crf35.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0007_t00149_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0007_t00149_crf23.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0008_t00156_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0008_t00156_crf35.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0009_t00160_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0009_t00160_crf35.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0010_t00164_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0010_t00164_crf30.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0011_t00171_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0011_t00171_crf23.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0024_t00263_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0024_t00263_crf23.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0028_t00283_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0028_t00283_crf23.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0031_t00303_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0031_t00303_crf40.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0032_t00305_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0032_t00305_crf40.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0033_t00313_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0033_t00313_crf40.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0034_t00316_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0034_t00316_crf23.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0035_t00320_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0035_t00320_crf30.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0038_t00330_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0038_t00330_crf40.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0039_t00335_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0039_t00335_crf40.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
y3vBfCdY2tQ_clip0040_t00343_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\y3vBfCdY2tQ_clip0040_t00343_crf40.mp4,0,real,,,y3vBfCdY2tQ,0,tier1,train
mHTLamr-Zqk_clip0081_t00799_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\mHTLamr-Zqk_clip0081_t00799_crf23.mp4,0,real,,,mHTLamr-Zqk,1,tier2,train
mHTLamr-Zqk_clip0084_t00849_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\mHTLamr-Zqk_clip0084_t00849_crf30.mp4,0,real,,,mHTLamr-Zqk,1,tier2,train
mHTLamr-Zqk_clip0085_t00852_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\mHTLamr-Zqk_clip0085_t00852_crf35.mp4,0,real,,,mHTLamr-Zqk,1,tier2,train
mHTLamr-Zqk_clip0086_t00861_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\mHTLamr-Zqk_clip0086_t00861_crf23.mp4,0,real,,,mHTLamr-Zqk,1,tier2,train
mHTLamr-Zqk_clip0087_t00863_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\mHTLamr-Zqk_clip0087_t00863_crf40.mp4,0,real,,,mHTLamr-Zqk,1,tier2,train
mHTLamr-Zqk_clip0088_t00869_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\mHTLamr-Zqk_clip0088_t00869_crf30.mp4,0,real,,,mHTLamr-Zqk,1,tier2,train
mHTLamr-Zqk_clip0089_t00876_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\mHTLamr-Zqk_clip0089_t00876_crf35.mp4,0,real,,,mHTLamr-Zqk,1,tier2,train
mHTLamr-Zqk_clip0090_t00880_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\mHTLamr-Zqk_clip0090_t00880_crf23.mp4,0,real,,,mHTLamr-Zqk,1,tier2,train
_adzgpYkn_c_clip0053_t00511_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\_adzgpYkn_c_clip0053_t00511_crf30.mp4,0,real,,,_adzgpYkn_c,2,tier1,train
_adzgpYkn_c_clip0054_t00516_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\_adzgpYkn_c_clip0054_t00516_crf30.mp4,0,real,,,_adzgpYkn_c,2,tier1,train
aArTJcMMmTw_clip0024_t00371_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\aArTJcMMmTw_clip0024_t00371_crf40.mp4,0,real,,,aArTJcMMmTw,2,tier1,train
aArTJcMMmTw_clip0025_t00379_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\aArTJcMMmTw_clip0025_t00379_crf40.mp4,0,real,,,aArTJcMMmTw,2,tier1,train
aArTJcMMmTw_clip0026_t00383_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\aArTJcMMmTw_clip0026_t00383_crf40.mp4,0,real,,,aArTJcMMmTw,2,tier1,train
7642303380873956616_clip0001_t00032_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\7642303380873956616_clip0001_t00032_crf23.mp4,0,real,,,7642303380873956616,3,tier3,train
7642303380873956616_clip0002_t00038_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\7642303380873956616_clip0002_t00038_crf30.mp4,0,real,,,7642303380873956616,3,tier3,train
I-uqcg6HtaQ_clip0036_t00317_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\I-uqcg6HtaQ_clip0036_t00317_crf35.mp4,0,real,,,I-uqcg6HtaQ,4,tier2,train
Nw3N73GJ2Zo_clip0022_t00343_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\Nw3N73GJ2Zo_clip0022_t00343_crf35.mp4,0,real,,,Nw3N73GJ2Zo,4,tier1,train
Nw3N73GJ2Zo_clip0023_t00347_crf40,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\Nw3N73GJ2Zo_clip0023_t00347_crf40.mp4,0,real,,,Nw3N73GJ2Zo,4,tier1,train
3tEN20uif6g_clip0041_t00512_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\3tEN20uif6g_clip0041_t00512_crf30.mp4,0,real,,,3tEN20uif6g,5,tier1,test
CHkaAtJLN3E_clip0072_t01016_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\CHkaAtJLN3E_clip0072_t01016_crf35.mp4,0,real,,,CHkaAtJLN3E,5,tier1,test
Nw3N73GJ2Zo_clip0067_t00766_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\Nw3N73GJ2Zo_clip0067_t00766_crf23.mp4,0,real,,,Nw3N73GJ2Zo,5,tier1,test
Nw3N73GJ2Zo_clip0068_t00778_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\Nw3N73GJ2Zo_clip0068_t00778_crf30.mp4,0,real,,,Nw3N73GJ2Zo,5,tier1,test
WsHg9aCVIw0_clip0024_t00213_crf30,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\WsHg9aCVIw0_clip0024_t00213_crf30.mp4,0,real,,,WsHg9aCVIw0,5,tier1,test
Xigg3vUV2Gw_clip0000_t00013_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\Xigg3vUV2Gw_clip0000_t00013_crf23.mp4,0,real,,,Xigg3vUV2Gw,5,tier1,test
Xigg3vUV2Gw_clip0001_t00017_crf23,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\Xigg3vUV2Gw_clip0001_t00017_crf23.mp4,0,real,,,Xigg3vUV2Gw,5,tier1,test
Xigg3vUV2Gw_clip0008_t00085_crf35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\03_fake\snvsm\real\Xigg3vUV2Gw_clip0008_t00085_crf35.mp4,0,real,,,Xigg3vUV2Gw,5,tier1,test
