clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,det_ratio,mean_face_area,has_embedding,n_sampled,embed_consistency,speaker_id,quality
0-fu0N-npmg_clip0000_t00009,0-fu0N-npmg,9.218,15.678,6.46,1.0,1.0,3.07,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0000_t00009.mp4,tier1,1,1.0,0.0093240207061171,True,9,0.8651195168495178,155,0.6416169326091211
0-fu0N-npmg_clip0033_t00367,0-fu0N-npmg,367.01,372.01,5.0,1.0,1.0,3.65,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0033_t00367.mp4,tier1,1,1.0,0.0173936635255813,True,9,0.286716103553772,735,0.5618841351318352
0-fu0N-npmg_clip0034_t00383,0-fu0N-npmg,383.01,387.102,4.092,1.0,1.0,3.44,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0034_t00383.mp4,tier1,1,1.0,0.0090932436287403,True,9,0.8240141272544861,957,0.6337242029975126
0-fu0N-npmg_clip0048_t00672,0-fu0N-npmg,672.002,677.002,5.0,0.8,1.0,3.09,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0048_t00672.mp4,tier1,1,1.0,0.0547183416783809,True,9,0.2547537088394165,457,0.6595659229133486
0-fu0N-npmg_clip0050_t00694,0-fu0N-npmg,694.082,699.038,4.956,1.0,1.0,3.24,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0050_t00694.mp4,tier1,1,1.0,0.0085891028866171,True,9,0.8534249067306519,952,0.6375187776592737
0-fu0N-npmg_clip0063_t00835,0-fu0N-npmg,835.362,840.362,5.0,1.0,1.0,3.2,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0063_t00835.mp4,tier1,1,1.0,0.0092556057497859,True,9,0.5181637406349182,84,0.5802000563402163
0-fu0N-npmg_clip0066_t00888,0-fu0N-npmg,888.642,893.642,5.0,0.8,1.0,3.48,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0066_t00888.mp4,tier1,1,1.0,0.004481938201934,True,9,0.3210721611976623,131,0.5322047182301282
0-fu0N-npmg_clip0067_t00904,0-fu0N-npmg,904.61,912.19,7.58,1.0,1.0,1.53,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0-fu0N-npmg_clip0067_t00904.mp4,tier1,1,1.0,0.0095631871372461,True,9,0.8658339381217957,155,0.6424050676986396
0wOdyRpc0wc_clip0000_t00005,0wOdyRpc0wc,5.154,10.154,5.0,1.0,1.0,22.03,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0000_t00005.mp4,tier1,1,1.0,0.0008642481989227,True,9,0.8140659332275391,59,0.6142469293930952
0wOdyRpc0wc_clip0001_t00024,0wOdyRpc0wc,24.866,29.822,4.956,1.0,1.0,20.88,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0001_t00024.mp4,tier1,1,1.0,0.0065091080032289,True,9,0.3140983581542969,962,0.5365856605211371
0wOdyRpc0wc_clip0002_t00030,0wOdyRpc0wc,30.274,35.274,5.0,1.0,1.0,20.6,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0002_t00030.mp4,tier1,1,1.0,0.0028605775441974,True,9,0.7996569871902466,394,0.6121726118432527
0wOdyRpc0wc_clip0005_t00064,0wOdyRpc0wc,64.482,71.198,6.716,1.0,1.0,20.86,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0005_t00064.mp4,tier1,1,1.0,0.009132070466876,True,9,0.2229840159416198,953,0.5277675461981112
0wOdyRpc0wc_clip0009_t00091,0wOdyRpc0wc,91.618,96.618,5.0,1.0,1.0,20.76,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0009_t00091.mp4,tier1,1,1.0,0.0088485432788729,True,9,0.3757975995540619,5,0.5539497889508501
0wOdyRpc0wc_clip0010_t00095,0wOdyRpc0wc,95.618,100.618,5.0,1.0,1.0,21.1,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0010_t00095.mp4,tier1,1,1.0,0.0067791622132062,True,9,0.4427985548973083,5,0.5600450242731867
0wOdyRpc0wc_clip0011_t00099,0wOdyRpc0wc,99.618,104.618,5.0,1.0,1.0,20.84,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0011_t00099.mp4,tier1,1,1.0,0.0064984243363142,True,9,0.4437941312789917,889,0.5594435753589352
0wOdyRpc0wc_clip0012_t00122,0wOdyRpc0wc,122.402,129.886,7.484,1.0,1.0,20.82,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0012_t00122.mp4,tier1,1,1.0,0.0024676220491528,True,9,0.7844493389129639,394,0.609020471572876
0wOdyRpc0wc_clip0013_t00130,0wOdyRpc0wc,130.146,137.182,7.036,1.0,1.0,20.98,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0013_t00130.mp4,tier1,1,1.0,0.0169939119368791,True,9,0.0882474705576896,806,0.5257536659839723
0wOdyRpc0wc_clip0016_t00151,0wOdyRpc0wc,151.298,157.886,6.588,1.0,1.0,21.17,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0016_t00151.mp4,tier1,1,1.0,0.0015737089561298,True,9,0.9539204835891724,59,0.6389271441627952
0wOdyRpc0wc_clip0018_t00176,0wOdyRpc0wc,176.674,181.674,5.0,1.0,1.0,21.11,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0018_t00176.mp4,tier1,1,1.0,0.0023615572135895,True,9,0.9802603125572203,59,0.6435753492748036
0wOdyRpc0wc_clip0019_t00180,0wOdyRpc0wc,180.674,185.674,5.0,1.0,1.0,21.29,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\clips\tier1\0-100\tier1_v3_clips_0_100\0wOdyRpc0wc_clip0019_t00180.mp4,tier1,1,1.0,0.0023328177630901,True,9,0.9735851287841796,59,0.6423973756677964
