clip_id,lse_c,lse_d,error
EMFwAo7a4rg_clip0009_t00209,,,offsets.txt không parse được hoặc không có mặt
7585912099348434196_clip0012_t00118,0.52,10.952,
Nw3N73GJ2Zo_clip0023_t00347,0.395,10.55,
l9jY99iqS48_clip0099_t00629,,,offsets.txt không parse được hoặc không có mặt
cVabKjWav-Y_clip0013_t00157,,,offsets.txt không parse được hoặc không có mặt
l9jY99iqS48_clip0044_t00284,,,offsets.txt không parse được hoặc không có mặt
eamxIEAY2eQ_clip0051_t00335,,,offsets.txt không parse được hoặc không có mặt
NqOg7JCnnm0_clip0084_t00412,,,offsets.txt không parse được hoặc không có mặt
qh78i88JEiU_clip0059_t00623,5.561,8.789,
RoXXg62YfpM_clip0042_t00344,3.256,10.84,
usfv-YmWPBs_clip0034_t00574,,,offsets.txt không parse được hoặc không có mặt
bhO764uZyDA_clip0091_t00566,,,offsets.txt không parse được hoặc không có mặt
7616704452602449159_clip0006_t00148,0.932,9.494,
jfQzsbl5zZc_clip0146_t00772,,,offsets.txt không parse được hoặc không có mặt
wKaFsRX95YY_clip0012_t00117,,,offsets.txt không parse được hoặc không có mặt
VdHT9nXSw-8_clip0022_t00175,1.176,11.689,
0-fu0N-npmg_clip0013_t00170,,,offsets.txt không parse được hoặc không có mặt
lq_tau31IE0_clip0036_t00668,0.645,8.447,
7491284887240985864_clip0006_t00046,,,offsets.txt không parse được hoặc không có mặt
I-uqcg6HtaQ_clip0031_t00275,7.449,10.795,
9fvi4IXr6rQ_clip0028_t00276,0.449,9.047,
P3K1OaKR4nY_clip0020_t00158,,,offsets.txt không parse được hoặc không có mặt
jfQzsbl5zZc_clip0002_t00018,,,offsets.txt không parse được hoặc không có mặt
I-uqcg6HtaQ_clip0002_t00019,9.322,10.763,
wKaFsRX95YY_clip0038_t00468,,,offsets.txt không parse được hoặc không có mặt
3tEN20uif6g_clip0024_t00334,0.836,6.989,
2cg60JADoVY_clip0153_t00843,0.997,10.166,
7641434012375928072_clip0005_t00059,,,offsets.txt không parse được hoặc không có mặt
gHsxuixSqz0_clip0025_t00271,9.429,12.225,
ouCPqISuqAU_clip0024_t00147,6.301,8.064,
