"task","source_video","source_clip","audio_source_clip_id","wav2lip_fake","video_path","audio_path"
"task_01","2fqXC4RQyOw","2fqXC4RQyOw_s0000020450_e0000026782","3lHEAWJhKe8_s0000024162_e0000029162","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\2fqXC4RQyOw_s0000020450_e0000026782__wav2lip_gpu_batch_004__fake.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_01_source.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_01_audio.wav"
"task_02","3lHEAWJhKe8","3lHEAWJhKe8_s0000024162_e0000029162","5CNS_gaH16c_s0000015202_e0000020958","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\3lHEAWJhKe8_s0000024162_e0000029162__wav2lip_gpu_batch_004__fake.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_02_source.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_02_audio.wav"
"task_03","5CNS_gaH16c","5CNS_gaH16c_s0000015202_e0000020958","5QPu-wDmeTA_s0000009090_e0000014090","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\5CNS_gaH16c_s0000015202_e0000020958__wav2lip_gpu_batch_004__fake.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_03_source.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_03_audio.wav"
"task_04","5QPu-wDmeTA","5QPu-wDmeTA_s0000009090_e0000014090","7mvfCSW4SLw_s0000003682_e0000009470","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\5QPu-wDmeTA_s0000009090_e0000014090__wav2lip_gpu_batch_004__fake.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_04_source.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_04_audio.wav"
"task_05","7mvfCSW4SLw","7mvfCSW4SLw_s0000003682_e0000009470","JEgxmwvo7YY_s0000061538_e0000068158","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\7mvfCSW4SLw_s0000003682_e0000009470__wav2lip_gpu_batch_004__fake.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_05_source.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_05_audio.wav"
"task_06","JEgxmwvo7YY","JEgxmwvo7YY_s0000061538_e0000068158","KUVGZwkwd68_s0000018498_e0000023198","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\JEgxmwvo7YY_s0000061538_e0000068158__wav2lip_gpu_batch_004__fake.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_06_source.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_06_audio.wav"
"task_07","KUVGZwkwd68","KUVGZwkwd68_s0000018498_e0000023198","WgzSaOvFKrc_s0000070242_e0000075742","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\KUVGZwkwd68_s0000018498_e0000023198__wav2lip_gpu_batch_004__fake.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_07_source.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_07_audio.wav"
"task_08","WgzSaOvFKrc","WgzSaOvFKrc_s0000070242_e0000075742","bcOT0JHr3Qc_s0000015298_e0000020990","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\WgzSaOvFKrc_s0000070242_e0000075742__wav2lip_gpu_batch_004__fake.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_08_source.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_08_audio.wav"
"task_09","bcOT0JHr3Qc","bcOT0JHr3Qc_s0000015298_e0000020990","gof2bUJhK3Y_s0000016514_e0000022590","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\bcOT0JHr3Qc_s0000015298_e0000020990__wav2lip_gpu_batch_004__fake.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_09_source.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_09_audio.wav"
"task_10","gof2bUJhK3Y","gof2bUJhK3Y_s0000016514_e0000022590","j60KF89vXkg_s0000035746_e0000040030","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\gof2bUJhK3Y_s0000016514_e0000022590__wav2lip_gpu_batch_004__fake.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_10_source.mp4","E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\musetalk_smoke_10x2s_001\input\task_10_audio.wav"
