task,clip_id,source_clip,audio_source_clip_id,start_frame,audio_start_frame,num_frames,generator,label,split,video_path,audio_path,original_audio,width,height,source_sha256,donor_sha256,video_sha256,audio_sha256
task_01,5CNS_gaH16c_s0000015202_e0000020958__quality_10x2s_002__fake,5CNS_gaH16c_s0000015202_e0000020958,5QPu-wDmeTA_s0000006466_e0000008926,0,0,50,wav2lip,1,train,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_01\face.avi,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_01\driver.wav,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_01\original.wav,1920,1080,586ea01582daea0440fbb9914dc6d9efe9931a45b3ac59cd4bcfe75c504242a9,8e7bf7e5ec1833bc3a99a5e8f946153de1a8006b7d976d162addde2908561a2c,76032566750857836a6699dcd647a4f228f38c593d83ba04ba5e314dcb6859ca,265b690575b17f80c5676fb324fe2d0c166b70f5505f02a409d7f6b73ddd0880
task_02,5QPu-wDmeTA_s0000006466_e0000008926__quality_10x2s_002__fake,5QPu-wDmeTA_s0000006466_e0000008926,7mvfCSW4SLw_s0000003682_e0000009470,0,0,50,wav2lip,1,train,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_02\face.avi,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_02\driver.wav,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_02\original.wav,1920,1080,8e7bf7e5ec1833bc3a99a5e8f946153de1a8006b7d976d162addde2908561a2c,08d125fcbc14a391db24f89faa434f0bc11d5562b1c9e4c30e70d2b85e8469a6,d0b364be2b7aaeb7f68a193f9919d5feff497c0fdd2c23622d32cbee8caec262,b1fa9de803ad6e1091f38687735f742582751be0dd8b27eb80addd0198629e3f
task_03,7mvfCSW4SLw_s0000003682_e0000009470__quality_10x2s_002__fake,7mvfCSW4SLw_s0000003682_e0000009470,JEgxmwvo7YY_s0000008258_e0000011518,0,0,50,wav2lip,1,train,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_03\face.avi,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_03\driver.wav,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_03\original.wav,1920,1080,08d125fcbc14a391db24f89faa434f0bc11d5562b1c9e4c30e70d2b85e8469a6,04f791e14aa4f1c5b486941ae5e13d876d0d146f20fa3f0448838fe02f939085,510d7de2c3306f6933b447a3fe4acc28e93cada1584cae76b13f18b82746c0f2,b0cbe15114be4e138a807d312834bcbe3d3170912927382afa723c2fef841d86
task_04,JEgxmwvo7YY_s0000008258_e0000011518__quality_10x2s_002__fake,JEgxmwvo7YY_s0000008258_e0000011518,KUVGZwkwd68_s0000018498_e0000023198,0,0,50,wav2lip,1,train,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_04\face.avi,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_04\driver.wav,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_04\original.wav,1920,1080,04f791e14aa4f1c5b486941ae5e13d876d0d146f20fa3f0448838fe02f939085,272f133a4abca6f884d0d431fb5604d55e36c32acd45d127aa935ffe5416afdd,cc6a8cccb4da0ec183757c1fac817360ca3722230095bee1ac2ea441074b96dc,30214defd73ab209c8dcf11de789b1c2a5808ef060bcb74626e3da4d23303a96
task_05,KUVGZwkwd68_s0000018498_e0000023198__quality_10x2s_002__fake,KUVGZwkwd68_s0000018498_e0000023198,WgzSaOvFKrc_s0000001922_e0000006078,0,0,50,wav2lip,1,train,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_05\face.avi,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_05\driver.wav,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_05\original.wav,1920,1080,272f133a4abca6f884d0d431fb5604d55e36c32acd45d127aa935ffe5416afdd,19fd25a1046fc8ee803d4f4fdf0544fa25c842de4e1c0cfa87e9259ff034e79a,27cde113b16e4e2a7bde732b3117f65ec047ece3c412a324accea1e433842858,d693be9f87687e38408e90f6313c2ab74d2fad23352e905042850db5cb48cdee
task_06,WgzSaOvFKrc_s0000001922_e0000006078__quality_10x2s_002__fake,WgzSaOvFKrc_s0000001922_e0000006078,bcOT0JHr3Qc_s0000015298_e0000020990,0,0,50,wav2lip,1,train,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_06\face.avi,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_06\driver.wav,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_06\original.wav,1920,1080,19fd25a1046fc8ee803d4f4fdf0544fa25c842de4e1c0cfa87e9259ff034e79a,216f3e46db1d3178017296cde19c42cf42ea23f5cd8d7f397eed0c0d24d38d89,44d5fb0bf1520a0eb52c0ab3ac05a903013f4bf0b7f05001e80a09c25870ade9,3cdf4c07b70f4f124070c75830560ed8d567d9241ecd3a1e189fa5a72fa4146c
task_07,bcOT0JHr3Qc_s0000015298_e0000020990__quality_10x2s_002__fake,bcOT0JHr3Qc_s0000015298_e0000020990,gof2bUJhK3Y_s0000016514_e0000022590,0,0,50,wav2lip,1,train,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_07\face.avi,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_07\driver.wav,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_07\original.wav,1920,1080,216f3e46db1d3178017296cde19c42cf42ea23f5cd8d7f397eed0c0d24d38d89,09e99b1cc8e86f0cf08a7d086a7762cc8901ce1713f2d199e74b6a144b702d5b,7f7c39a23c9c6478b6888af20e4f2cb871b713a527b195af0b2fba4ceb3f0a4d,8faf6ac13ca260372fa8adedbddf01ee0db83ec5767ba29d86e5c0139b600826
task_08,gof2bUJhK3Y_s0000016514_e0000022590__quality_10x2s_002__fake,gof2bUJhK3Y_s0000016514_e0000022590,j60KF89vXkg_s0000009026_e0000012126,0,0,50,wav2lip,1,train,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_08\face.avi,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_08\driver.wav,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_08\original.wav,1920,1080,09e99b1cc8e86f0cf08a7d086a7762cc8901ce1713f2d199e74b6a144b702d5b,1807ac0817bc9d0c9ad093e693a9d9afa53bc237537f389b4a9b05dcff402be4,037a5b6bbe9dc6645c079484a23998136b1f623614c64674dd5be03de7a19fcf,936e8adeaa6a75118ec5c8e96312b4edb08c65e5bcd2b666f29d5f5d5a113976
task_09,j60KF89vXkg_s0000009026_e0000012126__quality_10x2s_002__fake,j60KF89vXkg_s0000009026_e0000012126,qy7VoECGCm8_s0000000130_e0000006462,0,0,50,wav2lip,1,train,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_09\face.avi,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_09\driver.wav,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_09\original.wav,1920,1080,1807ac0817bc9d0c9ad093e693a9d9afa53bc237537f389b4a9b05dcff402be4,269fc6ebf513af742f6728f9ee924a8278ca68f62cf40b02de7e24746834883d,e65ed0e378e9a61056b04bd9c74e5dd7c7614e53075b59522ceb73f8a1a4e415,31a2033630e7bdee9978cac0de2fd3cc43118c7fe4b3f51075a275dcced6400d
task_10,qy7VoECGCm8_s0000000130_e0000006462__quality_10x2s_002__fake,qy7VoECGCm8_s0000000130_e0000006462,xo3VtrivRjk_s0000000738_e0000004222,0,0,50,wav2lip,1,train,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_10\face.avi,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_10\driver.wav,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\quality_10x2s_002\input\task_10\original.wav,1920,1080,269fc6ebf513af742f6728f9ee924a8278ca68f62cf40b02de7e24746834883d,5eb4251daf4c9efa39b5932cf6755fc660def31f5dc085e53063cd8789d8bf0a,817ffc9ac1dc9016ffc7327e4cbb4f4b329d88c2836b0835bfcf97ff82c15325,e957c2d5b8f367a138ab59907c78703c786c4dec3b232c335c9e9704506dbc2d
