clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,decode_backend,cut_backend,run_id,url,title,channel,program_id,episode_id,canonical_source_id
0cHIyeLFYOk_s0000002210_e0000009182,0cHIyeLFYOk,2.21,9.182,6.972,1.0,1.0,18.96,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000002210_e0000009182.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000010274_e0000021950,0cHIyeLFYOk,10.274,21.95,11.676,1.0,1.0,17.83,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000010274_e0000021950.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000022338_e0000027338,0cHIyeLFYOk,22.338,27.338,5.0,1.0,1.0,17.87,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000022338_e0000027338.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000026338_e0000031338,0cHIyeLFYOk,26.338,31.338,5.0,1.0,1.0,18.52,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000026338_e0000031338.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000030338_e0000035198,0cHIyeLFYOk,30.338,35.198,4.86,1.0,1.0,17.74,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000030338_e0000035198.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000035586_e0000040542,0cHIyeLFYOk,35.586,40.542,4.956,1.0,1.0,17.61,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000035586_e0000040542.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000040706_e0000043262,0cHIyeLFYOk,40.706,43.262,2.556,1.0,1.0,19.3,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000040706_e0000043262.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000060514_e0000064446,0cHIyeLFYOk,60.514,64.446,3.932,1.0,1.0,17.56,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000060514_e0000064446.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000065122_e0000076894,0cHIyeLFYOk,65.122,76.894,11.772,1.0,1.0,17.81,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000065122_e0000076894.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000079362_e0000081470,0cHIyeLFYOk,79.362,81.47,2.108,1.0,1.0,17.89,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000079362_e0000081470.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000081570_e0000083614,0cHIyeLFYOk,81.57,83.614,2.044,1.0,1.0,16.44,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000081570_e0000083614.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000093506_e0000099678,0cHIyeLFYOk,93.506,99.678,6.172,1.0,1.0,17.6,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000093506_e0000099678.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000112898_e0000116318,0cHIyeLFYOk,112.898,116.318,3.42,1.0,1.0,17.48,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000112898_e0000116318.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000116418_e0000119294,0cHIyeLFYOk,116.418,119.294,2.876,1.0,1.0,18.04,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000116418_e0000119294.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000119458_e0000123454,0cHIyeLFYOk,119.458,123.454,3.996,1.0,1.0,18.03,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000119458_e0000123454.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000123938_e0000130206,0cHIyeLFYOk,123.938,130.206,6.268,1.0,1.0,17.31,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000123938_e0000130206.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000130434_e0000140574,0cHIyeLFYOk,130.434,140.574,10.14,1.0,1.0,18.17,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000130434_e0000140574.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000141026_e0000143070,0cHIyeLFYOk,141.026,143.07,2.044,1.0,1.0,18.35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000141026_e0000143070.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000143362_e0000146942,0cHIyeLFYOk,143.362,146.942,3.58,1.0,1.0,18.12,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000143362_e0000146942.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000147106_e0000152478,0cHIyeLFYOk,147.106,152.478,5.372,1.0,1.0,16.14,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000147106_e0000152478.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000152610_e0000157694,0cHIyeLFYOk,152.61,157.694,5.084,1.0,1.0,15.28,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000152610_e0000157694.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000157890_e0000167870,0cHIyeLFYOk,157.89,167.87,9.98,1.0,1.0,19.58,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000157890_e0000167870.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000168386_e0000174334,0cHIyeLFYOk,168.386,174.334,5.948,1.0,1.0,18.47,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000168386_e0000174334.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000174498_e0000178558,0cHIyeLFYOk,174.498,178.558,4.06,1.0,1.0,15.49,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000174498_e0000178558.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000182722_e0000186622,0cHIyeLFYOk,182.722,186.622,3.9,1.0,1.0,17.41,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000182722_e0000186622.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000186882_e0000191294,0cHIyeLFYOk,186.882,191.294,4.412,1.0,1.0,18.43,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000186882_e0000191294.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
0cHIyeLFYOk_s0000191426_e0000194686,0cHIyeLFYOk,191.426,194.686,3.26,1.0,1.0,18.53,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000191426_e0000194686.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,
