clip_id,source_clip,audio_source_clip_id,start_frame,audio_start_frame,num_frames,generator,label,split
2fqXC4RQyOw_s0000020450_e0000026782__wav2lip_gpu_batch_004__fake,2fqXC4RQyOw_s0000020450_e0000026782,3lHEAWJhKe8_s0000024162_e0000029162,0,0,100,wav2lip,1,train
3lHEAWJhKe8_s0000024162_e0000029162__wav2lip_gpu_batch_004__fake,3lHEAWJhKe8_s0000024162_e0000029162,5CNS_gaH16c_s0000015202_e0000020958,0,0,100,wav2lip,1,train
5CNS_gaH16c_s0000015202_e0000020958__wav2lip_gpu_batch_004__fake,5CNS_gaH16c_s0000015202_e0000020958,5QPu-wDmeTA_s0000009090_e0000014090,0,0,100,wav2lip,1,train
5QPu-wDmeTA_s0000009090_e0000014090__wav2lip_gpu_batch_004__fake,5QPu-wDmeTA_s0000009090_e0000014090,7mvfCSW4SLw_s0000003682_e0000009470,0,0,100,wav2lip,1,train
7mvfCSW4SLw_s0000003682_e0000009470__wav2lip_gpu_batch_004__fake,7mvfCSW4SLw_s0000003682_e0000009470,JEgxmwvo7YY_s0000061538_e0000068158,0,0,100,wav2lip,1,train
JEgxmwvo7YY_s0000061538_e0000068158__wav2lip_gpu_batch_004__fake,JEgxmwvo7YY_s0000061538_e0000068158,KUVGZwkwd68_s0000018498_e0000023198,0,0,100,wav2lip,1,train
KUVGZwkwd68_s0000018498_e0000023198__wav2lip_gpu_batch_004__fake,KUVGZwkwd68_s0000018498_e0000023198,WgzSaOvFKrc_s0000070242_e0000075742,0,0,100,wav2lip,1,train
WgzSaOvFKrc_s0000070242_e0000075742__wav2lip_gpu_batch_004__fake,WgzSaOvFKrc_s0000070242_e0000075742,bcOT0JHr3Qc_s0000015298_e0000020990,0,0,100,wav2lip,1,train
bcOT0JHr3Qc_s0000015298_e0000020990__wav2lip_gpu_batch_004__fake,bcOT0JHr3Qc_s0000015298_e0000020990,gof2bUJhK3Y_s0000016514_e0000022590,0,0,100,wav2lip,1,train
gof2bUJhK3Y_s0000016514_e0000022590__wav2lip_gpu_batch_004__fake,gof2bUJhK3Y_s0000016514_e0000022590,j60KF89vXkg_s0000035746_e0000040030,0,0,100,wav2lip,1,train
