clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,decode_backend,cut_backend,run_id,url,title,channel,program_id,episode_id,canonical_source_id,decision
0cHIyeLFYOk_s0000026338_e0000031338,0cHIyeLFYOk,26.338,31.338,5.0,1.0,1.0,18.52,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000026338_e0000031338.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000065122_e0000076894,0cHIyeLFYOk,65.122,76.894,11.772,1.0,1.0,17.81,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000065122_e0000076894.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000093506_e0000099678,0cHIyeLFYOk,93.506,99.678,6.172,1.0,1.0,17.6,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000093506_e0000099678.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000112898_e0000116318,0cHIyeLFYOk,112.898,116.318,3.42,1.0,1.0,17.48,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000112898_e0000116318.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000130434_e0000140574,0cHIyeLFYOk,130.434,140.574,10.14,1.0,1.0,18.17,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000130434_e0000140574.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000141026_e0000143070,0cHIyeLFYOk,141.026,143.07,2.044,1.0,1.0,18.35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000141026_e0000143070.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000143362_e0000146942,0cHIyeLFYOk,143.362,146.942,3.58,1.0,1.0,18.12,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000143362_e0000146942.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000147106_e0000152478,0cHIyeLFYOk,147.106,152.478,5.372,1.0,1.0,16.14,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000147106_e0000152478.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000152610_e0000157694,0cHIyeLFYOk,152.61,157.694,5.084,1.0,1.0,15.28,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000152610_e0000157694.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
0cHIyeLFYOk_s0000157890_e0000167870,0cHIyeLFYOk,157.89,167.87,9.98,1.0,1.0,19.58,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\real\dataset_v1\cut_cut_001\podcast\0_18\media\0cHIyeLFYOk_s0000157890_e0000167870.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,keep
