clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,decode_backend,cut_backend,run_id,url,title,channel,program_id,episode_id,canonical_source_id,assignment_role,assigned_reviewer
OCjAl_U1JMk_s0001200706_e0001206270,OCjAl_U1JMk,1200.706,1206.27,5.564,1.0,1.0,11.55,OCjAl_U1JMk_s0001200706_e0001206270.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=OCjAl_U1JMk,,,,,,primary,nguyenlamanh
j60KF89vXkg_s0000119298_e0000122174,j60KF89vXkg,119.298,122.174,2.876,1.0,1.0,24.14,j60KF89vXkg_s0000119298_e0000122174.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=j60KF89vXkg,,,,,,primary,nguyenlamanh
5CNS_gaH16c_s0000292706_e0000297086,5CNS_gaH16c,292.706,297.086,4.38,1.0,1.0,14.16,5CNS_gaH16c_s0000292706_e0000297086.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=5CNS_gaH16c,,,,,,primary,nguyenlamanh
gTTtVb-Q31w_s0000008770_e0000012062,gTTtVb-Q31w,8.77,12.062,3.292,1.0,1.0,7.88,gTTtVb-Q31w_s0000008770_e0000012062.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=gTTtVb-Q31w,,,,,,primary,nguyenlamanh
j60KF89vXkg_s0000466850_e0000470942,j60KF89vXkg,466.85,470.942,4.092,1.0,1.0,24.23,j60KF89vXkg_s0000466850_e0000470942.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=j60KF89vXkg,,,,,,primary,nguyenlamanh
71HzPcvxNJM_s0000465474_e0000471230,71HzPcvxNJM,465.474,471.23,5.756,1.0,1.0,14.39,71HzPcvxNJM_s0000465474_e0000471230.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=71HzPcvxNJM,,,,,,primary,nguyenlamanh
0cHIyeLFYOk_s0000898658_e0000901982,0cHIyeLFYOk,898.658,901.982,3.324,1.0,1.0,19.43,0cHIyeLFYOk_s0000898658_e0000901982.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,primary,nguyenlamanh
71HzPcvxNJM_s0000332930_e0000335838,71HzPcvxNJM,332.93,335.838,2.908,1.0,1.0,15.63,71HzPcvxNJM_s0000332930_e0000335838.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=71HzPcvxNJM,,,,,,primary,nguyenlamanh
OCjAl_U1JMk_s0001076098_e0001080030,OCjAl_U1JMk,1076.098,1080.03,3.932,1.0,1.0,11.71,OCjAl_U1JMk_s0001076098_e0001080030.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=OCjAl_U1JMk,,,,,,primary,nguyenlamanh
j60KF89vXkg_s0000734658_e0000739006,j60KF89vXkg,734.658,739.006,4.348,1.0,1.0,24.48,j60KF89vXkg_s0000734658_e0000739006.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=j60KF89vXkg,,,,,,primary,nguyenlamanh
WgzSaOvFKrc_s0000760354_e0000765354,WgzSaOvFKrc,760.354,765.354,5.0,1.0,1.0,6.94,WgzSaOvFKrc_s0000760354_e0000765354.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=WgzSaOvFKrc,,,,,,primary,nguyenlamanh
Pj0KGAllzfs_s0000493762_e0000496830,Pj0KGAllzfs,493.762,496.83,3.068,1.0,1.0,16.3,Pj0KGAllzfs_s0000493762_e0000496830.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=Pj0KGAllzfs,,,,,,primary,nguyenlamanh
71HzPcvxNJM_s0000698370_e0000703006,71HzPcvxNJM,698.37,703.006,4.636,1.0,1.0,13.42,71HzPcvxNJM_s0000698370_e0000703006.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=71HzPcvxNJM,,,,,,primary,nguyenlamanh
WgzSaOvFKrc_s0000007842_e0000012842,WgzSaOvFKrc,7.842,12.842,5.0,1.0,1.0,7.07,WgzSaOvFKrc_s0000007842_e0000012842.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=WgzSaOvFKrc,,,,,,primary,nguyenlamanh
