clip_id,file_path,decision,reason,bad_intervals_json,reviewer_id,rubric_version,ts
OCjAl_U1JMk_s0001200706_e0001206270,OCjAl_U1JMk_s0001200706_e0001206270.mp4,keep,,[],nguyenlamanh,v3,2026-09-17 11:54:17
j60KF89vXkg_s0000119298_e0000122174,j60KF89vXkg_s0000119298_e0000122174.mp4,keep,,[],nguyenlamanh,v3,2026-09-16 11:12:08
5CNS_gaH16c_s0000292706_e0000297086,5CNS_gaH16c_s0000292706_e0000297086.mp4,reject,mouth,"[{""start_ms"":1429,""end_ms"":2305,""reason"":""mouth""}]",nguyenlamanh,v3,2026-09-17 11:40:10
71HzPcvxNJM_s0000465474_e0000471230,71HzPcvxNJM_s0000465474_e0000471230.mp4,reject,mouth,"[{""start_ms"":4541,""end_ms"":5062,""reason"":""mouth""}]",nguyenlamanh,v3,2026-09-17 10:26:41
0cHIyeLFYOk_s0000898658_e0000901982,0cHIyeLFYOk_s0000898658_e0000901982.mp4,keep,,[],nguyenlamanh,v3,2026-09-16 16:34:58
j60KF89vXkg_s0000734658_e0000739006,j60KF89vXkg_s0000734658_e0000739006.mp4,keep,,[],nguyenlamanh,v3,2026-09-17 11:14:23
WgzSaOvFKrc_s0000760354_e0000765354,WgzSaOvFKrc_s0000760354_e0000765354.mp4,keep,,[],nguyenlamanh,v3,2026-09-16 16:51:35
Pj0KGAllzfs_s0000493762_e0000496830,Pj0KGAllzfs_s0000493762_e0000496830.mp4,reject,small_face,"[{""start_ms"":0,""end_ms"":3080,""reason"":""small_face""}]",nguyenlamanh,v3,2026-09-17 10:58:01
71HzPcvxNJM_s0000698370_e0000703006,71HzPcvxNJM_s0000698370_e0000703006.mp4,keep,,[],nguyenlamanh,v3,2026-09-16 11:43:25
5CNS_gaH16c_s0000257986_e0000263038,5CNS_gaH16c_s0000257986_e0000263038.mp4,keep,,[],nguyenlamanh,v3,2026-09-17 11:56:24
bcOT0JHr3Qc_s0000123138_e0000125886,bcOT0JHr3Qc_s0000123138_e0000125886.mp4,reject,mouth,"[{""start_ms"":0,""end_ms"":1415,""reason"":""mouth""}]",nguyenlamanh,v3,2026-09-16 11:01:01
3lHEAWJhKe8_s0000314050_e0000317086,3lHEAWJhKe8_s0000314050_e0000317086.mp4,keep,,[],nguyenlamanh,v3,2026-09-16 15:48:11
KUVGZwkwd68_s0000480226_e0000482942,KUVGZwkwd68_s0000480226_e0000482942.mp4,keep,,[],nguyenlamanh,v3,2026-09-16 10:28:21
3lHEAWJhKe8_s0000129986_e0000134986,3lHEAWJhKe8_s0000129986_e0000134986.mp4,reject,cut,"[{""start_ms"":4202,""end_ms"":4678,""reason"":""cut""}]",nguyenlamanh,v3,2026-09-17 10:00:13
Pj0KGAllzfs_s0001042754_e0001045470,Pj0KGAllzfs_s0001042754_e0001045470.mp4,reject,small_face,"[{""start_ms"":0,""end_ms"":2720,""reason"":""small_face""}]",nguyenlamanh,v3,2026-09-17 11:54:33
gTTtVb-Q31w_s0000344354_e0000347006,gTTtVb-Q31w_s0000344354_e0000347006.mp4,keep,,[],nguyenlamanh,v3,2026-09-17 11:46:08
OCjAl_U1JMk_s0000394050_e0000396222,OCjAl_U1JMk_s0000394050_e0000396222.mp4,keep,,[],nguyenlamanh,v3,2026-09-16 23:19:05
0cHIyeLFYOk_s0000208386_e0000218366,0cHIyeLFYOk_s0000208386_e0000218366.mp4,keep,,[],nguyenlamanh,v3,2026-09-17 11:52:57
