clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,decode_backend,cut_backend,run_id,url,title,channel,program_id,episode_id,canonical_source_id,assignment_role,assigned_reviewer
bcOT0JHr3Qc_s0000161282_e0000163646,bcOT0JHr3Qc,161.282,163.646,2.364,1.0,1.0,11.21,bcOT0JHr3Qc_s0000161282_e0000163646.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=bcOT0JHr3Qc,,,,,,primary,nguyenminhnhat
71HzPcvxNJM_s0000596322_e0000600158,71HzPcvxNJM,596.322,600.158,3.836,1.0,1.0,12.78,71HzPcvxNJM_s0000596322_e0000600158.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=71HzPcvxNJM,,,,,,primary,nguyenminhnhat
JEgxmwvo7YY_s0000041346_e0000044862,JEgxmwvo7YY,41.346,44.862,3.516,1.0,1.0,18.26,JEgxmwvo7YY_s0000041346_e0000044862.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=JEgxmwvo7YY,,,,,,primary,nguyenminhnhat
gTTtVb-Q31w_s0000173826_e0000180126,gTTtVb-Q31w,173.826,180.126,6.3,1.0,1.0,7.11,gTTtVb-Q31w_s0000173826_e0000180126.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=gTTtVb-Q31w,,,,,,primary,nguyenminhnhat
gTTtVb-Q31w_s0000575490_e0000578494,gTTtVb-Q31w,575.49,578.494,3.004,1.0,1.0,11.65,gTTtVb-Q31w_s0000575490_e0000578494.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=gTTtVb-Q31w,,,,,,primary,nguyenminhnhat
j60KF89vXkg_s0000138818_e0000141598,j60KF89vXkg,138.818,141.598,2.78,1.0,1.0,22.62,j60KF89vXkg_s0000138818_e0000141598.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=j60KF89vXkg,,,,,,primary,nguyenminhnhat
Pj0KGAllzfs_s0000326882_e0000329534,Pj0KGAllzfs,326.882,329.534,2.652,1.0,1.0,19.05,Pj0KGAllzfs_s0000326882_e0000329534.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=Pj0KGAllzfs,,,,,,primary,nguyenminhnhat
bcOT0JHr3Qc_s0000563842_e0000565854,bcOT0JHr3Qc,563.842,565.854,2.012,1.0,1.0,7.63,bcOT0JHr3Qc_s0000563842_e0000565854.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=bcOT0JHr3Qc,,,,,,primary,nguyenminhnhat
71HzPcvxNJM_s0000035746_e0000038046,71HzPcvxNJM,35.746,38.046,2.3,1.0,1.0,16.56,71HzPcvxNJM_s0000035746_e0000038046.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=71HzPcvxNJM,,,,,,primary,nguyenminhnhat
0cHIyeLFYOk_s0000492578_e0000498942,0cHIyeLFYOk,492.578,498.942,6.364,1.0,1.0,18.04,0cHIyeLFYOk_s0000492578_e0000498942.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=0cHIyeLFYOk,,,,,,primary,nguyenminhnhat
