clip_id,file_path,decision,reason,bad_intervals_json,reviewer_id,rubric_version,ts
bcOT0JHr3Qc_s0000161282_e0000163646,bcOT0JHr3Qc_s0000161282_e0000163646.mp4,reject,mouth,[],nguyenminhnhat,v4,2026-09-17 14:52:41
71HzPcvxNJM_s0000596322_e0000600158,71HzPcvxNJM_s0000596322_e0000600158.mp4,reject,mouth,[],nguyenminhnhat,v4,2026-09-17 11:34:56
JEgxmwvo7YY_s0000041346_e0000044862,JEgxmwvo7YY_s0000041346_e0000044862.mp4,reject,mouth,[],nguyenminhnhat,v4,2026-09-17 12:09:59
gTTtVb-Q31w_s0000173826_e0000180126,gTTtVb-Q31w_s0000173826_e0000180126.mp4,reject,mouth,[],nguyenminhnhat,v4,2026-09-17 14:37:01
gTTtVb-Q31w_s0000575490_e0000578494,gTTtVb-Q31w_s0000575490_e0000578494.mp4,reject,mouth,"[{""start_ms"":0,""end_ms"":3018,""reason"":""mouth""}]",nguyenminhnhat,v3,2026-09-14 13:29:26
j60KF89vXkg_s0000138818_e0000141598,j60KF89vXkg_s0000138818_e0000141598.mp4,keep,,[],nguyenminhnhat,v3,2026-09-14 13:29:46
Pj0KGAllzfs_s0000326882_e0000329534,Pj0KGAllzfs_s0000326882_e0000329534.mp4,reject,mouth,[],nguyenminhnhat,v4,2026-09-17 12:11:32
bcOT0JHr3Qc_s0000563842_e0000565854,bcOT0JHr3Qc_s0000563842_e0000565854.mp4,reject,"mouth, cut",[],nguyenminhnhat,v4,2026-09-17 15:43:56
71HzPcvxNJM_s0000035746_e0000038046,71HzPcvxNJM_s0000035746_e0000038046.mp4,reject,"mouth, cut",[],nguyenminhnhat,v4,2026-09-17 15:22:23
0cHIyeLFYOk_s0000492578_e0000498942,0cHIyeLFYOk_s0000492578_e0000498942.mp4,reject,mouth,"[{""start_ms"":0,""end_ms"":742,""reason"":""mouth""}]",nguyenminhnhat,v3,2026-09-14 15:22:03
OCjAl_U1JMk_s0001142594_e0001145534,OCjAl_U1JMk_s0001142594_e0001145534.mp4,reject,mouth,[],nguyenminhnhat,v4,2026-09-17 15:33:17
5CNS_gaH16c_s0000298178_e0000300350,5CNS_gaH16c_s0000298178_e0000300350.mp4,reject,mouth,[],nguyenminhnhat,v4,2026-09-17 14:39:34
Pj0KGAllzfs_s0000051874_e0000056874,Pj0KGAllzfs_s0000051874_e0000056874.mp4,reject,mouth,[],nguyenminhnhat,v4,2026-09-17 12:10:14
2fqXC4RQyOw_s0000854658_e0000859166,2fqXC4RQyOw_s0000854658_e0000859166.mp4,reject,mouth,[],nguyenminhnhat,v4,2026-09-17 12:04:04
