clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta,decode_backend,cut_backend,run_id,url,title,channel,program_id,episode_id,canonical_source_id,assignment_role,assigned_reviewer
OCjAl_U1JMk_s0000464962_e0000469214,OCjAl_U1JMk,464.962,469.214,4.252,1.0,1.0,12.51,OCjAl_U1JMk_s0000464962_e0000469214.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=OCjAl_U1JMk,,,,,,primary,nguyenvanlinh
KUVGZwkwd68_s0000181474_e0000186474,KUVGZwkwd68,181.474,186.474,5.0,1.0,1.0,-0.83,KUVGZwkwd68_s0000181474_e0000186474.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=KUVGZwkwd68,,,,,,primary,nguyenvanlinh
5CNS_gaH16c_s0000383938_e0000388938,5CNS_gaH16c,383.938,388.938,5.0,1.0,1.0,15.5,5CNS_gaH16c_s0000383938_e0000388938.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=5CNS_gaH16c,,,,,,primary,nguyenvanlinh
JEgxmwvo7YY_s0000771522_e0000774718,JEgxmwvo7YY,771.522,774.718,3.196,1.0,1.0,16.8,JEgxmwvo7YY_s0000771522_e0000774718.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=JEgxmwvo7YY,,,,,,primary,nguyenvanlinh
WgzSaOvFKrc_s0000569666_e0000572286,WgzSaOvFKrc,569.666,572.286,2.62,1.0,1.0,6.25,WgzSaOvFKrc_s0000569666_e0000572286.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=WgzSaOvFKrc,,,,,,primary,nguyenvanlinh
7mvfCSW4SLw_s0000532834_e0000535102,7mvfCSW4SLw,532.834,535.102,2.268,1.0,1.0,16.09,7mvfCSW4SLw_s0000532834_e0000535102.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=7mvfCSW4SLw,,,,,,primary,nguyenvanlinh
gof2bUJhK3Y_s0000288418_e0000291262,gof2bUJhK3Y,288.418,291.262,2.844,1.0,1.0,6.51,gof2bUJhK3Y_s0000288418_e0000291262.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=gof2bUJhK3Y,,,,,,primary,nguyenvanlinh
3lHEAWJhKe8_s0000426754_e0000428862,3lHEAWJhKe8,426.754,428.862,2.108,1.0,1.0,18.45,3lHEAWJhKe8_s0000426754_e0000428862.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=3lHEAWJhKe8,,,,,,primary,nguyenvanlinh
xo3VtrivRjk_s0000210626_e0000214270,xo3VtrivRjk,210.626,214.27,3.644,1.0,1.0,14.34,xo3VtrivRjk_s0000210626_e0000214270.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=xo3VtrivRjk,,,,,,primary,nguyenvanlinh
KUVGZwkwd68_s0000023458_e0000028458,KUVGZwkwd68,23.458,28.458,5.0,1.0,1.0,1.97,KUVGZwkwd68_s0000023458_e0000028458.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=KUVGZwkwd68,,,,,,primary,nguyenvanlinh
Pj0KGAllzfs_s0000790370_e0000794078,Pj0KGAllzfs,790.37,794.078,3.708,1.0,1.0,14.42,Pj0KGAllzfs_s0000790370_e0000794078.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=Pj0KGAllzfs,,,,,,primary,nguyenvanlinh
qy7VoECGCm8_s0000098114_e0000103114,qy7VoECGCm8,98.114,103.114,5.0,1.0,1.0,20.54,qy7VoECGCm8_s0000098114_e0000103114.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=qy7VoECGCm8,,,,,,primary,nguyenvanlinh
5QPu-wDmeTA_s0000708834_e0000713834,5QPu-wDmeTA,708.834,713.834,5.0,1.0,1.0,14.09,5QPu-wDmeTA_s0000708834_e0000713834.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=5QPu-wDmeTA,,,,,,primary,nguyenvanlinh
7mvfCSW4SLw_s0000476162_e0000479614,7mvfCSW4SLw,476.162,479.614,3.452,1.0,1.0,13.83,7mvfCSW4SLw_s0000476162_e0000479614.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=7mvfCSW4SLw,,,,,,primary,nguyenvanlinh
OCjAl_U1JMk_s0001282914_e0001285758,OCjAl_U1JMk,1282.914,1285.758,2.844,1.0,1.0,11.55,OCjAl_U1JMk_s0001282914_e0001285758.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=OCjAl_U1JMk,,,,,,primary,nguyenvanlinh
qy7VoECGCm8_s0000156098_e0000161098,qy7VoECGCm8,156.098,161.098,5.0,1.0,1.0,21.04,qy7VoECGCm8_s0000156098_e0000161098.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=qy7VoECGCm8,,,,,,primary,nguyenvanlinh
qy7VoECGCm8_s0000445794_e0000450014,qy7VoECGCm8,445.794,450.014,4.22,1.0,1.0,20.43,qy7VoECGCm8_s0000445794_e0000450014.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=qy7VoECGCm8,,,,,,primary,nguyenvanlinh
JEgxmwvo7YY_s0000391586_e0000395230,JEgxmwvo7YY,391.586,395.23,3.644,1.0,1.0,18.43,JEgxmwvo7YY_s0000391586_e0000395230.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=JEgxmwvo7YY,,,,,,primary,nguyenvanlinh
Pj0KGAllzfs_s0001169954_e0001172318,Pj0KGAllzfs,1169.954,1172.318,2.364,1.0,1.0,13.96,Pj0KGAllzfs_s0001169954_e0001172318.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=Pj0KGAllzfs,,,,,,primary,nguyenvanlinh
3lHEAWJhKe8_s0000024162_e0000029162,3lHEAWJhKe8,24.162,29.162,5.0,1.0,1.0,20.51,3lHEAWJhKe8_s0000024162_e0000029162.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=3lHEAWJhKe8,,,,,,primary,nguyenvanlinh
JEgxmwvo7YY_s0000285410_e0000291678,JEgxmwvo7YY,285.41,291.678,6.268,1.0,1.0,16.59,JEgxmwvo7YY_s0000285410_e0000291678.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=JEgxmwvo7YY,,,,,,primary,nguyenvanlinh
Pj0KGAllzfs_s0001238498_e0001242526,Pj0KGAllzfs,1238.498,1242.526,4.028,1.0,1.0,13.1,Pj0KGAllzfs_s0001238498_e0001242526.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=Pj0KGAllzfs,,,,,,primary,nguyenvanlinh
j60KF89vXkg_s0000202370_e0000204382,j60KF89vXkg,202.37,204.382,2.012,1.0,1.0,23.8,j60KF89vXkg_s0000202370_e0000204382.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=j60KF89vXkg,,,,,,primary,nguyenvanlinh
2fqXC4RQyOw_s0000375458_e0000385022,2fqXC4RQyOw,375.458,385.022,9.564,1.0,1.0,12.42,2fqXC4RQyOw_s0000375458_e0000385022.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=2fqXC4RQyOw,,,,,,primary,nguyenvanlinh
OCjAl_U1JMk_s0000507618_e0000514110,OCjAl_U1JMk,507.618,514.11,6.492,1.0,1.0,10.25,OCjAl_U1JMk_s0000507618_e0000514110.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=OCjAl_U1JMk,,,,,,primary,nguyenvanlinh
Pj0KGAllzfs_s0000457570_e0000462078,Pj0KGAllzfs,457.57,462.078,4.508,1.0,1.0,10.65,Pj0KGAllzfs_s0000457570_e0000462078.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=Pj0KGAllzfs,,,,,,primary,nguyenvanlinh
gTTtVb-Q31w_s0000066594_e0000069566,gTTtVb-Q31w,66.594,69.566,2.972,1.0,1.0,4.24,gTTtVb-Q31w_s0000066594_e0000069566.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=gTTtVb-Q31w,,,,,,primary,nguyenvanlinh
5QPu-wDmeTA_s0000695714_e0000698494,5QPu-wDmeTA,695.714,698.494,2.78,1.0,1.0,14.58,5QPu-wDmeTA_s0000695714_e0000698494.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=5QPu-wDmeTA,,,,,,primary,nguyenvanlinh
JEgxmwvo7YY_s0000655682_e0000659326,JEgxmwvo7YY,655.682,659.326,3.644,1.0,1.0,20.31,JEgxmwvo7YY_s0000655682_e0000659326.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=JEgxmwvo7YY,,,,,,primary,nguyenvanlinh
bcOT0JHr3Qc_s0000518370_e0000521630,bcOT0JHr3Qc,518.37,521.63,3.26,1.0,1.0,10.32,bcOT0JHr3Qc_s0000518370_e0000521630.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=bcOT0JHr3Qc,,,,,,primary,nguyenvanlinh
3lHEAWJhKe8_s0000342882_e0000351166,3lHEAWJhKe8,342.882,351.166,8.284,1.0,1.0,18.35,3lHEAWJhKe8_s0000342882_e0000351166.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=3lHEAWJhKe8,,,,,,primary,nguyenvanlinh
Pj0KGAllzfs_s0000290114_e0000292190,Pj0KGAllzfs,290.114,292.19,2.076,1.0,1.0,14.67,Pj0KGAllzfs_s0000290114_e0000292190.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=Pj0KGAllzfs,,,,,,primary,nguyenvanlinh
71HzPcvxNJM_s0000060098_e0000062462,71HzPcvxNJM,60.098,62.462,2.364,1.0,1.0,14.32,71HzPcvxNJM_s0000060098_e0000062462.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=71HzPcvxNJM,,,,,,primary,nguyenvanlinh
gof2bUJhK3Y_s0000846594_e0000849022,gof2bUJhK3Y,846.594,849.022,2.428,1.0,1.0,8.79,gof2bUJhK3Y_s0000846594_e0000849022.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=gof2bUJhK3Y,,,,,,primary,nguyenvanlinh
JEgxmwvo7YY_s0000831746_e0000835166,JEgxmwvo7YY,831.746,835.166,3.42,1.0,1.0,15.73,JEgxmwvo7YY_s0000831746_e0000835166.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=JEgxmwvo7YY,,,,,,primary,nguyenvanlinh
OCjAl_U1JMk_s0001225570_e0001227870,OCjAl_U1JMk,1225.57,1227.87,2.3,1.0,1.0,10.51,OCjAl_U1JMk_s0001225570_e0001227870.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=OCjAl_U1JMk,,,,,,primary,nguyenvanlinh
j60KF89vXkg_s0000275746_e0000282558,j60KF89vXkg,275.746,282.558,6.812,1.0,1.0,23.84,j60KF89vXkg_s0000275746_e0000282558.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=j60KF89vXkg,,,,,,primary,nguyenvanlinh
Pj0KGAllzfs_s0000815586_e0000818334,Pj0KGAllzfs,815.586,818.334,2.748,1.0,1.0,13.65,Pj0KGAllzfs_s0000815586_e0000818334.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=Pj0KGAllzfs,,,,,,primary,nguyenvanlinh
xo3VtrivRjk_s0000253570_e0000262046,xo3VtrivRjk,253.57,262.046,8.476,1.0,1.0,11.45,xo3VtrivRjk_s0000253570_e0000262046.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=xo3VtrivRjk,,,,,,primary,nguyenvanlinh
2fqXC4RQyOw_s0000156418_e0000161418,2fqXC4RQyOw,156.418,161.418,5.0,1.0,1.0,12.68,2fqXC4RQyOw_s0000156418_e0000161418.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=2fqXC4RQyOw,,,,,,primary,nguyenvanlinh
2fqXC4RQyOw_s0000020450_e0000026782,2fqXC4RQyOw,20.45,26.782,6.332,1.0,1.0,13.45,2fqXC4RQyOw_s0000020450_e0000026782.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=2fqXC4RQyOw,,,,,,primary,nguyenvanlinh
qy7VoECGCm8_s0000060802_e0000065310,qy7VoECGCm8,60.802,65.31,4.508,1.0,1.0,19.28,qy7VoECGCm8_s0000060802_e0000065310.mp4,podcast,1,cpu,libx264,cut_001,https://www.youtube.com/watch?v=qy7VoECGCm8,,,,,,primary,nguyenvanlinh
