clip_id,file_path,decision,reason,bad_intervals_json,reviewer_id,rubric_version,ts
OCjAl_U1JMk_s0000464962_e0000469214,OCjAl_U1JMk_s0000464962_e0000469214.mp4,reject,mouth,"[{""start_ms"":691,""end_ms"":2259,""reason"":""mouth""}]",nguyenvanlinh,v3,2026-09-14 15:28:00
KUVGZwkwd68_s0000181474_e0000186474,KUVGZwkwd68_s0000181474_e0000186474.mp4,reject,cut,"[{""start_ms"":4161,""end_ms"":5000,""reason"":""cut""}]",nguyenvanlinh,v3,2026-09-14 13:00:05
5CNS_gaH16c_s0000383938_e0000388938,5CNS_gaH16c_s0000383938_e0000388938.mp4,reject,mouth,"[{""start_ms"":163,""end_ms"":3189,""reason"":""mouth""}]",nguyenvanlinh,v3,2026-09-14 13:46:16
JEgxmwvo7YY_s0000771522_e0000774718,JEgxmwvo7YY_s0000771522_e0000774718.mp4,keep,,[],nguyenvanlinh,v3,2026-09-14 14:32:18
WgzSaOvFKrc_s0000569666_e0000572286,WgzSaOvFKrc_s0000569666_e0000572286.mp4,reject,mouth,"[{""start_ms"":0,""end_ms"":854,""reason"":""mouth""}]",nguyenvanlinh,v3,2026-09-14 13:13:36
7mvfCSW4SLw_s0000532834_e0000535102,7mvfCSW4SLw_s0000532834_e0000535102.mp4,keep,,[],nguyenvanlinh,v3,2026-09-14 15:12:22
gof2bUJhK3Y_s0000288418_e0000291262,gof2bUJhK3Y_s0000288418_e0000291262.mp4,reject,mouth,"[{""start_ms"":717,""end_ms"":1750,""reason"":""mouth""}]",nguyenvanlinh,v3,2026-09-14 14:34:49
3lHEAWJhKe8_s0000426754_e0000428862,3lHEAWJhKe8_s0000426754_e0000428862.mp4,keep,,[],nguyenvanlinh,v3,2026-09-14 13:05:57
xo3VtrivRjk_s0000210626_e0000214270,xo3VtrivRjk_s0000210626_e0000214270.mp4,reject,mouth,"[{""start_ms"":57,""end_ms"":2555,""reason"":""mouth""}]",nguyenvanlinh,v3,2026-09-14 13:20:36
KUVGZwkwd68_s0000023458_e0000028458,KUVGZwkwd68_s0000023458_e0000028458.mp4,keep,,[],nguyenvanlinh,v3,2026-09-14 13:19:38
