clip_id,decision,reason,bad_intervals_json,rubric_version
0cHIyeLFYOk_s0000002210_e0000009182,reject,cut,[],v4
0cHIyeLFYOk_s0000010274_e0000021950,reject,mouth,[],v4
0cHIyeLFYOk_s0000022338_e0000027338,reject,mouth,"[{""start_ms"":449,""end_ms"":617,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000026338_e0000031338,keep,,[],v4
0cHIyeLFYOk_s0000030338_e0000035198,reject,mouth,"[{""start_ms"":4254,""end_ms"":4871,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000035586_e0000040542,reject,mouth,[],v4
0cHIyeLFYOk_s0000040706_e0000043262,reject,mouth,"[{""start_ms"":1205,""end_ms"":1542,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000060514_e0000064446,reject,mouth,[],v4
0cHIyeLFYOk_s0000065122_e0000076894,keep,,[],v4
0cHIyeLFYOk_s0000079362_e0000081470,reject,"voiceover, cut",[],v4
0cHIyeLFYOk_s0000081570_e0000083614,reject,voiceover,[],v4
0cHIyeLFYOk_s0000093506_e0000099678,keep,,[],v4
0cHIyeLFYOk_s0000112898_e0000116318,keep,,[],v4
0cHIyeLFYOk_s0000116418_e0000119294,reject,mouth,[],v4
0cHIyeLFYOk_s0000119458_e0000123454,reject,mouth,[],v4
0cHIyeLFYOk_s0000123938_e0000130206,reject,dubbed,[],v4
0cHIyeLFYOk_s0000130434_e0000140574,keep,,[],v4
0cHIyeLFYOk_s0000141026_e0000143070,keep,,[],v4
0cHIyeLFYOk_s0000143362_e0000146942,keep,,[],v4
0cHIyeLFYOk_s0000147106_e0000152478,keep,,[],v4
0cHIyeLFYOk_s0000152610_e0000157694,keep,,[],v4
0cHIyeLFYOk_s0000157890_e0000167870,keep,,[],v4
0cHIyeLFYOk_s0000168386_e0000174334,keep,,[],v4
0cHIyeLFYOk_s0000174498_e0000178558,keep,,[],v4
0cHIyeLFYOk_s0000182722_e0000186622,keep,,[],v4
0cHIyeLFYOk_s0000186882_e0000191294,reject,cut,[],v4
0cHIyeLFYOk_s0000191426_e0000194686,keep,,[],v4
0cHIyeLFYOk_s0000194850_e0000205470,keep,,[],v4
0cHIyeLFYOk_s0000205698_e0000207998,keep,,[],v4
0cHIyeLFYOk_s0000208386_e0000218366,keep,,[],v4
0cHIyeLFYOk_s0000218754_e0000225150,keep,,[],v4
0cHIyeLFYOk_s0000225346_e0000229406,keep,,[],v4
0cHIyeLFYOk_s0000229506_e0000235678,keep,,[],v4
0cHIyeLFYOk_s0000235810_e0000239870,reject,mouth,[],v4
0cHIyeLFYOk_s0000243650_e0000245950,reject,mouth,[],v4
0cHIyeLFYOk_s0000246402_e0000252734,keep,,[],v4
0cHIyeLFYOk_s0000252898_e0000255518,keep,,[],v4
0cHIyeLFYOk_s0000255618_e0000260618,keep,,[],v4
0cHIyeLFYOk_s0000259618_e0000264618,reject,mouth,[],v4
0cHIyeLFYOk_s0000274530_e0000278494,keep,,[],v4
0cHIyeLFYOk_s0000281218_e0000286218,keep,,[],v4
0cHIyeLFYOk_s0000294658_e0000302526,keep,,[],v4
0cHIyeLFYOk_s0000303842_e0000308350,keep,,[],v4
0cHIyeLFYOk_s0000308578_e0000316510,keep,,[],v4
0cHIyeLFYOk_s0000316674_e0000322302,keep,,[],v4
0cHIyeLFYOk_s0000322434_e0000331774,keep,,[],v4
0cHIyeLFYOk_s0000331906_e0000340030,keep,,[],v4
0cHIyeLFYOk_s0000348962_e0000353962,reject,mouth,[],v4
0cHIyeLFYOk_s0000352962_e0000357962,reject,mouth,[],v4
0cHIyeLFYOk_s0000356962_e0000361962,reject,mouth,"[{""start_ms"":266,""end_ms"":1290,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000363234_e0000370654,reject,cut,"[{""start_ms"":2076,""end_ms"":6368,""reason"":""cut""}]",v4
0cHIyeLFYOk_s0000370754_e0000374014,keep,,[],v4
0cHIyeLFYOk_s0000374210_e0000377214,keep,,[],v4
0cHIyeLFYOk_s0000379042_e0000382782,reject,mouth,[],v4
0cHIyeLFYOk_s0000383074_e0000387134,keep,,[],v4
0cHIyeLFYOk_s0000387234_e0000389438,keep,,[],v4
0cHIyeLFYOk_s0000389602_e0000391934,keep,,[],v4
0cHIyeLFYOk_s0000392258_e0000394750,keep,,[],v4
0cHIyeLFYOk_s0000396738_e0000401598,reject,mouth,[],v4
0cHIyeLFYOk_s0000402562_e0000405438,keep,,[],v4
0cHIyeLFYOk_s0000406594_e0000409022,reject,"mouth, broken",[],v4
0cHIyeLFYOk_s0000409890_e0000414750,keep,,[],v4
0cHIyeLFYOk_s0000415362_e0000417630,keep,,[],v4
0cHIyeLFYOk_s0000418338_e0000424094,keep,,[],v4
0cHIyeLFYOk_s0000424322_e0000426910,reject,mouth,[],v4
0cHIyeLFYOk_s0000427074_e0000429758,keep,,[],v4
0cHIyeLFYOk_s0000429922_e0000434302,keep,,[],v4
0cHIyeLFYOk_s0000439010_e0000447358,keep,,[],v4
0cHIyeLFYOk_s0000447746_e0000452030,reject,mouth,[],v4
0cHIyeLFYOk_s0000452482_e0000455806,reject,mouth,[],v4
0cHIyeLFYOk_s0000456066_e0000458110,keep,,[],v4
0cHIyeLFYOk_s0000458274_e0000462238,reject,mouth,[],v4
0cHIyeLFYOk_s0000462338_e0000467518,keep,,[],v4
0cHIyeLFYOk_s0000467778_e0000473886,keep,,[],v4
0cHIyeLFYOk_s0000476578_e0000481438,keep,,[],v4
0cHIyeLFYOk_s0000481602_e0000491710,keep,,[],v4
0cHIyeLFYOk_s0000492578_e0000498942,reject,mouth,"[{""start_ms"":0,""end_ms"":742,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000501602_e0000505310,reject,cut,"[{""start_ms"":2422,""end_ms"":3241,""reason"":""cut""}]",v4
0cHIyeLFYOk_s0000511074_e0000516702,keep,,[],v4
0cHIyeLFYOk_s0000516898_e0000521150,keep,,[],v4
0cHIyeLFYOk_s0000521698_e0000527678,reject,mouth,[],v4
0cHIyeLFYOk_s0000527970_e0000530206,keep,,[],v4
0cHIyeLFYOk_s0000535490_e0000542334,keep,,[],v4
0cHIyeLFYOk_s0000555970_e0000559710,reject,mouth,[],v4
0cHIyeLFYOk_s0000559874_e0000561918,reject,mouth,"[{""start_ms"":109,""end_ms"":915,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000562146_e0000564702,reject,broken,[],v4
0cHIyeLFYOk_s0000565154_e0000571966,reject,mouth,"[{""start_ms"":4268,""end_ms"":4641,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000574306_e0000579306,reject,broken,[],v4
0cHIyeLFYOk_s0000582306_e0000587306,reject,mouth,"[{""start_ms"":0,""end_ms"":961,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000586306_e0000588958,reject,mouth,[],v4
0cHIyeLFYOk_s0000589218_e0000595998,keep,,[],v4
0cHIyeLFYOk_s0000614114_e0000618142,keep,,[],v4
0cHIyeLFYOk_s0000618306_e0000622654,keep,,[],v4
0cHIyeLFYOk_s0000622850_e0000627870,keep,,[],v4
0cHIyeLFYOk_s0000628066_e0000632830,keep,,[],v4
0cHIyeLFYOk_s0000635074_e0000637694,reject,mouth,[],v4
0cHIyeLFYOk_s0000637954_e0000640286,keep,,[],v4
0cHIyeLFYOk_s0000640642_e0000644062,keep,,[],v4
0cHIyeLFYOk_s0000644162_e0000649118,keep,,[],v4
0cHIyeLFYOk_s0000649506_e0000655454,keep,,[],v4
0cHIyeLFYOk_s0000655650_e0000658206,keep,,[],v4
0cHIyeLFYOk_s0000658434_e0000661694,keep,,[],v4
0cHIyeLFYOk_s0000662338_e0000665630,keep,,[],v4
0cHIyeLFYOk_s0000665986_e0000668446,keep,,[],v4
0cHIyeLFYOk_s0000669474_e0000671518,keep,,[],v4
0cHIyeLFYOk_s0000684834_e0000689834,keep,,[],v4
0cHIyeLFYOk_s0000688834_e0000693834,reject,cut,[],v4
0cHIyeLFYOk_s0000692834_e0000697834,reject,mouth,[],v4
0cHIyeLFYOk_s0000698786_e0000703870,keep,,[],v4
0cHIyeLFYOk_s0000704226_e0000707358,reject,mouth,[],v4
0cHIyeLFYOk_s0000707458_e0000709918,reject,mouth,[],v4
0cHIyeLFYOk_s0000710370_e0000713054,keep,,[],v4
0cHIyeLFYOk_s0000725442_e0000729726,keep,,[],v4
0cHIyeLFYOk_s0000730498_e0000738974,keep,,[],v4
0cHIyeLFYOk_s0000739074_e0000744670,reject,cut,"[{""start_ms"":3920,""end_ms"":4598,""reason"":""cut""}]",v4
0cHIyeLFYOk_s0000748226_e0000755390,keep,,[],v4
0cHIyeLFYOk_s0000757154_e0000761726,reject,mouth,[],v4
0cHIyeLFYOk_s0000762210_e0000765694,reject,mouth,[],v4
0cHIyeLFYOk_s0000766626_e0000771626,reject,mouth,"[{""start_ms"":352,""end_ms"":684,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000770626_e0000775626,reject,mouth,"[{""start_ms"":2871,""end_ms"":3039,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000774626_e0000778910,keep,,[],v4
0cHIyeLFYOk_s0000779266_e0000784670,keep,,[],v4
0cHIyeLFYOk_s0000788482_e0000793482,reject,mouth,[],v4
0cHIyeLFYOk_s0000792482_e0000797482,keep,,[],v4
0cHIyeLFYOk_s0000796482_e0000801022,keep,,[],v4
0cHIyeLFYOk_s0000804098_e0000810590,keep,,[],v4
0cHIyeLFYOk_s0000811138_e0000814110,keep,,[],v4
0cHIyeLFYOk_s0000817794_e0000820254,keep,,[],v4
0cHIyeLFYOk_s0000820450_e0000822910,keep,,[],v4
0cHIyeLFYOk_s0000823074_e0000826078,keep,,[],v4
0cHIyeLFYOk_s0000826178_e0000828446,keep,,[],v4
0cHIyeLFYOk_s0000828994_e0000831486,keep,,[],v4
0cHIyeLFYOk_s0000837634_e0000840094,reject,wrong_face,"[{""start_ms"":0,""end_ms"":611,""reason"":""wrong_face""}]",v4
0cHIyeLFYOk_s0000840514_e0000844990,keep,,[],v4
0cHIyeLFYOk_s0000845154_e0000848478,keep,,[],v4
0cHIyeLFYOk_s0000852066_e0000857246,keep,,[],v4
0cHIyeLFYOk_s0000858242_e0000860734,reject,mouth,"[{""start_ms"":819,""end_ms"":1487,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000860994_e0000865854,reject,mouth,[],v4
0cHIyeLFYOk_s0000882658_e0000887658,keep,,[],v4
0cHIyeLFYOk_s0000886658_e0000891658,keep,,[],v4
0cHIyeLFYOk_s0000890658_e0000895658,keep,,[],v4
0cHIyeLFYOk_s0000894658_e0000899658,keep,,[],v4
0cHIyeLFYOk_s0000898658_e0000901982,keep,,[],v4
0cHIyeLFYOk_s0000902370_e0000905566,keep,,[],v4
0cHIyeLFYOk_s0000905698_e0000908542,keep,,[],v4
0cHIyeLFYOk_s0000909186_e0000911486,keep,,[],v4
0cHIyeLFYOk_s0000913890_e0000920510,reject,mouth,"[{""start_ms"":4154,""end_ms"":5208,""reason"":""mouth""}]",v4
0cHIyeLFYOk_s0000920706_e0000932670,keep,,[],v4
0cHIyeLFYOk_s0000932834_e0000940606,keep,,[],v4
0cHIyeLFYOk_s0000940706_e0000945630,keep,,[],v4
0cHIyeLFYOk_s0000952482_e0000956478,reject,small_face,"[{""start_ms"":0,""end_ms"":4004,""reason"":""small_face""}]",v4
2fqXC4RQyOw_s0000003010_e0000008010,reject,mouth,[],v4
2fqXC4RQyOw_s0000017506_e0000020254,keep,,[],v4
2fqXC4RQyOw_s0000020450_e0000026782,keep,,[],v4
2fqXC4RQyOw_s0000026978_e0000030782,keep,,[],v4
2fqXC4RQyOw_s0000039106_e0000044106,reject,static,"[{""start_ms"":0,""end_ms"":526,""reason"":""static""}]",v4
2fqXC4RQyOw_s0000043106_e0000048106,reject,cut,"[{""start_ms"":3371,""end_ms"":5000,""reason"":""cut""}]",v4
2fqXC4RQyOw_s0000063106_e0000067006,reject,voiceover,"[{""start_ms"":0,""end_ms"":712,""reason"":""voiceover""}]",v4
2fqXC4RQyOw_s0000071202_e0000076202,keep,,[],v4
2fqXC4RQyOw_s0000075202_e0000080202,keep,,[],v4
2fqXC4RQyOw_s0000079202_e0000084202,keep,,[],v4
2fqXC4RQyOw_s0000083202_e0000086558,keep,,[],v4
2fqXC4RQyOw_s0000086882_e0000098270,reject,voiceover,"[{""start_ms"":4457,""end_ms"":8331,""reason"":""voiceover""}]",v4
2fqXC4RQyOw_s0000098658_e0000103358,reject,cut,"[{""start_ms"":3061,""end_ms"":3242,""reason"":""cut""}]",v4
2fqXC4RQyOw_s0000103522_e0000109118,keep,,[],v4
2fqXC4RQyOw_s0000111650_e0000119742,keep,,[],v4
2fqXC4RQyOw_s0000119938_e0000122366,keep,,[],v4
2fqXC4RQyOw_s0000124034_e0000128062,reject,mouth,[],v4
2fqXC4RQyOw_s0000134466_e0000137406,keep,,[],v4
2fqXC4RQyOw_s0000142018_e0000144574,reject,mouth,[],v4
