filename,metadata,audio_snr
1hgHDUzhqCQ.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 31.08 dB)
9fvi4IXr6rQ.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 35.13 dB)
aArTJcMMmTw.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 32.20 dB)
bfuvcf5LUNo.mp4,"Pass (Height: 1080p, FPS: 29.97)",Pass (SNR: 46.85 dB)
bqCHr6dLdlc.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 32.35 dB)
bxSZ-x7OvWI.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 36.09 dB)
C0FdQDbuP8Q.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 41.71 dB)
Cpyb66WEcLE.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 31.56 dB)
cyi8OGHa_28.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 32.19 dB)
dFDTb0t_Nho.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 34.61 dB)
F-HPnckxY_Y.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 30.26 dB)
F4tHiL9fKNo.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 30.32 dB)
hKa3_H6H6zY.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 36.51 dB)
lFiT3vyjLdw.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 34.65 dB)
lq_tau31IE0.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 32.36 dB)
Nw3N73GJ2Zo.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 31.95 dB)
oxYn-0AMz-Q.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 33.92 dB)
QwKr8x7kfuo.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 40.43 dB)
ViEjwRu-j3o.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 32.01 dB)
_adzgpYkn_c.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (SNR: 31.19 dB)
