clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,decode_backend,cut_backend,run_id
-17kN1xdzBE_s0000098754_e0000103754,-17kN1xdzBE,98.754,103.754,5.0,1.0,1.0,3.12,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000098754_e0000103754.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000121346_e0000123902,-17kN1xdzBE,121.346,123.902,2.556,1.0,1.0,1.23,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000121346_e0000123902.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000213954_e0000218954,-17kN1xdzBE,213.954,218.954,5.0,1.0,1.0,5.27,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000213954_e0000218954.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000246338_e0000251338,-17kN1xdzBE,246.338,251.338,5.0,1.0,1.0,1.05,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000246338_e0000251338.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000281698_e0000285470,-17kN1xdzBE,281.698,285.47,3.772,1.0,1.0,2.75,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000281698_e0000285470.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000285570_e0000290570,-17kN1xdzBE,285.57,290.57,5.0,1.0,1.0,4.73,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000285570_e0000290570.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000293570_e0000298570,-17kN1xdzBE,293.57,298.57,5.0,1.0,1.0,3.02,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000293570_e0000298570.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000354178_e0000358494,-17kN1xdzBE,354.178,358.494,4.316,1.0,1.0,4.71,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000354178_e0000358494.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000463778_e0000468778,-17kN1xdzBE,463.778,468.778,5.0,1.0,1.0,1.49,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000463778_e0000468778.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000475778_e0000479582,-17kN1xdzBE,475.778,479.582,3.804,0.75,1.0,0.33,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000475778_e0000479582.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
