video,filename,start,end,reason,detail,run_id,tier
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,8.61,9.278,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,9.602,14.878,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,16.93,19.838,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,21.474,22.398,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,45.442,46.814,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,56.098,61.098,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,60.098,62.654,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,62.85,68.446,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,68.994,75.902,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,76.162,83.358,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,83.586,84.862,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,84.962,95.07,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,95.234,97.182,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,100.898,105.898,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,104.898,109.898,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,108.898,113.898,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,112.898,117.898,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,119.362,120.766,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,120.898,126.238,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,126.402,132.062,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
