filename,video_id,status,accepted_count,rejected_count,decode_backend,decode_attempts,cut_backends,terminal_detail,run_id,tier
-H3EY9_rfHQ (1).mp4,-H3EY9_rfHQ (1),completed,21,194,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 21}",,cutfix_smoke_tier2_20260729_01,tier2
-PMVQo--JXE (1).mp4,-PMVQo--JXE (1),completed,59,99,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 59}",,cutfix_smoke_tier2_20260729_01,tier2
-acsOFbnbjo.mp4,-acsOFbnbjo,completed,77,210,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 77}",,cutfix_smoke_tier2_20260729_01,tier2
-hKbIQj-mCk.mp4,-hKbIQj-mCk,completed,58,172,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 58}",,cutfix_smoke_tier2_20260729_01,tier2
-l9m0nDJZfM.mp4,-l9m0nDJZfM,completed,131,51,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 131}",,cutfix_smoke_tier2_20260729_01,tier2
-q9dFwf1jhk.mp4,-q9dFwf1jhk,completed,43,75,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 43}",,cutfix_smoke_tier2_20260729_01,tier2
-qsoj9cBf8Y.mp4,-qsoj9cBf8Y,completed,142,55,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 142}",,cutfix_smoke_tier2_20260729_01,tier2
-s3fgNPM3uE.mp4,-s3fgNPM3uE,completed,97,26,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 97}",,cutfix_smoke_tier2_20260729_01,tier2
0B310XCDA1c.mp4,0B310XCDA1c,completed,152,30,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 152}",,cutfix_smoke_tier2_20260729_01,tier2
0PsGwmgAI-k (1).mp4,0PsGwmgAI-k (1),completed,51,162,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 51}",,cutfix_smoke_tier2_20260729_01,tier2
0rNleOYzisw (1).mp4,0rNleOYzisw (1),completed,79,157,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 79}",,cutfix_smoke_tier2_20260729_01,tier2
0v7Qt6dyGdY (1).mp4,0v7Qt6dyGdY (1),completed,68,190,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 68}",,cutfix_smoke_tier2_20260729_01,tier2
1j9QybBbT7U.mp4,1j9QybBbT7U,completed,151,123,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 151}",,cutfix_smoke_tier2_20260729_01,tier2
1vuK6Wo-Sn0.mp4,1vuK6Wo-Sn0,completed,144,61,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 144}",,cutfix_smoke_tier2_20260729_01,tier2
2GOQMIthM5A.mp4,2GOQMIthM5A,completed,68,154,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 68}",,cutfix_smoke_tier2_20260729_01,tier2
2hPdbV1SN4E.mp4,2hPdbV1SN4E,completed,88,56,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 88}",,cutfix_smoke_tier2_20260729_01,tier2
2lbnNbOJ12I.mp4,2lbnNbOJ12I,completed,104,122,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 104}",,cutfix_smoke_tier2_20260729_01,tier2
3R8oAGvvlO0.mp4,3R8oAGvvlO0,completed,72,277,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 72}",,cutfix_smoke_tier2_20260729_01,tier2
3XkN_ssg4c4 (1).mp4,3XkN_ssg4c4 (1),completed,67,182,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 67}",,cutfix_smoke_tier2_20260729_01,tier2
3lW4qEo2UMM.mp4,3lW4qEo2UMM,completed,83,200,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 83}",,cutfix_smoke_tier2_20260729_01,tier2
3rpSKwNLpVA (1).mp4,3rpSKwNLpVA (1),completed,69,65,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 69}",,cutfix_smoke_tier2_20260729_01,tier2
3yj-QISqF-M (1).mp4,3yj-QISqF-M (1),completed,94,180,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 94}",,cutfix_smoke_tier2_20260729_01,tier2
3z6_fpdMF88.mp4,3z6_fpdMF88,completed,133,250,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 133}",,cutfix_smoke_tier2_20260729_01,tier2
4_24dJhP-h4.mp4,4_24dJhP-h4,completed,58,106,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 58}",,cutfix_smoke_tier2_20260729_01,tier2
4tTF_fRCvYY.mp4,4tTF_fRCvYY,completed,88,27,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 88}",,cutfix_smoke_tier2_20260729_01,tier2
4yrIyomRcF4 (1).mp4,4yrIyomRcF4 (1),completed,52,131,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 52}",,cutfix_smoke_tier2_20260729_01,tier2
4z13dBp-tck (1).mp4,4z13dBp-tck (1),completed,37,241,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 37}",,cutfix_smoke_tier2_20260729_01,tier2
52zbpS52T2Y (1).mp4,52zbpS52T2Y (1),completed,41,0,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 41}",,cutfix_smoke_tier2_20260729_01,tier2
53a0TbqVLRc (1).mp4,53a0TbqVLRc (1),completed,57,166,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 57}",,cutfix_smoke_tier2_20260729_01,tier2
5DyAvAbL1Og.mp4,5DyAvAbL1Og,completed,142,213,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 142}",,cutfix_smoke_tier2_20260729_01,tier2
5mPuvksuPno.mp4,5mPuvksuPno,completed,102,82,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 102}",,cutfix_smoke_tier2_20260729_01,tier2
5o326dfu6ks.mp4,5o326dfu6ks,completed,73,118,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 73}",,cutfix_smoke_tier2_20260729_01,tier2
60UOpGT0GDM.mp4,60UOpGT0GDM,completed_no_clips,0,258,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]",{},,cutfix_smoke_tier2_20260729_01,tier2
6IpHMTr2KMw.mp4,6IpHMTr2KMw,completed,14,52,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 14}",,cutfix_smoke_tier2_20260729_01,tier2
6ObGN_UX1w8 (1).mp4,6ObGN_UX1w8 (1),completed,71,140,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 71}",,cutfix_smoke_tier2_20260729_01,tier2
