video_id,url,title,channel,published_at,query
Nw3N73GJ2Zo,https://youtu.be/Nw3N73GJ2Zo,Bắt đầu Tổng điều tra kinh tế năm 2026 trên toàn quốc,Truyền hình Hưng Yên - HYTV,2026-01-07T08:04:32Z,tin tức hôm nay -karaoke -nhạc -bé -game
_adzgpYkn_c,https://youtu.be/_adzgpYkn_c,Tiếp tục sắp xếp bộ máy 2026: &quot;Chốt&quot; 2 nhóm đối tượng phải nghỉ việc ngay theo Nghị định mới nhất,Truyền hình Hưng Yên - HYTV,2025-12-10T09:20:49Z,tin tức hôm nay -karaoke -nhạc -bé -game
bxSZ-x7OvWI,https://youtu.be/bxSZ-x7OvWI,"Đề xuất một số chính sách mới hỗ trợ, thu hút, trọng dụng Nhà giáo",Truyền hình Hưng Yên - HYTV,2025-12-12T05:06:05Z,tin tức hôm nay -karaoke -nhạc -bé -game
dFDTb0t_Nho,https://youtu.be/dFDTb0t_Nho,"Mức chi thu nhập tăng thêm năm 2026 của cán bộ, viên chức",Truyền hình Hưng Yên - HYTV,2025-12-15T03:12:42Z,tin tức hôm nay -karaoke -nhạc -bé -game
ViEjwRu-j3o,https://youtu.be/ViEjwRu-j3o,Tăng lương hưu năm 2026 ?,Truyền hình Hưng Yên - HYTV,2026-01-05T06:00:54Z,tin tức hôm nay -karaoke -nhạc -bé -game
bqCHr6dLdlc,https://youtu.be/bqCHr6dLdlc,2 nhóm đối tượng được tăng lương hưu lên mức cao hơn  ?,Truyền hình Hưng Yên - HYTV,2026-01-26T04:45:02Z,tin tức hôm nay -karaoke -nhạc -bé -game
Cpyb66WEcLE,https://youtu.be/Cpyb66WEcLE,"Đồng loạt áp dụng mức lương mới từ 1/1/2026: 3 chính sách tiền lương, phụ cấp có hiệu lực",Truyền hình Hưng Yên - HYTV,2026-01-01T09:14:37Z,tin tức hôm nay -karaoke -nhạc -bé -game
9fvi4IXr6rQ,https://youtu.be/9fvi4IXr6rQ,"Chốt mức tăng lương hưu lần thứ 3: Ai được hưởng, nghỉ hưu vào thời điểm nào?",Truyền hình Hưng Yên - HYTV,2025-07-29T04:21:57Z,tin tức hôm nay -karaoke -nhạc -bé -game
F4tHiL9fKNo,https://youtu.be/F4tHiL9fKNo,Lộ trình cải cách tiền lương năm 2026 sẽ được trình Quốc hội xem xét,Truyền hình Hưng Yên - HYTV,2026-01-26T07:19:56Z,tin tức hôm nay -karaoke -nhạc -bé -game
hKa3_H6H6zY,https://youtu.be/hKa3_H6H6zY,Tổng Bí thư yêu cầu hoàn thành xử lý căn bản tồn đọng về chính sách người có công,Truyền hình Hưng Yên - HYTV,2025-12-17T06:19:37Z,tin tức hôm nay -karaoke -nhạc -bé -game
cyi8OGHa_28,https://youtu.be/cyi8OGHa_28,Chuẩn bị tốt công tác nhân sự cho cuộc bầu cử đại biểu quốc hội khóa XVI,Truyền hình Hưng Yên - HYTV,2025-12-15T09:27:48Z,tin tức hôm nay -karaoke -nhạc -bé -game
C0FdQDbuP8Q,https://youtu.be/C0FdQDbuP8Q,Bản tin sáng ngày 11/9/2025 | Tin tức thời sự Lạng Sơn hôm nay | LSTV,Truyền hình Lạng Sơn - LSTV,2025-09-11T01:01:07Z,tin tức hôm nay -karaoke -nhạc -bé -game
lFiT3vyjLdw,https://youtu.be/lFiT3vyjLdw,"Văn bản thực hiện tiền lương, phụ cấp mới của cán bộ, công chức",Truyền hình Hưng Yên - HYTV,2026-01-08T01:27:09Z,tin tức hôm nay -karaoke -nhạc -bé -game
F-HPnckxY_Y,https://youtu.be/F-HPnckxY_Y,"Tiếp tục sắp xếp bộ máy 2026: &quot;Chốt&quot; 3 nhóm đối tượng hưởng chính sách, 3 đợt tinh giản biên chế mới",Truyền hình Hưng Yên - HYTV,2025-12-09T08:08:25Z,tin tức hôm nay -karaoke -nhạc -bé -game
oxYn-0AMz-Q,https://youtu.be/oxYn-0AMz-Q,Chính thức nghỉ Tết Dương lịch năm 2026 kéo dài 4 ngày,Truyền hình Hưng Yên - HYTV,2025-12-25T10:58:37Z,tin tức hôm nay -karaoke -nhạc -bé -game
lq_tau31IE0,https://youtu.be/lq_tau31IE0,"Căn cứ tăng lương hưu, trợ cấp cho khoảng 3,5 triệu người",Truyền hình Hưng Yên - HYTV,2026-01-21T02:46:35Z,tin tức hôm nay -karaoke -nhạc -bé -game
aArTJcMMmTw,https://youtu.be/aArTJcMMmTw,"Chính thức:Quốc hội chốt điều chỉnh lương cơ sở 2026, điều chỉnh lương hưu, trợ cấp BHXH theo KL 206",Truyền hình Hưng Yên - HYTV,2025-12-12T02:39:45Z,tin tức hôm nay -karaoke -nhạc -bé -game
bfuvcf5LUNo,https://youtu.be/bfuvcf5LUNo,🔴 [TRỰC TIẾP] Ngày 3 - Kính mừng Phật đản: Hát tán dương Phật - Pháp - Tăng | 06/4/Bính Ngọ,Chua Ba Vang,2026-05-22T13:42:00Z,tin tức hôm nay -karaoke -nhạc -bé -game
1hgHDUzhqCQ,https://youtu.be/1hgHDUzhqCQ,"Đợt tăng lương hưu mới cho hơn 3,5 triệu người sau đợt tăng 15%",Truyền hình Hưng Yên - HYTV,2026-01-25T05:34:34Z,tin tức hôm nay -karaoke -nhạc -bé -game
QwKr8x7kfuo,https://youtu.be/QwKr8x7kfuo,Bản tin sáng ngày 14/10/2025 | Tin tức thời sự Lạng Sơn hôm nay | LSTV,Truyền hình Lạng Sơn - LSTV,2025-10-14T01:05:00Z,tin tức hôm nay -karaoke -nhạc -bé -game
ylKiFd-TLDk,https://youtu.be/ylKiFd-TLDk,"Thông tin mới nhất về sáp nhập trường và điều chuyển giáo viên, lộ trình và nguyên tắc ?",Truyền hình Hưng Yên - HYTV,2025-11-12T04:36:00Z,tin tức hôm nay -karaoke -nhạc -bé -game
VgnHDIp9x5s,https://youtu.be/VgnHDIp9x5s,Chính phủ: Tăng lương lên ít nhất 15% và cao nhất 30% từ 1/2026 tại dự thảo Nghị định mới?,Truyền hình Hưng Yên - HYTV,2025-11-05T06:07:02Z,tin tức hôm nay -karaoke -nhạc -bé -game
mItfYIphEiE,https://youtu.be/mItfYIphEiE,"Tiếp tục sáp nhập 90.508 thôn, TDP: “Chốt” Năm 2026 hoàn thành sắp xếp đơn vị sự nghiệp, KDC",Truyền hình Hưng Yên - HYTV,2025-12-10T04:18:36Z,tin tức hôm nay -karaoke -nhạc -bé -game
kaMNjJDIkp4,https://youtu.be/kaMNjJDIkp4,Tăng lương mới năm 2026: 3 chính sách tiền lương nổi bật,Truyền hình Hưng Yên - HYTV,2025-12-02T09:11:52Z,tin tức hôm nay -karaoke -nhạc -bé -game
iu0unbhbX-k,https://youtu.be/iu0unbhbX-k,"Quốc hội &quot;chốt&quot; tăng lương từ 2026:Chế độ, tiền lương cho cán bộ, viên chức, LLVT theo dự thảo mới",Truyền hình Hưng Yên - HYTV,2025-12-08T09:22:42Z,tin tức hôm nay -karaoke -nhạc -bé -game
7yBqnPSUsog,https://youtu.be/7yBqnPSUsog,Năm 2026 thay đổi cách tính lương hưu với người hưởng lương nhà nước,Truyền hình Hưng Yên - HYTV,2025-12-19T03:35:00Z,tin tức hôm nay -karaoke -nhạc -bé -game
jeXhVP_QhJU,https://youtu.be/jeXhVP_QhJU,Lương hưu cao hơn cho hàng triệu người,Truyền hình Hưng Yên - HYTV,2025-12-06T05:04:50Z,tin tức hôm nay -karaoke -nhạc -bé -game
-PMSk6LTXoQ,https://youtu.be/-PMSk6LTXoQ,"Trình Chính phủ xem xét điều chỉnh tiền lương cán bộ công chức, lực lượng vũ trang",Truyền hình Hưng Yên - HYTV,2026-01-12T06:46:09Z,tin tức hôm nay -karaoke -nhạc -bé -game
ueP0_yeDDOo,https://youtu.be/ueP0_yeDDOo,Thông tin mới nhất về thay đổi cải cách tiền lương từ 1/1/2026,Truyền hình Hưng Yên - HYTV,2025-12-16T04:45:09Z,tin tức hôm nay -karaoke -nhạc -bé -game
NBPfzaOKYIo,https://youtu.be/NBPfzaOKYIo,Tin tức thời sự quốc tế mới nhất ngày: 22/5/2026 | Tin Nóng Thế Giới 24h Qua | HBC Tin Tức Thế Giới.,HBC Tin Tức Thế Giới,2026-05-18T04:01:32Z,tin tức hôm nay -karaoke -nhạc -bé -game
b0PaCZQY7h0,https://youtu.be/b0PaCZQY7h0,Chính thức: Bảo hiểm y tế chi trả 100% trong năm 2026 cho 11 nhóm và 3 trường hợp,Truyền hình Hưng Yên - HYTV,2025-12-16T02:33:40Z,tin tức hôm nay -karaoke -nhạc -bé -game
ew9HF85bU5c,https://youtu.be/ew9HF85bU5c,Tin Tức Thời Sự 24h Mới Nhất Hôm Nay: Mật Lệnh Lãi Suất Và Nỗi Trăn Trở Của Người Làm Thật Ăn Thật,Việt Nam Toàn Cảnh,2026-05-13T03:10:27Z,tin tức hôm nay -karaoke -nhạc -bé -game
CHkaAtJLN3E,https://youtu.be/CHkaAtJLN3E,Thời sự Hưng Yên thứ Bảy ngày 11/4/2026,Truyền hình Hưng Yên - HYTV,2026-04-11T13:37:08Z,tin tức hôm nay -karaoke -nhạc -bé -game
38IBjJ77eQk,https://youtu.be/38IBjJ77eQk,&quot;Chốt&quot; Đối tượng và điều kiện hưởng trợ cấp hưu trí xã hội,Truyền hình Hưng Yên - HYTV,2026-01-12T03:00:07Z,tin tức hôm nay -karaoke -nhạc -bé -game
2Qw7gbwa5EI,https://youtu.be/2Qw7gbwa5EI,Thông tin mới vụ cựu GĐ Công an Hải Phòng Đỗ Hữu Ca bị bắt: Đã ấn định ngày xét xử tại Quảng Ninh,Truyền hình Hưng Yên - HYTV,2024-03-15T09:53:15Z,tin tức hôm nay -karaoke -nhạc -bé -game
eGXcoqVcZBw,https://youtu.be/eGXcoqVcZBw,Tiếp tục sắp xếp bộ máy năm 2026: &quot;Chốt&quot; thêm 4 chính sách thôi việc mới nhất khi tinh giản biên chế,Truyền hình Hưng Yên - HYTV,2025-12-06T03:00:54Z,tin tức hôm nay -karaoke -nhạc -bé -game
Xigg3vUV2Gw,https://youtu.be/Xigg3vUV2Gw,Tin tức covid-19 hôm nay 04/8 | Tình hình virus corona ở Việt Nam hôm nay | Thời Sự 24h,Đạo Sĩ Tử Thông,2021-08-03T22:00:25Z,tin tức hôm nay -karaoke -nhạc -bé -game
3RIBiFUS-k8,https://youtu.be/3RIBiFUS-k8,Tin Tức Thời Sự Quốc Tế Mới Nhất Hôm Nay | Điểm Tin Nóng Thế Giới 24h | NTB Tin Quốc Tế,NTB Tin Quốc Tế ,2026-03-18T10:57:28Z,tin tức hôm nay -karaoke -nhạc -bé -game
gYllIv12xjQ,https://youtu.be/gYllIv12xjQ,"Ngân sách trung ương tiếp tục điều chỉnh lương hưu, tinh giản biên chế và điều chỉnh 3 khoản phụ cấp",Truyền hình Hưng Yên - HYTV,2026-01-15T06:00:39Z,tin tức hôm nay -karaoke -nhạc -bé -game
jInLQAiBlVQ,https://youtu.be/jInLQAiBlVQ,"Tai nạn - Tin tức 24h mới nhất hôm nay 21,/11/2019 |lịch Gắt Tv",Lịch Gắt Tv,2019-11-21T05:20:56Z,tin tức hôm nay -karaoke -nhạc -bé -game
kytFtB_wf1U,https://youtu.be/kytFtB_wf1U,Được hưởng 70% phụ cấp ưu đãi nghề viên chức giáo viên,Truyền hình Hưng Yên - HYTV,2025-12-28T05:39:51Z,tin tức hôm nay -karaoke -nhạc -bé -game
mb_bZTkJ-jA,https://youtu.be/mb_bZTkJ-jA,Tai nạn   Tin tức 24h mới nhất hôm nay 15 09 2019   Tai nạn giao thông mới nhất   vietnam news,tin tuc tv,2019-09-16T22:59:25Z,tin tức hôm nay -karaoke -nhạc -bé -game
7Lc9XOi_rZQ,https://youtu.be/7Lc9XOi_rZQ,"🚨 Pi Network: RPC tưởng chỉ là kỹ thuật, ai ngờ lại là bước lật bàn cuộc chơi",Tin tức Pi network,2026-04-11T00:30:00Z,tin tức hôm nay -karaoke -nhạc -bé -game
ilxA2dvz5-4,https://youtu.be/ilxA2dvz5-4,4 Trường hợp nghỉ hưu trước tuổi theo diện tinh giản biên chế mà không bị trừ tỷ lệ lương hưu,Truyền hình Hưng Yên - HYTV,2026-01-08T07:20:58Z,tin tức hôm nay -karaoke -nhạc -bé -game
udGnm2fQw50,https://youtu.be/udGnm2fQw50,Tai Nạn - Tin Tức 24h Mới Nhất Hôm Nay,Ping Up,2020-05-01T15:44:09Z,tin tức hôm nay -karaoke -nhạc -bé -game
3Dx_Ze4O6Cc,https://youtu.be/3Dx_Ze4O6Cc,Mức lương hưu hằng tháng của người tham gia BHXH tự nguyện,Truyền hình Hưng Yên - HYTV,2026-01-14T10:05:10Z,tin tức hôm nay -karaoke -nhạc -bé -game
vFhiH29FXxE,https://youtu.be/vFhiH29FXxE,Tai nạn   Tin tức 24h mới nhất hôm nay 13 09 2019   Tai nạn giao thông mới nhất   vietnam news,tin tuc tv,2019-09-16T23:02:46Z,tin tức hôm nay -karaoke -nhạc -bé -game
bjzEBcSSnEg,https://youtu.be/bjzEBcSSnEg,"Chính thức điều chỉnh tiền lương, phụ cấp với cán bộ, công chức năm 2026",Truyền hình Hưng Yên - HYTV,2026-01-08T10:56:54Z,tin tức hôm nay -karaoke -nhạc -bé -game
kpl2x_spetg,https://youtu.be/kpl2x_spetg,Quốc hội &quot;chốt&quot; tăng lương cơ sở từ 1/1/2026 hay 1/7/2026 ?,Truyền hình Hưng Yên - HYTV,2025-12-10T03:14:56Z,tin tức hôm nay -karaoke -nhạc -bé -game
gm_daMqInNI,https://youtu.be/gm_daMqInNI,Tin Tức 24h Mới Nhất Hôm Nay Ngày 18 10 2017,Phạm Văn Tí,2017-10-18T02:45:27Z,tin tức hôm nay -karaoke -nhạc -bé -game
lVp1v4AmC8c,https://youtu.be/lVp1v4AmC8c,Bản tin thời sự ngày 16/4/2022,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2022-04-15T22:52:12Z,bản tin thời sự -karaoke -nhạc -bé -game
C5kENx5cq7M,https://youtu.be/C5kENx5cq7M,Bản tin thời sự ngày 19/6/2022,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2022-06-20T00:56:21Z,bản tin thời sự -karaoke -nhạc -bé -game
U2d_k42o09U,https://youtu.be/U2d_k42o09U,Bản tin thời sự ngày 8/9/2023,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2023-09-09T07:47:01Z,bản tin thời sự -karaoke -nhạc -bé -game
SS0cn091afw,https://youtu.be/SS0cn091afw,Bản tin thời sự ngày 8/4/2022,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2022-04-08T02:37:10Z,bản tin thời sự -karaoke -nhạc -bé -game
IdY-AIaX1kw,https://youtu.be/IdY-AIaX1kw,Bản tin thời sự ngày 12/4/2022,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2022-04-12T03:02:49Z,bản tin thời sự -karaoke -nhạc -bé -game
7KRRUylK1xA,https://youtu.be/7KRRUylK1xA,Bản tin thời sự ngày 12/01/2022,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2022-01-12T00:15:59Z,bản tin thời sự -karaoke -nhạc -bé -game
Rb2MR5E5agM,https://youtu.be/Rb2MR5E5agM,Bản tin thời sự ngày 13/8/2021,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2021-08-13T02:25:45Z,bản tin thời sự -karaoke -nhạc -bé -game
QOJMmsJY5c4,https://youtu.be/QOJMmsJY5c4,Bản tin thời sự ngày 25/6/2022,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2022-06-25T05:49:37Z,bản tin thời sự -karaoke -nhạc -bé -game
T2YnQVqGYgo,https://youtu.be/T2YnQVqGYgo,Bản tin thời sự ngày 2/9/2021,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2021-09-02T01:58:06Z,bản tin thời sự -karaoke -nhạc -bé -game
FrAnVpz7c4U,https://youtu.be/FrAnVpz7c4U,BẢN TIN THỜI SỰ NGÀY 19/8/2020,BÁO ĐIỆN TỬ ĐẢNG CỘNG SẢN VIỆT NAM,2020-08-19T11:36:14Z,bản tin thời sự -karaoke -nhạc -bé -game
icH29Xye5Uc,https://youtu.be/icH29Xye5Uc,Bản tin thời sự ngày 9/7/2022,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2022-07-09T01:57:19Z,bản tin thời sự -karaoke -nhạc -bé -game
h0SDZpHBprA,https://youtu.be/h0SDZpHBprA,BẢN TIN THỜI SỰ NGÀY 31/08/2020,BÁO ĐIỆN TỬ ĐẢNG CỘNG SẢN VIỆT NAM,2020-08-31T11:50:13Z,bản tin thời sự -karaoke -nhạc -bé -game
gc6YfgZ6sIs,https://youtu.be/gc6YfgZ6sIs,Bản tin thời sự ngày 17/6/2022,Thông Tin Cơ Sở Phường Phú Lợi TP Cần Thơ,2022-06-17T06:57:14Z,bản tin thời sự -karaoke -nhạc -bé -game
