clip_id,bin_index,start_ms,end_ms,file_path,light_asd_score,mouth_motion,face_track_count
-H3EY9_rfHQ_1_s0000759618_e0000762206,0,0,200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.323957920074463,0.8656621392190154,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,1,200,400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.109208106994629,2.6774193548387095,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,3,600,800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.5033087730407715,1.4482173174872666,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,4,800,1000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.627854108810425,4.618421052631579,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,5,1000,1200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.3978679180145264,4.183786078098472,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,6,1200,1400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.4543349742889404,2.386672325976231,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,7,1400,1600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.610712766647339,0.9766553480475382,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,8,1600,1800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.766467332839966,1.1247877758913412,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,9,1800,2000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.6195709705352783,2.4134125636672326,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,10,2000,2200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.5847678184509277,2.5411714770797964,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,11,2200,2400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.2460176944732666,1.2436332767402376,3
-H3EY9_rfHQ_1_s0000759618_e0000762206,12,2400,2600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-H3EY9_rfHQ_1_s0000759618_e0000762206.mp4,-2.8321447372436523,3.0061544991511036,3
-PMVQo--JXE_1_s0000359714_e0000363102,0,0,200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-PMVQo--JXE_1_s0000359714_e0000363102.mp4,0.18463626503944397,3.2124363327674024,1
-PMVQo--JXE_1_s0000359714_e0000363102,15,3000,3200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-PMVQo--JXE_1_s0000359714_e0000363102.mp4,0.04383893311023712,3.82088285229202,1
-PMVQo--JXE_1_s0000359714_e0000363102,16,3200,3400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-PMVQo--JXE_1_s0000359714_e0000363102.mp4,-0.46398651599884033,2.6116298811544993,1
